C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/pythonProject/HopfieldLayerDRQN.py
C:/Users/USER/PycharmProjects/pythonProject/HopfieldLayerDRQN.py:136: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(x.weight)

HyperParams:
    def __init__(self, env, gamma=0.99,
                 learning_rate=0.001,
                 soft_update_freq=50,
                 capacity=100000,
                 exploration=300,
                 epsilon=0.9,
                 epsilon_min=0.05,
                 decay=0.9,
                 episode=1000000,
                 render=False,
                 seq_len=50,
                 batch_size=32):  # test with dictionary

        self.hopfield = HopfieldLayer(input_size=self.state_space,
                                      quantity=100,
                                      output_size=256,
                                      hidden_size=16,
                                      # stored_pattern_as_static=True,
                                      # state_pattern_as_static=True,
                                      # pattern_projection_as_static=True,
                                      # pattern_projection_as_connected=True,
                                      # disable_out_projection=True,
                                      lookup_weights_as_separated=True,
                                      lookup_targets_as_trainable=True,
                                      scaling=25.0
                                      )

Episode: 1  Epsilon: 0.81  Episode Reward: -463.95  Average reward: -463.95
Episode: 2  Epsilon: 0.73  Episode Reward: -353.27  Average reward: -408.61
Episode: 3  Epsilon: 0.66  Episode Reward: -510.97  Average reward: -442.73
Episode: 4  Epsilon: 0.59  Episode Reward: -515.38  Average reward: -460.89
Episode: 5  Epsilon: 0.53  Episode Reward: -259.81  Average reward: -420.68
Episode: 6  Epsilon: 0.48  Episode Reward: -161.96  Average reward: -377.56
Episode: 7  Epsilon: 0.43  Episode Reward: -353.45  Average reward: -374.11
Episode: 8  Epsilon: 0.39  Episode Reward: -450.75  Average reward: -383.69
Episode: 9  Epsilon: 0.35  Episode Reward: -591.03  Average reward: -406.73
Episode: 10  Epsilon: 0.31  Episode Reward: -353.15  Average reward: -401.37
Episode: 11  Epsilon: 0.28  Episode Reward: -436.52  Average reward: -404.57
Episode: 12  Epsilon: 0.25  Episode Reward: -481.50  Average reward: -410.98
Episode: 13  Epsilon: 0.23  Episode Reward: -382.05  Average reward: -408.75
Episode: 14  Epsilon: 0.21  Episode Reward: -619.69  Average reward: -423.82
Episode: 15  Epsilon: 0.19  Episode Reward: -732.72  Average reward: -444.41
Episode: 16  Epsilon: 0.17  Episode Reward: -483.38  Average reward: -446.85
Episode: 17  Epsilon: 0.15  Episode Reward: -587.73  Average reward: -455.14
Episode: 18  Epsilon: 0.14  Episode Reward: -529.63  Average reward: -459.27
Episode: 19  Epsilon: 0.12  Episode Reward: -546.05  Average reward: -463.84
Episode: 20  Epsilon: 0.11  Episode Reward: -464.49  Average reward: -463.87
Episode: 21  Epsilon: 0.10  Episode Reward: -490.90  Average reward: -465.16
Episode: 22  Epsilon: 0.09  Episode Reward: -383.50  Average reward: -461.45
Episode: 23  Epsilon: 0.08  Episode Reward: -381.55  Average reward: -457.98
Episode: 24  Epsilon: 0.07  Episode Reward: -443.06  Average reward: -457.35
Episode: 25  Epsilon: 0.06  Episode Reward: -546.65  Average reward: -460.93
Episode: 26  Epsilon: 0.06  Episode Reward: -696.02  Average reward: -469.97
Episode: 27  Epsilon: 0.05  Episode Reward: -385.24  Average reward: -466.83
Episode: 28  Epsilon: 0.05  Episode Reward: -401.56  Average reward: -464.50
Episode: 29  Epsilon: 0.05  Episode Reward: -425.31  Average reward: -463.15
Episode: 30  Epsilon: 0.05  Episode Reward: -788.66  Average reward: -474.00
Episode: 31  Epsilon: 0.05  Episode Reward: -569.78  Average reward: -477.09
Episode: 32  Epsilon: 0.05  Episode Reward: -697.29  Average reward: -483.97
Episode: 33  Epsilon: 0.05  Episode Reward: -839.11  Average reward: -494.73
Episode: 34  Epsilon: 0.05  Episode Reward: -718.14  Average reward: -501.30
Episode: 35  Epsilon: 0.05  Episode Reward: -446.33  Average reward: -499.73
Episode: 36  Epsilon: 0.05  Episode Reward: -452.10  Average reward: -498.41
Episode: 37  Epsilon: 0.05  Episode Reward: -458.70  Average reward: -497.34
Episode: 38  Epsilon: 0.05  Episode Reward: -340.01  Average reward: -493.19
Episode: 39  Epsilon: 0.05  Episode Reward: -516.13  Average reward: -493.78
Episode: 40  Epsilon: 0.05  Episode Reward: -997.38  Average reward: -506.37
Episode: 41  Epsilon: 0.05  Episode Reward: -774.51  Average reward: -512.91
Episode: 42  Epsilon: 0.05  Episode Reward: -603.09  Average reward: -515.06
Episode: 43  Epsilon: 0.05  Episode Reward: -474.28  Average reward: -514.11
Episode: 44  Epsilon: 0.05  Episode Reward: -804.73  Average reward: -520.72
Episode: 45  Epsilon: 0.05  Episode Reward: -790.37  Average reward: -526.71
Episode: 46  Epsilon: 0.05  Episode Reward: -845.34  Average reward: -533.64
Episode: 47  Epsilon: 0.05  Episode Reward: -736.69  Average reward: -537.96
Episode: 48  Epsilon: 0.05  Episode Reward: -403.96  Average reward: -535.16
Episode: 49  Epsilon: 0.05  Episode Reward: -542.11  Average reward: -535.31
Episode: 50  Epsilon: 0.05  Episode Reward: -409.09  Average reward: -532.78
Episode: 51  Epsilon: 0.05  Episode Reward: -500.53  Average reward: -532.15
Episode: 52  Epsilon: 0.05  Episode Reward: -664.26  Average reward: -534.69
Episode: 53  Epsilon: 0.05  Episode Reward: -421.55  Average reward: -532.56
Episode: 54  Epsilon: 0.05  Episode Reward: -342.13  Average reward: -529.03
Episode: 55  Epsilon: 0.05  Episode Reward: -973.24  Average reward: -537.11
Episode: 56  Epsilon: 0.05  Episode Reward: -842.28  Average reward: -542.55
Episode: 57  Epsilon: 0.05  Episode Reward: -1010.89  Average reward: -550.77
Episode: 58  Epsilon: 0.05  Episode Reward: -938.79  Average reward: -557.46
Episode: 59  Epsilon: 0.05  Episode Reward: -641.99  Average reward: -558.89
Episode: 60  Epsilon: 0.05  Episode Reward: -352.10  Average reward: -555.45
Episode: 61  Epsilon: 0.05  Episode Reward: -399.53  Average reward: -552.89
Episode: 62  Epsilon: 0.05  Episode Reward: -456.31  Average reward: -551.33
Episode: 63  Epsilon: 0.05  Episode Reward: -427.33  Average reward: -549.37
Episode: 64  Epsilon: 0.05  Episode Reward: -850.31  Average reward: -554.07
Episode: 65  Epsilon: 0.05  Episode Reward: -501.43  Average reward: -553.26
Episode: 66  Epsilon: 0.05  Episode Reward: -539.29  Average reward: -553.05
Episode: 67  Epsilon: 0.05  Episode Reward: -450.25  Average reward: -551.51
Episode: 68  Epsilon: 0.05  Episode Reward: -344.59  Average reward: -548.47
Episode: 69  Epsilon: 0.05  Episode Reward: -425.25  Average reward: -546.68
Episode: 70  Epsilon: 0.05  Episode Reward: -624.20  Average reward: -547.79
Episode: 71  Epsilon: 0.05  Episode Reward: -458.51  Average reward: -546.53
Episode: 72  Epsilon: 0.05  Episode Reward: -574.53  Average reward: -546.92
Episode: 73  Epsilon: 0.05  Episode Reward: -1247.50  Average reward: -556.52
Episode: 74  Epsilon: 0.05  Episode Reward: -659.46  Average reward: -557.91
Episode: 75  Epsilon: 0.05  Episode Reward: -545.27  Average reward: -557.74
Episode: 76  Epsilon: 0.05  Episode Reward: -449.87  Average reward: -556.32
Episode: 77  Epsilon: 0.05  Episode Reward: -672.08  Average reward: -557.83
Episode: 78  Epsilon: 0.05  Episode Reward: -365.31  Average reward: -555.36
Episode: 79  Epsilon: 0.05  Episode Reward: -524.44  Average reward: -554.97
Episode: 80  Epsilon: 0.05  Episode Reward: -327.60  Average reward: -552.12
Episode: 81  Epsilon: 0.05  Episode Reward: -438.75  Average reward: -550.72
Episode: 82  Epsilon: 0.05  Episode Reward: -840.21  Average reward: -554.25
Episode: 83  Epsilon: 0.05  Episode Reward: -474.50  Average reward: -553.29
Episode: 84  Epsilon: 0.05  Episode Reward: -570.15  Average reward: -553.49
Episode: 85  Epsilon: 0.05  Episode Reward: -412.69  Average reward: -551.84
Episode: 86  Epsilon: 0.05  Episode Reward: -429.57  Average reward: -550.42
Episode: 87  Epsilon: 0.05  Episode Reward: -426.05  Average reward: -548.99
Episode: 88  Epsilon: 0.05  Episode Reward: -1238.60  Average reward: -556.82
Episode: 89  Epsilon: 0.05  Episode Reward: -633.34  Average reward: -557.68
Episode: 90  Epsilon: 0.05  Episode Reward: -450.40  Average reward: -556.49
Episode: 91  Epsilon: 0.05  Episode Reward: -520.78  Average reward: -556.10
Episode: 92  Epsilon: 0.05  Episode Reward: -325.93  Average reward: -553.60
Episode: 93  Epsilon: 0.05  Episode Reward: -536.60  Average reward: -553.41
Episode: 94  Epsilon: 0.05  Episode Reward: -490.24  Average reward: -552.74
Episode: 95  Epsilon: 0.05  Episode Reward: -491.81  Average reward: -552.10
Episode: 96  Epsilon: 0.05  Episode Reward: -569.12  Average reward: -552.28
Episode: 97  Epsilon: 0.05  Episode Reward: -474.11  Average reward: -551.47
Episode: 98  Epsilon: 0.05  Episode Reward: -940.45  Average reward: -555.44
Episode: 99  Epsilon: 0.05  Episode Reward: -487.04  Average reward: -554.75
Episode: 100  Epsilon: 0.05  Episode Reward: -302.23  Average reward: -552.22
Episode: 101  Epsilon: 0.05  Episode Reward: -489.88  Average reward: -552.48
Episode: 102  Epsilon: 0.05  Episode Reward: -489.15  Average reward: -553.84
Episode: 103  Epsilon: 0.05  Episode Reward: -943.10  Average reward: -558.16
Episode: 104  Epsilon: 0.05  Episode Reward: -487.69  Average reward: -557.89
Episode: 105  Epsilon: 0.05  Episode Reward: -516.75  Average reward: -560.46
Episode: 106  Epsilon: 0.05  Episode Reward: -498.33  Average reward: -563.82
Episode: 107  Epsilon: 0.05  Episode Reward: -616.73  Average reward: -566.45
Episode: 108  Epsilon: 0.05  Episode Reward: -433.63  Average reward: -566.28
Episode: 109  Epsilon: 0.05  Episode Reward: -767.35  Average reward: -568.05
Episode: 110  Epsilon: 0.05  Episode Reward: -384.47  Average reward: -568.36
Episode: 111  Epsilon: 0.05  Episode Reward: -526.88  Average reward: -569.26
Episode: 112  Epsilon: 0.05  Episode Reward: -413.69  Average reward: -568.58
Episode: 113  Epsilon: 0.05  Episode Reward: -665.01  Average reward: -571.41
Episode: 114  Epsilon: 0.05  Episode Reward: -647.18  Average reward: -571.69
Episode: 115  Epsilon: 0.05  Episode Reward: -584.64  Average reward: -570.21
Episode: 116  Epsilon: 0.05  Episode Reward: -838.79  Average reward: -573.76
Episode: 117  Epsilon: 0.05  Episode Reward: -550.48  Average reward: -573.39
Episode: 118  Epsilon: 0.05  Episode Reward: -379.84  Average reward: -571.89
Episode: 119  Epsilon: 0.05  Episode Reward: -609.40  Average reward: -572.52
Episode: 120  Epsilon: 0.05  Episode Reward: -973.92  Average reward: -577.62
Episode: 121  Epsilon: 0.05  Episode Reward: -559.57  Average reward: -578.31
Episode: 122  Epsilon: 0.05  Episode Reward: -436.36  Average reward: -578.83
Episode: 123  Epsilon: 0.05  Episode Reward: -489.26  Average reward: -579.91
Episode: 124  Epsilon: 0.05  Episode Reward: -386.77  Average reward: -579.35
Episode: 125  Epsilon: 0.05  Episode Reward: -673.78  Average reward: -580.62
Episode: 126  Epsilon: 0.05  Episode Reward: -737.67  Average reward: -581.04
Episode: 127  Epsilon: 0.05  Episode Reward: -412.07  Average reward: -581.30
Episode: 128  Epsilon: 0.05  Episode Reward: -473.36  Average reward: -582.02
Episode: 129  Epsilon: 0.05  Episode Reward: -466.02  Average reward: -582.43
Episode: 130  Epsilon: 0.05  Episode Reward: -512.38  Average reward: -579.67
Episode: 131  Epsilon: 0.05  Episode Reward: -377.18  Average reward: -577.74
Episode: 132  Epsilon: 0.05  Episode Reward: -425.92  Average reward: -575.03
Episode: 133  Epsilon: 0.05  Episode Reward: -728.84  Average reward: -573.92
Episode: 134  Epsilon: 0.05  Episode Reward: -477.28  Average reward: -571.52
Episode: 135  Epsilon: 0.05  Episode Reward: -848.41  Average reward: -575.54
Episode: 136  Epsilon: 0.05  Episode Reward: -764.22  Average reward: -578.66
Episode: 137  Epsilon: 0.05  Episode Reward: -554.10  Average reward: -579.61
Episode: 138  Epsilon: 0.05  Episode Reward: -476.32  Average reward: -580.97
Episode: 139  Epsilon: 0.05  Episode Reward: -531.08  Average reward: -581.12
Episode: 140  Epsilon: 0.05  Episode Reward: -394.21  Average reward: -575.09
Episode: 141  Epsilon: 0.05  Episode Reward: -775.43  Average reward: -575.10
Episode: 142  Epsilon: 0.05  Episode Reward: -513.48  Average reward: -574.21
Episode: 143  Epsilon: 0.05  Episode Reward: -549.72  Average reward: -574.96
Episode: 144  Epsilon: 0.05  Episode Reward: -481.37  Average reward: -571.73
Episode: 145  Epsilon: 0.05  Episode Reward: -514.72  Average reward: -568.97
Episode: 146  Epsilon: 0.05  Episode Reward: -895.02  Average reward: -569.47
Episode: 147  Epsilon: 0.05  Episode Reward: -560.60  Average reward: -567.71
Episode: 148  Epsilon: 0.05  Episode Reward: -537.63  Average reward: -569.04
Episode: 149  Epsilon: 0.05  Episode Reward: -499.62  Average reward: -568.62
Episode: 150  Epsilon: 0.05  Episode Reward: -475.08  Average reward: -569.28
Episode: 151  Epsilon: 0.05  Episode Reward: -454.87  Average reward: -568.82
Episode: 152  Epsilon: 0.05  Episode Reward: -454.93  Average reward: -566.73
Episode: 153  Epsilon: 0.05  Episode Reward: -352.86  Average reward: -566.04
Episode: 154  Epsilon: 0.05  Episode Reward: -487.14  Average reward: -567.49
Episode: 155  Epsilon: 0.05  Episode Reward: -711.94  Average reward: -564.88
Episode: 156  Epsilon: 0.05  Episode Reward: -718.92  Average reward: -563.64
Episode: 157  Epsilon: 0.05  Episode Reward: -720.40  Average reward: -560.74
Episode: 158  Epsilon: 0.05  Episode Reward: -455.36  Average reward: -555.91
Episode: 159  Epsilon: 0.05  Episode Reward: -690.02  Average reward: -556.39
