+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.500     |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -270.84022323283403 | Average Reward: -270.840 | Steps:   132 | Total Reward: -270.84022323283403|
| Episode:   2 | Epsilon:  0.86 | Reward: -324.83716324194813 | Average Reward: -297.839 | Steps:   255 | Total Reward: -595.6773864747812|
| Episode:   3 | Epsilon:  0.82 | Reward: -265.4604880887415 | Average Reward: -287.046 | Steps:   349 | Total Reward: -861.1378745635217|
| Episode:   4 | Epsilon:  0.79 | Reward: -392.3410509155922 | Average Reward: -313.370 | Steps:   472 | Total Reward: -1253.4789254791128|
| Episode:   5 | Epsilon:  0.75 | Reward: -411.49950528937137 | Average Reward: -332.996 | Steps:   579 | Total Reward: -1664.9784307684831|
| Episode:   6 | Epsilon:  0.72 | Reward: -387.72446385372115 | Average Reward: -342.117 | Steps:   660 | Total Reward: -2052.7028946222026|
| Episode:   7 | Epsilon:  0.69 | Reward: -378.0088656910024 | Average Reward: -347.245 | Steps:   737 | Total Reward: -2430.711760313206|
| Episode:   8 | Epsilon:  0.66 | Reward: -362.6680389181622 | Average Reward: -349.172 | Steps:   822 | Total Reward: -2793.3797992313666|
| Episode:   9 | Epsilon:  0.64 | Reward: -266.6729195836273 | Average Reward: -340.006 | Steps:   974 | Total Reward: -3060.0527188149936|
| Episode:  10 | Epsilon:  0.61 | Reward: -306.8060735750656 | Average Reward: -336.686 | Steps:  1062 | Total Reward: -3366.85879239006|
| Episode:  11 | Epsilon:  0.59 | Reward: -413.43715463062955 | Average Reward: -343.663 | Steps:  1266 | Total Reward: -3780.295947020691|
