+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.005     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -381.8820040654848 | Average Reward: -381.882 | Steps:   138 | Total Reward: -381.8820040654848|
| Episode:   2 | Epsilon:  0.86 | Reward: -157.83632872987306 | Average Reward: -269.859 | Steps:   233 | Total Reward: -539.7183327953574|
| Episode:   3 | Epsilon:  0.82 | Reward: -407.2184274444753 | Average Reward: -315.646 | Steps:   325 | Total Reward: -946.936760239832|
| Episode:   4 | Epsilon:  0.79 | Reward: -164.51452603702157 | Average Reward: -277.863 | Steps:   448 | Total Reward: -1111.4512862768531|
| Episode:   5 | Epsilon:  0.75 | Reward: -338.3026030253051 | Average Reward: -289.951 | Steps:   538 | Total Reward: -1449.7538893021583|
| Episode:   6 | Epsilon:  0.72 | Reward: -237.29713399610586 | Average Reward: -281.175 | Steps:   640 | Total Reward: -1687.0510232982635|
| Episode:   7 | Epsilon:  0.69 | Reward: -243.71729752130818 | Average Reward: -275.824 | Steps:   820 | Total Reward: -1930.7683208195701|
| Episode:   8 | Epsilon:  0.66 | Reward: -397.07853472997454 | Average Reward: -290.981 | Steps:   901 | Total Reward: -2327.846855549543|
| Episode:   9 | Epsilon:  0.64 | Reward: -213.44564142360034 | Average Reward: -282.366 | Steps:  1000 | Total Reward: -2541.292496973144|
| Episode:  10 | Epsilon:  0.61 | Reward: -271.4307340891571 | Average Reward: -281.272 | Steps:  1130 | Total Reward: -2812.7232310623|
| Episode:  11 | Epsilon:  0.59 | Reward: -550.2038832341093 | Average Reward: -305.721 | Steps:  1241 | Total Reward: -3362.9271142964085|
| Episode:  12 | Epsilon:  0.56 | Reward: -1049.0952378433738 | Average Reward: -367.669 | Steps:  1549 | Total Reward: -4412.022352139786|
| Episode:  13 | Epsilon:  0.54 | Reward: -328.3540842979513 | Average Reward: -364.644 | Steps:  1755 | Total Reward: -4740.376436437734|
| Episode:  14 | Epsilon:  0.52 | Reward: -425.799010639866 | Average Reward: -369.013 | Steps:  1925 | Total Reward: -5166.1754470775995|
| Episode:  15 | Epsilon:  0.50 | Reward: -321.0232401713326 | Average Reward: -365.813 | Steps:  2070 | Total Reward: -5487.198687248937|
