+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -88.77167291750705 | Average Reward: -88.772 | Steps:   103 | Total Reward: -88.77167291750705|
| Episode:   2 | Epsilon:  0.86 | Reward: -346.96499014282347 | Average Reward: -217.868 | Steps:   213 | Total Reward: -435.73666306033044|
| Episode:   3 | Epsilon:  0.82 | Reward: -95.55196807062389 | Average Reward: -177.096 | Steps:   298 | Total Reward: -531.2886311309537|
| Episode:   4 | Epsilon:  0.79 | Reward: -242.39707530007175 | Average Reward: -193.421 | Steps:   396 | Total Reward: -773.6857064310249|
| Episode:   5 | Epsilon:  0.75 | Reward: -135.97740188090262 | Average Reward: -181.933 | Steps:   474 | Total Reward: -909.6631083119267|
| Episode:   6 | Epsilon:  0.72 | Reward: -239.63299380267685 | Average Reward: -191.549 | Steps:   568 | Total Reward: -1149.2961021146034|
| Episode:   7 | Epsilon:  0.69 | Reward: 15.87110947594644 | Average Reward: -161.918 | Steps:   650 | Total Reward: -1133.424992638656|
| Episode:   8 | Epsilon:  0.66 | Reward: -343.53874011210286 | Average Reward: -184.620 | Steps:   728 | Total Reward: -1476.9637327507573|
| Episode:   9 | Epsilon:  0.64 | Reward: -351.01415827130427 | Average Reward: -203.109 | Steps:   811 | Total Reward: -1827.977891022061|
| Episode:  10 | Epsilon:  0.61 | Reward: -460.6246477092727 | Average Reward: -228.860 | Steps:   894 | Total Reward: -2288.602538731333|
| Episode:  11 | Epsilon:  0.59 | Reward: -468.9330981991519 | Average Reward: -250.685 | Steps:   992 | Total Reward: -2757.5356369304827|
| Episode:  12 | Epsilon:  0.56 | Reward: -449.65826121285914 | Average Reward: -267.266 | Steps:  1075 | Total Reward: -3207.1938981433395|
| Episode:  13 | Epsilon:  0.54 | Reward: -268.03901472164137 | Average Reward: -267.326 | Steps:  1140 | Total Reward: -3475.23291286498|
| Episode:  14 | Epsilon:  0.52 | Reward: -389.8233976729502 | Average Reward: -276.075 | Steps:  1207 | Total Reward: -3865.056310537931|
| Episode:  15 | Epsilon:  0.50 | Reward: -452.9082454169137 | Average Reward: -287.864 | Steps:  1296 | Total Reward: -4317.964555954846|
| Episode:  16 | Epsilon:  0.48 | Reward: -376.826631264085 | Average Reward: -293.424 | Steps:  1363 | Total Reward: -4694.791187218928|
| Episode:  17 | Epsilon:  0.46 | Reward: -364.0143322298966 | Average Reward: -297.577 | Steps:  1435 | Total Reward: -5058.805519448824|
| Episode:  18 | Epsilon:  0.44 | Reward: -555.978614570901 | Average Reward: -311.932 | Steps:  1525 | Total Reward: -5614.7841340197265|
| Episode:  19 | Epsilon:  0.43 | Reward: -452.1264275181594 | Average Reward: -319.311 | Steps:  1605 | Total Reward: -6066.910561537886|
| Episode:  20 | Epsilon:  0.41 | Reward: -450.66726065867493 | Average Reward: -325.879 | Steps:  1678 | Total Reward: -6517.577822196563|
| Episode:  21 | Epsilon:  0.39 | Reward: -500.01558297347447 | Average Reward: -334.171 | Steps:  1763 | Total Reward: -7017.593405170039|
| Episode:  22 | Epsilon:  0.38 | Reward: -458.7019907407059 | Average Reward: -339.832 | Steps:  1855 | Total Reward: -7476.295395910746|
| Episode:  23 | Epsilon:  0.37 | Reward: -447.23638197502976 | Average Reward: -344.501 | Steps:  1917 | Total Reward: -7923.531777885775|
| Episode:  24 | Epsilon:  0.35 | Reward: -322.27934600554147 | Average Reward: -343.575 | Steps:  1980 | Total Reward: -8245.811123891315|
| Episode:  25 | Epsilon:  0.34 | Reward: -289.0342184140664 | Average Reward: -341.394 | Steps:  2032 | Total Reward: -8534.845342305382|
