C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/fsdf.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.000     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -221.48787549824806 | Average Reward: -221.488 | Steps:   123 | Total Reward: -221.48787549824806|
| Episode:   2 | Epsilon:  0.86 | Reward: -73.80868828824141 | Average Reward: -147.648 | Steps:   228 | Total Reward: -295.29656378648997|
| Episode:   3 | Epsilon:  0.82 | Reward: -163.13694014792645 | Average Reward: -152.811 | Steps:   289 | Total Reward: -458.4335039344159|
| Episode:   4 | Epsilon:  0.79 | Reward: -383.7616494100408 | Average Reward: -210.549 | Steps:   372 | Total Reward: -842.195153344456|
| Episode:   5 | Epsilon:  0.75 | Reward: -286.1585792053527 | Average Reward: -225.671 | Steps:   464 | Total Reward: -1128.3537325498075|
| Episode:   6 | Epsilon:  0.72 | Reward: -541.2762781215522 | Average Reward: -278.272 | Steps:   569 | Total Reward: -1669.6300106713588|
| Episode:   7 | Epsilon:  0.69 | Reward: -307.3160406280873 | Average Reward: -282.421 | Steps:   716 | Total Reward: -1976.9460512994451|
| Episode:   8 | Epsilon:  0.66 | Reward: -258.35894497147945 | Average Reward: -279.413 | Steps:   792 | Total Reward: -2235.3049962709247|
| Episode:   9 | Epsilon:  0.64 | Reward: -372.1159393065033 | Average Reward: -289.713 | Steps:   932 | Total Reward: -2607.4209355774306|
| Episode:  10 | Epsilon:  0.61 | Reward: -283.20803828879707 | Average Reward: -289.063 | Steps:  1168 | Total Reward: -2890.6289738662244|
| Episode:  11 | Epsilon:  0.59 | Reward: -542.3925576858112 | Average Reward: -312.093 | Steps:  1351 | Total Reward: -3433.021531552032|
| Episode:  12 | Epsilon:  0.56 | Reward: -354.66135808393096 | Average Reward: -315.640 | Steps:  1454 | Total Reward: -3787.6828896359634|
| Episode:  13 | Epsilon:  0.54 | Reward: -334.8183584478925 | Average Reward: -317.115 | Steps:  1550 | Total Reward: -4122.501248083856|
| Episode:  14 | Epsilon:  0.52 | Reward: -952.0729915369644 | Average Reward: -362.470 | Steps:  1807 | Total Reward: -5074.57423962082|
| Episode:  15 | Epsilon:  0.50 | Reward: -347.7942599697349 | Average Reward: -361.491 | Steps:  2033 | Total Reward: -5422.368499590552|
| Episode:  16 | Epsilon:  0.48 | Reward: -351.88706994553746 | Average Reward: -360.891 | Steps:  2111 | Total Reward: -5774.255569536088|
| Episode:  17 | Epsilon:  0.46 | Reward: -207.28589196977103 | Average Reward: -351.855 | Steps:  2184 | Total Reward: -5981.541461505857|
| Episode:  18 | Epsilon:  0.44 | Reward: -94.57539954843446 | Average Reward: -337.562 | Steps:  2246 | Total Reward: -6076.116861054291|
| Episode:  19 | Epsilon:  0.43 | Reward: -85.04599324782846 | Average Reward: -324.272 | Steps:  2305 | Total Reward: -6161.162854302121|
| Episode:  20 | Epsilon:  0.41 | Reward: -46.63421233218442 | Average Reward: -310.390 | Steps:  2416 | Total Reward: -6207.797066634303|
| Episode:  21 | Epsilon:  0.39 | Reward: -401.39305294126206 | Average Reward: -314.723 | Steps:  2494 | Total Reward: -6609.190119575566|
| Episode:  22 | Epsilon:  0.38 | Reward: -309.53561836195723 | Average Reward: -314.488 | Steps:  2605 | Total Reward: -6918.725737937524|
