+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | rmsprop   |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -216.66627566704537 | Average Reward: -216.666 | Steps:   113 | Total Reward: -216.66627566704537|
| Episode:   2 | Epsilon:  0.86 | Reward: -165.35854926138757 | Average Reward: -191.012 | Steps:   183 | Total Reward: -382.0248249284326|
| Episode:   3 | Epsilon:  0.82 | Reward: -323.53563502160057 | Average Reward: -235.187 | Steps:   287 | Total Reward: -705.5604599500331|
| Episode:   4 | Epsilon:  0.79 | Reward: -215.7368910440519 | Average Reward: -230.324 | Steps:   406 | Total Reward: -921.2973509940842|
| Episode:   5 | Epsilon:  0.75 | Reward: -117.8284939064829 | Average Reward: -207.825 | Steps:   516 | Total Reward: -1039.1258449005666|
| Episode:   6 | Epsilon:  0.72 | Reward: -118.62444318836546 | Average Reward: -192.958 | Steps:   605 | Total Reward: -1157.7502880889313|
| Episode:   7 | Epsilon:  0.69 | Reward: -227.05367821331265 | Average Reward: -197.829 | Steps:   702 | Total Reward: -1384.8039663022437|
| Episode:   8 | Epsilon:  0.66 | Reward: -155.24560675973913 | Average Reward: -192.506 | Steps:   776 | Total Reward: -1540.049573061983|
| Episode:   9 | Epsilon:  0.64 | Reward: -119.9438750192782 | Average Reward: -184.444 | Steps:   842 | Total Reward: -1659.9934480812617|
| Episode:  10 | Epsilon:  0.61 | Reward: -100.93892578160111 | Average Reward: -176.093 | Steps:   913 | Total Reward: -1760.932373862861|
| Episode:  11 | Epsilon:  0.59 | Reward: -338.8477851935377 | Average Reward: -190.889 | Steps:  1025 | Total Reward: -2099.7801590563995|
| Episode:  12 | Epsilon:  0.56 | Reward: -117.21527148204476 | Average Reward: -184.750 | Steps:  1139 | Total Reward: -2216.995430538442|
| Episode:  13 | Epsilon:  0.54 | Reward: -110.55872212857906 | Average Reward: -179.043 | Steps:  1208 | Total Reward: -2327.5541526670204|
| Episode:  14 | Epsilon:  0.52 | Reward: -80.55529502745381 | Average Reward: -172.008 | Steps:  1271 | Total Reward: -2408.1094476944727|
| Episode:  15 | Epsilon:  0.50 | Reward: -96.8636981469754 | Average Reward: -166.998 | Steps:  1354 | Total Reward: -2504.9731458414462|
| Episode:  16 | Epsilon:  0.48 | Reward: -147.1002109243487 | Average Reward: -165.755 | Steps:  1412 | Total Reward: -2652.0733567657953|
| Episode:  17 | Epsilon:  0.46 | Reward: -107.35080879470726 | Average Reward: -162.319 | Steps:  1468 | Total Reward: -2759.4241655605033|
| Episode:  18 | Epsilon:  0.44 | Reward: -93.15954054511128 | Average Reward: -158.477 | Steps:  1526 | Total Reward: -2852.5837061056154|
| Episode:  19 | Epsilon:  0.43 | Reward: -109.56005917461663 | Average Reward: -155.902 | Steps:  1590 | Total Reward: -2962.1437652802324|
| Episode:  20 | Epsilon:  0.41 | Reward: -165.14242959815573 | Average Reward: -156.364 | Steps:  1658 | Total Reward: -3127.28619487839|
| Episode:  21 | Epsilon:  0.39 | Reward: -130.37212511207747 | Average Reward: -155.127 | Steps:  1749 | Total Reward: -3257.658319990467|
| Episode:  22 | Epsilon:  0.38 | Reward: -102.5504585024328 | Average Reward: -152.737 | Steps:  1812 | Total Reward: -3360.208778492899|
| Episode:  23 | Epsilon:  0.37 | Reward: -248.9087002444535 | Average Reward: -156.918 | Steps:  1911 | Total Reward: -3609.117478737354|
| Episode:  24 | Epsilon:  0.35 | Reward: -99.26294391598199 | Average Reward: -154.516 | Steps:  1965 | Total Reward: -3708.3804226533357|
| Episode:  25 | Epsilon:  0.34 | Reward: -72.15658987678977 | Average Reward: -151.221 | Steps:  2097 | Total Reward: -3780.5370125301247|
| Episode:  26 | Epsilon:  0.33 | Reward: -61.96941567747695 | Average Reward: -147.789 | Steps:  2206 | Total Reward: -3842.506428207601|
| Episode:  27 | Epsilon:  0.32 | Reward: -99.0658673484456 | Average Reward: -145.984 | Steps:  2657 | Total Reward: -3941.572295556044|
| Episode:  28 | Epsilon:  0.31 | Reward: -63.946897361765124 | Average Reward: -143.054 | Steps:  3007 | Total Reward: -4005.519192917805|
| Episode:  29 | Epsilon:  0.30 | Reward: -37.06836726420529 | Average Reward: -139.400 | Steps:  3200 | Total Reward: -4042.587560182006|
| Episode:  30 | Epsilon:  0.29 | Reward: 100.8420919287257 | Average Reward: -131.392 | Steps:  4200 | Total Reward: -3941.7454682532803|
| Episode:  31 | Epsilon:  0.28 | Reward: -71.82050683797276 | Average Reward: -129.470 | Steps:  4438 | Total Reward: -4013.565975091255|
| Episode:  32 | Epsilon:  0.27 | Reward: -87.48509747086327 | Average Reward: -128.158 | Steps:  4562 | Total Reward: -4101.051072562117|
| Episode:  33 | Epsilon:  0.26 | Reward: -49.968971125320536 | Average Reward: -125.788 | Steps:  4762 | Total Reward: -4151.020043687438|
| Episode:  34 | Epsilon:  0.25 | Reward: -225.1806926125138 | Average Reward: -128.712 | Steps:  4950 | Total Reward: -4376.2007362999575|
| Episode:  35 | Epsilon:  0.25 | Reward: 36.44784962988811 | Average Reward: -123.993 | Steps:  5174 | Total Reward: -4339.7528866700695|
| Episode:  36 | Epsilon:  0.24 | Reward: -90.80208103408238 | Average Reward: -123.071 | Steps:  5302 | Total Reward: -4430.554967704151|
| Episode:  37 | Epsilon:  0.23 | Reward: 16.723815381266135 | Average Reward: -119.293 | Steps:  5532 | Total Reward: -4413.831152322886|
| Episode:  38 | Epsilon:  0.23 | Reward: -36.12711893593881 | Average Reward: -117.104 | Steps:  5766 | Total Reward: -4449.958271258819|
| Episode:  39 | Epsilon:  0.22 | Reward: 170.485062159939 | Average Reward: -109.730 | Steps:  6766 | Total Reward: -4279.473209098872|
| Episode:  40 | Epsilon:  0.21 | Reward: -297.7043857229524 | Average Reward: -114.429 | Steps:  7058 | Total Reward: -4577.177594821827|
| Episode:  41 | Epsilon:  0.21 | Reward: -47.52381990342277 | Average Reward: -112.798 | Steps:  7262 | Total Reward: -4624.701414725243|
| Episode:  42 | Epsilon:  0.20 | Reward: -334.87673952268585 | Average Reward: -118.085 | Steps:  7503 | Total Reward: -4959.578154247931|
| Episode:  43 | Epsilon:  0.20 | Reward: -100.88268051009032 | Average Reward: -117.685 | Steps:  7739 | Total Reward: -5060.4608347580215|
| Episode:  44 | Epsilon:  0.19 | Reward: -52.9237478547652 | Average Reward: -116.213 | Steps:  8001 | Total Reward: -5113.384582612788|
| Episode:  45 | Epsilon:  0.19 | Reward: -6.235976277167325 | Average Reward: -113.769 | Steps:  8232 | Total Reward: -5119.620558889957|
| Episode:  46 | Epsilon:  0.18 | Reward: -210.89214043930212 | Average Reward: -115.881 | Steps:  8419 | Total Reward: -5330.5126993292615|
| Episode:  47 | Epsilon:  0.18 | Reward: -195.03198787747414 | Average Reward: -117.565 | Steps:  8647 | Total Reward: -5525.544687206735|
| Episode:  48 | Epsilon:  0.18 | Reward: -180.6737751299308 | Average Reward: -118.880 | Steps:  8873 | Total Reward: -5706.218462336663|
| Episode:  49 | Epsilon:  0.17 | Reward: -197.49729818362437 | Average Reward: -120.484 | Steps:  9086 | Total Reward: -5903.7157605202865|
| Episode:  50 | Epsilon:  0.17 | Reward: -38.75415813537349 | Average Reward: -118.849 | Steps:  9285 | Total Reward: -5942.46991865566|
| Episode:  51 | Epsilon:  0.17 | Reward: 239.8790730839499 | Average Reward: -111.816 | Steps: 10074 | Total Reward: -5702.590845571707|
| Episode:  52 | Epsilon:  0.16 | Reward: -147.9771259087426 | Average Reward: -112.511 | Steps: 10249 | Total Reward: -5850.567971480451|
| Episode:  53 | Epsilon:  0.16 | Reward: -105.5258543767464 | Average Reward: -112.379 | Steps: 10454 | Total Reward: -5956.093825857195|
| Episode:  54 | Epsilon:  0.16 | Reward: -285.0404286153923 | Average Reward: -115.577 | Steps: 10635 | Total Reward: -6241.1342544725885|
| Episode:  55 | Epsilon:  0.15 | Reward: -64.74992577639028 | Average Reward: -114.652 | Steps: 10761 | Total Reward: -6305.884180248974|
| Episode:  56 | Epsilon:  0.15 | Reward: -36.43391010573758 | Average Reward: -113.256 | Steps: 11005 | Total Reward: -6342.318090354704|
| Episode:  57 | Epsilon:  0.15 | Reward: -212.48590711542 | Average Reward: -114.997 | Steps: 11175 | Total Reward: -6554.803997470123|
| Episode:  58 | Epsilon:  0.15 | Reward: -235.97637875171532 | Average Reward: -117.082 | Steps: 11327 | Total Reward: -6790.780376221832|
| Episode:  59 | Epsilon:  0.14 | Reward: -258.9981056886904 | Average Reward: -119.488 | Steps: 11680 | Total Reward: -7049.778481910514|
| Episode:  60 | Epsilon:  0.14 | Reward: -215.55557042819248 | Average Reward: -121.089 | Steps: 11831 | Total Reward: -7265.334052338704|
| Episode:  61 | Epsilon:  0.14 | Reward: -123.74152022889436 | Average Reward: -121.132 | Steps: 11983 | Total Reward: -7389.075572567596|
| Episode:  62 | Epsilon:  0.14 | Reward: -258.32184189782527 | Average Reward: -123.345 | Steps: 12242 | Total Reward: -7647.397414465416|
| Episode:  63 | Epsilon:  0.14 | Reward: -37.6942793628384 | Average Reward: -121.986 | Steps: 12418 | Total Reward: -7685.09169382825|
| Episode:  64 | Epsilon:  0.13 | Reward: -54.77482749160441 | Average Reward: -120.935 | Steps: 12664 | Total Reward: -7739.866521319855|
| Episode:  65 | Epsilon:  0.13 | Reward: -286.51177340643386 | Average Reward: -123.483 | Steps: 12915 | Total Reward: -8026.378294726284|
| Episode:  66 | Epsilon:  0.13 | Reward: 219.88528691725676 | Average Reward: -118.280 | Steps: 13427 | Total Reward: -7806.49300780903|
| Episode:  67 | Epsilon:  0.13 | Reward: -177.96527813612977 | Average Reward: -119.171 | Steps: 13583 | Total Reward: -7984.458285945156|
| Episode:  68 | Epsilon:  0.13 | Reward: -246.86471235731923 | Average Reward: -121.049 | Steps: 13792 | Total Reward: -8231.322998302476|
| Episode:  69 | Epsilon:  0.13 | Reward: 0.8749232280433858 | Average Reward: -119.282 | Steps: 13994 | Total Reward: -8230.448075074422|
| Episode:  70 | Epsilon:  0.13 | Reward: -53.73708244090558 | Average Reward: -118.346 | Steps: 14231 | Total Reward: -8284.185157515321|
| Episode:  71 | Epsilon:  0.12 | Reward: -197.63106460783337 | Average Reward: -119.462 | Steps: 14374 | Total Reward: -8481.816222123149|
| Episode:  72 | Epsilon:  0.12 | Reward: -135.75043295029806 | Average Reward: -119.688 | Steps: 14538 | Total Reward: -8617.56665507344|
| Episode:  73 | Epsilon:  0.12 | Reward: -273.1673263271134 | Average Reward: -121.791 | Steps: 14757 | Total Reward: -8890.733981400555|
| Episode:  74 | Epsilon:  0.12 | Reward: 217.0824567805476 | Average Reward: -117.212 | Steps: 15216 | Total Reward: -8673.651524619994|
| Episode:  75 | Epsilon:  0.12 | Reward: 23.37327834015464 | Average Reward: -115.337 | Steps: 15414 | Total Reward: -8650.27824627983|
| Episode:  76 | Epsilon:  0.12 | Reward: -22.557702335734945 | Average Reward: -114.116 | Steps: 15595 | Total Reward: -8672.835948615557|
| Episode:  77 | Epsilon:  0.12 | Reward: -22.464712590490166 | Average Reward: -112.926 | Steps: 15784 | Total Reward: -8695.300661206054|
| Episode:  78 | Epsilon:  0.12 | Reward: -57.63533244638445 | Average Reward: -112.217 | Steps: 16062 | Total Reward: -8752.93599365244|
| Episode:  79 | Epsilon:  0.12 | Reward: -25.227961134414983 | Average Reward: -111.116 | Steps: 16278 | Total Reward: -8778.163954786849|
| Episode:  80 | Epsilon:  0.12 | Reward: -29.85037101652358 | Average Reward: -110.100 | Steps: 16525 | Total Reward: -8808.014325803375|
| Episode:  81 | Epsilon:  0.11 | Reward: -101.58866881009581 | Average Reward: -109.995 | Steps: 16793 | Total Reward: -8909.602994613464|
| Episode:  82 | Epsilon:  0.11 | Reward: -53.62848376750294 | Average Reward: -109.308 | Steps: 17075 | Total Reward: -8963.231478380989|
| Episode:  83 | Epsilon:  0.11 | Reward: -226.89815467501867 | Average Reward: -110.724 | Steps: 17245 | Total Reward: -9190.129633056002|
| Episode:  84 | Epsilon:  0.11 | Reward: -183.16172697362697 | Average Reward: -111.587 | Steps: 17498 | Total Reward: -9373.291360029622|
| Episode:  85 | Epsilon:  0.11 | Reward: 8.94855566044474 | Average Reward: -110.169 | Steps: 17690 | Total Reward: -9364.342804369187|
| Episode:  86 | Epsilon:  0.11 | Reward: -278.81351769918274 | Average Reward: -112.130 | Steps: 18032 | Total Reward: -9643.156322068366|
| Episode:  87 | Epsilon:  0.11 | Reward: -35.87543234728426 | Average Reward: -111.253 | Steps: 18216 | Total Reward: -9679.031754415644|
| Episode:  88 | Epsilon:  0.11 | Reward: 214.82983799744312 | Average Reward: -107.548 | Steps: 18574 | Total Reward: -9464.201916418202|
| Episode:  89 | Epsilon:  0.11 | Reward: 183.8225669872192 | Average Reward: -104.274 | Steps: 19162 | Total Reward: -9280.379349430981|
| Episode:  90 | Epsilon:  0.11 | Reward: -230.790088042777 | Average Reward: -105.680 | Steps: 19407 | Total Reward: -9511.169437473769|
| Episode:  91 | Epsilon:  0.11 | Reward: -62.349195928382876 | Average Reward: -105.204 | Steps: 19584 | Total Reward: -9573.518633402156|
| Episode:  92 | Epsilon:  0.11 | Reward: -57.68382409339745 | Average Reward: -104.687 | Steps: 19852 | Total Reward: -9631.202457495552|
| Episode:  93 | Epsilon:  0.11 | Reward: -229.54953654650194 | Average Reward: -106.030 | Steps: 20086 | Total Reward: -9860.751994042068|
| Episode:  94 | Epsilon:  0.11 | Reward: -412.73499859198057 | Average Reward: -109.292 | Steps: 20228 | Total Reward: -10273.486992634062|
| Episode:  95 | Epsilon:  0.11 | Reward: -92.41377248624994 | Average Reward: -109.115 | Steps: 20443 | Total Reward: -10365.90076512031|
| Episode:  96 | Epsilon:  0.11 | Reward: -55.305980326278174 | Average Reward: -108.554 | Steps: 20644 | Total Reward: -10421.20674544659|
| Episode:  97 | Epsilon:  0.11 | Reward: -259.0287814188608 | Average Reward: -110.106 | Steps: 20924 | Total Reward: -10680.235526865445|
| Episode:  98 | Epsilon:  0.11 | Reward: -396.85794812819466 | Average Reward: -113.032 | Steps: 21876 | Total Reward: -11077.093474993626|
| Episode:  99 | Epsilon:  0.11 | Reward: -223.4410222093544 | Average Reward: -114.147 | Steps: 22102 | Total Reward: -11300.534497202998|
| Episode: 100 | Epsilon:  0.11 | Reward: -43.54314149768098 | Average Reward: -113.441 | Steps: 22381 | Total Reward: -11344.077638700666|
| Episode: 101 | Epsilon:  0.11 | Reward: -181.20538184266337 | Average Reward: -113.086 | Steps: 22561 | Total Reward: -11525.283020543333|
| Episode: 102 | Epsilon:  0.11 | Reward: -369.9743514915391 | Average Reward: -115.132 | Steps: 22715 | Total Reward: -11895.257372034868|
| Episode: 103 | Epsilon:  0.10 | Reward: -289.0741814754898 | Average Reward: -114.788 | Steps: 23033 | Total Reward: -12184.331553510347|
| Episode: 104 | Epsilon:  0.10 | Reward: -249.8600529518827 | Average Reward: -115.129 | Steps: 23324 | Total Reward: -12434.191606462224|
| Episode: 105 | Epsilon:  0.10 | Reward: -219.21848682546988 | Average Reward: -116.143 | Steps: 23624 | Total Reward: -12653.41009328767|
| Episode: 106 | Epsilon:  0.10 | Reward: -235.04245288075293 | Average Reward: -117.307 | Steps: 23857 | Total Reward: -12888.452546168437|
| Episode: 107 | Epsilon:  0.10 | Reward: 28.177085862779904 | Average Reward: -114.755 | Steps: 24137 | Total Reward: -12860.275460305666|
| Episode: 108 | Epsilon:  0.10 | Reward: -221.33418646543794 | Average Reward: -115.416 | Steps: 24318 | Total Reward: -13081.609646771105|
| Episode: 109 | Epsilon:  0.10 | Reward: 36.82214619069575 | Average Reward: -113.848 | Steps: 24545 | Total Reward: -13044.787500580416|
| Episode: 110 | Epsilon:  0.10 | Reward: -229.23429953691345 | Average Reward: -115.131 | Steps: 24773 | Total Reward: -13274.021800117323|
| Episode: 111 | Epsilon:  0.10 | Reward: 205.74415995561705 | Average Reward: -109.685 | Steps: 25303 | Total Reward: -13068.27764016169|
| Episode: 112 | Epsilon:  0.10 | Reward: -64.33438142450858 | Average Reward: -109.156 | Steps: 25518 | Total Reward: -13132.612021586208|
| Episode: 113 | Epsilon:  0.10 | Reward: -28.483785026398863 | Average Reward: -108.335 | Steps: 25687 | Total Reward: -13161.095806612608|
| Episode: 114 | Epsilon:  0.10 | Reward: -126.1750899744709 | Average Reward: -108.792 | Steps: 25875 | Total Reward: -13287.270896587073|
| Episode: 115 | Epsilon:  0.10 | Reward: 242.04121291257758 | Average Reward: -105.403 | Steps: 26472 | Total Reward: -13045.229683674506|
| Episode: 116 | Epsilon:  0.10 | Reward: 245.434425532839 | Average Reward: -101.477 | Steps: 26804 | Total Reward: -12799.795258141674|
| Episode: 117 | Epsilon:  0.10 | Reward: -238.58809385934237 | Average Reward: -102.790 | Steps: 27108 | Total Reward: -13038.383352000996|
| Episode: 118 | Epsilon:  0.10 | Reward: -119.13900369142138 | Average Reward: -103.049 | Steps: 27308 | Total Reward: -13157.522355692421|
| Episode: 119 | Epsilon:  0.10 | Reward: -233.4412151679374 | Average Reward: -104.288 | Steps: 27553 | Total Reward: -13390.963570860356|
| Episode: 120 | Epsilon:  0.10 | Reward: -212.610298108576 | Average Reward: -104.763 | Steps: 27860 | Total Reward: -13603.573868968926|
| Episode: 121 | Epsilon:  0.10 | Reward: -181.0614288941075 | Average Reward: -105.270 | Steps: 28064 | Total Reward: -13784.635297863038|
| Episode: 122 | Epsilon:  0.10 | Reward: -48.9301409883213 | Average Reward: -104.734 | Steps: 28353 | Total Reward: -13833.565438851367|
| Episode: 123 | Epsilon:  0.10 | Reward: -82.09406308941617 | Average Reward: -103.065 | Steps: 28530 | Total Reward: -13915.65950194079|
| Episode: 124 | Epsilon:  0.10 | Reward: -235.89205024415304 | Average Reward: -104.432 | Steps: 29143 | Total Reward: -14151.551552184928|
| Episode: 125 | Epsilon:  0.10 | Reward: 245.79908217495858 | Average Reward: -101.252 | Steps: 29611 | Total Reward: -13905.75247000996|
| Episode: 126 | Epsilon:  0.10 | Reward: 96.65792143084168 | Average Reward: -99.666 | Steps: 30611 | Total Reward: -13809.094548579113|
| Episode: 127 | Epsilon:  0.10 | Reward: -37.01430977014863 | Average Reward: -99.045 | Steps: 30850 | Total Reward: -13846.108858349262|
