C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.010     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -85.61252121492753 | Average Reward: -85.613 | Steps:   138 | Total Reward: -85.61252121492753|
| Episode:   2 | Epsilon:  0.86 | Reward: -138.6047317375412 | Average Reward: -112.109 | Steps:   300 | Total Reward: -224.2172529524691|
| Episode:   3 | Epsilon:  0.82 | Reward: -279.1884591957217 | Average Reward: -167.802 | Steps:   416 | Total Reward: -503.40571214819005|
| Episode:   4 | Epsilon:  0.79 | Reward: -91.46595054076815 | Average Reward: -148.718 | Steps:   515 | Total Reward: -594.8716626889578|
| Episode:   5 | Epsilon:  0.75 | Reward: -135.89307820921485 | Average Reward: -146.153 | Steps:   591 | Total Reward: -730.7647408981721|
| Episode:   6 | Epsilon:  0.72 | Reward: -229.0332865669762 | Average Reward: -159.966 | Steps:   743 | Total Reward: -959.7980274651471|
| Episode:   7 | Epsilon:  0.69 | Reward: -74.68659471847533 | Average Reward: -147.784 | Steps:   964 | Total Reward: -1034.4846221836206|
| Episode:   8 | Epsilon:  0.66 | Reward: -523.2076521687361 | Average Reward: -194.712 | Steps:  1149 | Total Reward: -1557.6922743523544|
| Episode:   9 | Epsilon:  0.64 | Reward: -229.64728445645997 | Average Reward: -198.593 | Steps:  1277 | Total Reward: -1787.3395588088126|
| Episode:  10 | Epsilon:  0.61 | Reward: -289.85618375225084 | Average Reward: -207.720 | Steps:  1379 | Total Reward: -2077.1957425610626|
| Episode:  11 | Epsilon:  0.59 | Reward: -421.3332459034756 | Average Reward: -227.139 | Steps:  1542 | Total Reward: -2498.5289884645354|
| Episode:  12 | Epsilon:  0.56 | Reward: -361.25556363199604 | Average Reward: -238.315 | Steps:  1676 | Total Reward: -2859.784552096531|
| Episode:  13 | Epsilon:  0.54 | Reward: -428.89989465396417 | Average Reward: -252.976 | Steps:  1769 | Total Reward: -3288.6844467504948|
| Episode:  14 | Epsilon:  0.52 | Reward: -461.26342808182426 | Average Reward: -267.853 | Steps:  1878 | Total Reward: -3749.947874832317|
| Episode:  15 | Epsilon:  0.50 | Reward: -520.9776053255689 | Average Reward: -284.728 | Steps:  2118 | Total Reward: -4270.925480157885|
| Episode:  16 | Epsilon:  0.48 | Reward: -23.828333549723908 | Average Reward: -268.422 | Steps:  2263 | Total Reward: -4294.75381370761|
| Episode:  17 | Epsilon:  0.46 | Reward: -35.655594727215956 | Average Reward: -254.730 | Steps:  2532 | Total Reward: -4330.409408434825|
| Episode:  18 | Epsilon:  0.44 | Reward: -49.91868220951294 | Average Reward: -243.352 | Steps:  2689 | Total Reward: -4380.328090644336|
| Episode:  19 | Epsilon:  0.43 | Reward: 89.70562506232807 | Average Reward: -225.822 | Steps:  3689 | Total Reward: -4290.622465582009|
| Episode:  20 | Epsilon:  0.41 | Reward: -128.10815371281623 | Average Reward: -220.937 | Steps:  3990 | Total Reward: -4418.730619294826|
| Episode:  21 | Epsilon:  0.39 | Reward: -42.132719993538984 | Average Reward: -212.422 | Steps:  4295 | Total Reward: -4460.863339288364|
| Episode:  22 | Epsilon:  0.38 | Reward: -3.619285308667301 | Average Reward: -202.931 | Steps:  4414 | Total Reward: -4464.482624597032|
| Episode:  23 | Epsilon:  0.37 | Reward: -129.44230421696807 | Average Reward: -199.736 | Steps:  4709 | Total Reward: -4593.924928813994|
| Episode:  24 | Epsilon:  0.35 | Reward: -118.1499032319386 | Average Reward: -196.336 | Steps:  4929 | Total Reward: -4712.074832045929|
| Episode:  25 | Epsilon:  0.34 | Reward: -233.17551037147402 | Average Reward: -197.810 | Steps:  5204 | Total Reward: -4945.250342417404|
| Episode:  26 | Epsilon:  0.33 | Reward: -52.758886440793475 | Average Reward: -192.231 | Steps:  5375 | Total Reward: -4998.0092288582|
| Episode:  27 | Epsilon:  0.32 | Reward: -185.03201367144908 | Average Reward: -191.964 | Steps:  5589 | Total Reward: -5183.041242529652|
| Episode:  28 | Epsilon:  0.31 | Reward: -90.17277978968737 | Average Reward: -188.329 | Steps:  5755 | Total Reward: -5273.214022319338|
| Episode:  29 | Epsilon:  0.30 | Reward: -159.79035518066442 | Average Reward: -187.345 | Steps:  5999 | Total Reward: -5433.004377500005|
| Episode:  30 | Epsilon:  0.29 | Reward: -108.86402754905804 | Average Reward: -184.729 | Steps:  6214 | Total Reward: -5541.868405049067|
