C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
| episode:   1 | epsilon:  0.90 | reward:  22.0 | avg. reward: 22.000 | steps:    22| total reward:  22.0|
| episode:   2 | epsilon:  0.86 | reward:  16.0 | avg. reward: 19.000 | steps:    38| total reward:  38.0|
| episode:   3 | epsilon:  0.82 | reward:  13.0 | avg. reward: 17.000 | steps:    51| total reward:  51.0|
| episode:   4 | epsilon:  0.79 | reward:  30.0 | avg. reward: 20.250 | steps:    81| total reward:  81.0|
| episode:   5 | epsilon:  0.75 | reward:  12.0 | avg. reward: 18.600 | steps:    93| total reward:  93.0|
| episode:   6 | epsilon:  0.72 | reward:  20.0 | avg. reward: 18.833 | steps:   113| total reward: 113.0|
| episode:   7 | epsilon:  0.69 | reward:  14.0 | avg. reward: 18.143 | steps:   127| total reward: 127.0|
| episode:   8 | epsilon:  0.66 | reward:  23.0 | avg. reward: 18.750 | steps:   150| total reward: 150.0|
| episode:   9 | epsilon:  0.64 | reward:  17.0 | avg. reward: 18.556 | steps:   167| total reward: 167.0|
| episode:  10 | epsilon:  0.61 | reward:  13.0 | avg. reward: 18.000 | steps:   180| total reward: 180.0|
| episode:  11 | epsilon:  0.59 | reward:  12.0 | avg. reward: 17.455 | steps:   192| total reward: 192.0|
| episode:  12 | epsilon:  0.56 | reward:  13.0 | avg. reward: 17.083 | steps:   205| total reward: 205.0|
| episode:  13 | epsilon:  0.54 | reward:  10.0 | avg. reward: 16.538 | steps:   215| total reward: 215.0|
| episode:  14 | epsilon:  0.52 | reward:  26.0 | avg. reward: 17.214 | steps:   241| total reward: 241.0|
| episode:  15 | epsilon:  0.50 | reward:  10.0 | avg. reward: 16.733 | steps:   251| total reward: 251.0|
| episode:  16 | epsilon:  0.48 | reward:  23.0 | avg. reward: 17.125 | steps:   274| total reward: 274.0|
| episode:  17 | epsilon:  0.46 | reward:  16.0 | avg. reward: 17.059 | steps:   290| total reward: 290.0|
| episode:  18 | epsilon:  0.44 | reward:  17.0 | avg. reward: 17.056 | steps:   307| total reward: 307.0|
| episode:  19 | epsilon:  0.43 | reward:  14.0 | avg. reward: 16.895 | steps:   321| total reward: 321.0|
| episode:  20 | epsilon:  0.41 | reward:  10.0 | avg. reward: 16.550 | steps:   331| total reward: 331.0|
| episode:  21 | epsilon:  0.39 | reward:  12.0 | avg. reward: 16.333 | steps:   343| total reward: 343.0|
| episode:  22 | epsilon:  0.38 | reward:  15.0 | avg. reward: 16.273 | steps:   358| total reward: 358.0|
| episode:  23 | epsilon:  0.37 | reward:   9.0 | avg. reward: 15.957 | steps:   367| total reward: 367.0|
| episode:  24 | epsilon:  0.35 | reward:   9.0 | avg. reward: 15.667 | steps:   376| total reward: 376.0|
| episode:  25 | epsilon:  0.34 | reward:   9.0 | avg. reward: 15.400 | steps:   385| total reward: 385.0|
| episode:  26 | epsilon:  0.33 | reward:  11.0 | avg. reward: 15.231 | steps:   396| total reward: 396.0|
| episode:  27 | epsilon:  0.32 | reward:  11.0 | avg. reward: 15.074 | steps:   407| total reward: 407.0|
| episode:  28 | epsilon:  0.31 | reward:  13.0 | avg. reward: 15.000 | steps:   420| total reward: 420.0|
| episode:  29 | epsilon:  0.30 | reward:  14.0 | avg. reward: 14.966 | steps:   434| total reward: 434.0|
| episode:  30 | epsilon:  0.29 | reward:   9.0 | avg. reward: 14.767 | steps:   443| total reward: 443.0|
