C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
no static stored patterns and no static pattern_projection
| episode:   1 | epsilon:  0.90 | reward:  17.0 | avg. reward: 17.000 | steps:    17| total reward:  17.0|
| episode:   2 | epsilon:  0.86 | reward:  48.0 | avg. reward: 32.500 | steps:    65| total reward:  65.0|
| episode:   3 | epsilon:  0.82 | reward:  16.0 | avg. reward: 27.000 | steps:    81| total reward:  81.0|
| episode:   4 | epsilon:  0.79 | reward:   9.0 | avg. reward: 22.500 | steps:    90| total reward:  90.0|
| episode:   5 | epsilon:  0.75 | reward:  10.0 | avg. reward: 20.000 | steps:   100| total reward: 100.0|
| episode:   6 | epsilon:  0.72 | reward:  23.0 | avg. reward: 20.500 | steps:   123| total reward: 123.0|
| episode:   7 | epsilon:  0.69 | reward:  36.0 | avg. reward: 22.714 | steps:   159| total reward: 159.0|
| episode:   8 | epsilon:  0.66 | reward:  13.0 | avg. reward: 21.500 | steps:   172| total reward: 172.0|
| episode:   9 | epsilon:  0.64 | reward:  14.0 | avg. reward: 20.667 | steps:   186| total reward: 186.0|
| episode:  10 | epsilon:  0.61 | reward:  11.0 | avg. reward: 19.700 | steps:   197| total reward: 197.0|
| episode:  11 | epsilon:  0.59 | reward:  13.0 | avg. reward: 19.091 | steps:   210| total reward: 210.0|
| episode:  12 | epsilon:  0.56 | reward:  23.0 | avg. reward: 19.417 | steps:   233| total reward: 233.0|
| episode:  13 | epsilon:  0.54 | reward:  12.0 | avg. reward: 18.846 | steps:   245| total reward: 245.0|
| episode:  14 | epsilon:  0.52 | reward:   9.0 | avg. reward: 18.143 | steps:   254| total reward: 254.0|
| episode:  15 | epsilon:  0.50 | reward:  10.0 | avg. reward: 17.600 | steps:   264| total reward: 264.0|
| episode:  16 | epsilon:  0.48 | reward:  10.0 | avg. reward: 17.125 | steps:   274| total reward: 274.0|
| episode:  17 | epsilon:  0.46 | reward:  10.0 | avg. reward: 16.706 | steps:   284| total reward: 284.0|
| episode:  18 | epsilon:  0.44 | reward:  12.0 | avg. reward: 16.444 | steps:   296| total reward: 296.0|
| episode:  19 | epsilon:  0.43 | reward:  17.0 | avg. reward: 16.474 | steps:   313| total reward: 313.0|
| episode:  20 | epsilon:  0.41 | reward:  11.0 | avg. reward: 16.200 | steps:   324| total reward: 324.0|
| episode:  21 | epsilon:  0.39 | reward:  10.0 | avg. reward: 15.905 | steps:   334| total reward: 334.0|
| episode:  22 | epsilon:  0.38 | reward:  13.0 | avg. reward: 15.773 | steps:   347| total reward: 347.0|
| episode:  23 | epsilon:  0.37 | reward:   9.0 | avg. reward: 15.478 | steps:   356| total reward: 356.0|
| episode:  24 | epsilon:  0.35 | reward:  12.0 | avg. reward: 15.333 | steps:   368| total reward: 368.0|
| episode:  25 | epsilon:  0.34 | reward:  13.0 | avg. reward: 15.240 | steps:   381| total reward: 381.0|
| episode:  26 | epsilon:  0.33 | reward:  12.0 | avg. reward: 15.115 | steps:   393| total reward: 393.0|
| episode:  27 | epsilon:  0.32 | reward:  10.0 | avg. reward: 14.926 | steps:   403| total reward: 403.0|
| episode:  28 | epsilon:  0.31 | reward:  18.0 | avg. reward: 15.036 | steps:   421| total reward: 421.0|
| episode:  29 | epsilon:  0.30 | reward:  12.0 | avg. reward: 14.931 | steps:   433| total reward: 433.0|
| episode:  30 | epsilon:  0.29 | reward:  12.0 | avg. reward: 14.833 | steps:   445| total reward: 445.0|
| episode:  31 | epsilon:  0.28 | reward:  10.0 | avg. reward: 14.677 | steps:   455| total reward: 455.0|
| episode:  32 | epsilon:  0.27 | reward:   8.0 | avg. reward: 14.469 | steps:   463| total reward: 463.0|
| episode:  33 | epsilon:  0.26 | reward:  10.0 | avg. reward: 14.333 | steps:   473| total reward: 473.0|
| episode:  34 | epsilon:  0.25 | reward:  11.0 | avg. reward: 14.235 | steps:   484| total reward: 484.0|
| episode:  35 | epsilon:  0.25 | reward:  10.0 | avg. reward: 14.114 | steps:   494| total reward: 494.0|
| episode:  36 | epsilon:  0.24 | reward:   9.0 | avg. reward: 13.972 | steps:   503| total reward: 503.0|
| episode:  37 | epsilon:  0.23 | reward:  11.0 | avg. reward: 13.892 | steps:   514| total reward: 514.0|
| episode:  38 | epsilon:  0.23 | reward:  10.0 | avg. reward: 13.789 | steps:   524| total reward: 524.0|
| episode:  39 | epsilon:  0.22 | reward:  10.0 | avg. reward: 13.692 | steps:   534| total reward: 534.0|
| episode:  40 | epsilon:  0.21 | reward:  11.0 | avg. reward: 13.625 | steps:   545| total reward: 545.0|
| episode:  41 | epsilon:  0.21 | reward:   9.0 | avg. reward: 13.512 | steps:   554| total reward: 554.0|
| episode:  42 | epsilon:  0.20 | reward:  10.0 | avg. reward: 13.429 | steps:   564| total reward: 564.0|
| episode:  43 | epsilon:  0.20 | reward:  12.0 | avg. reward: 13.395 | steps:   576| total reward: 576.0|
| episode:  44 | epsilon:  0.19 | reward:  11.0 | avg. reward: 13.341 | steps:   587| total reward: 587.0|
| episode:  45 | epsilon:  0.19 | reward:   8.0 | avg. reward: 13.222 | steps:   595| total reward: 595.0|
| episode:  46 | epsilon:  0.18 | reward:   9.0 | avg. reward: 13.130 | steps:   604| total reward: 604.0|
| episode:  47 | epsilon:  0.18 | reward:   9.0 | avg. reward: 13.043 | steps:   613| total reward: 613.0|
| episode:  48 | epsilon:  0.18 | reward:   9.0 | avg. reward: 12.958 | steps:   622| total reward: 622.0|
| episode:  49 | epsilon:  0.17 | reward:  10.0 | avg. reward: 12.898 | steps:   632| total reward: 632.0|
| episode:  50 | epsilon:  0.17 | reward:   9.0 | avg. reward: 12.820 | steps:   641| total reward: 641.0|
| episode:  51 | epsilon:  0.17 | reward:  12.0 | avg. reward: 12.804 | steps:   653| total reward: 653.0|
| episode:  52 | epsilon:  0.16 | reward:  11.0 | avg. reward: 12.769 | steps:   664| total reward: 664.0|
| episode:  53 | epsilon:  0.16 | reward:  10.0 | avg. reward: 12.717 | steps:   674| total reward: 674.0|
| episode:  54 | epsilon:  0.16 | reward:   9.0 | avg. reward: 12.648 | steps:   683| total reward: 683.0|
| episode:  55 | epsilon:  0.15 | reward:   9.0 | avg. reward: 12.582 | steps:   692| total reward: 692.0|
| episode:  56 | epsilon:  0.15 | reward:  13.0 | avg. reward: 12.589 | steps:   705| total reward: 705.0|
| episode:  57 | epsilon:  0.15 | reward:  12.0 | avg. reward: 12.579 | steps:   717| total reward: 717.0|
| episode:  58 | epsilon:  0.15 | reward:  12.0 | avg. reward: 12.569 | steps:   729| total reward: 729.0|
| episode:  59 | epsilon:  0.14 | reward:   9.0 | avg. reward: 12.508 | steps:   738| total reward: 738.0|
| episode:  60 | epsilon:  0.14 | reward:  10.0 | avg. reward: 12.467 | steps:   748| total reward: 748.0|
| episode:  61 | epsilon:  0.14 | reward:   9.0 | avg. reward: 12.410 | steps:   757| total reward: 757.0|
| episode:  62 | epsilon:  0.14 | reward:  15.0 | avg. reward: 12.452 | steps:   772| total reward: 772.0|
| episode:  63 | epsilon:  0.14 | reward:  11.0 | avg. reward: 12.429 | steps:   783| total reward: 783.0|
| episode:  64 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.391 | steps:   793| total reward: 793.0|
| episode:  65 | epsilon:  0.13 | reward:  11.0 | avg. reward: 12.369 | steps:   804| total reward: 804.0|
| episode:  66 | epsilon:  0.13 | reward:  12.0 | avg. reward: 12.364 | steps:   816| total reward: 816.0|
| episode:  67 | epsilon:  0.13 | reward:   9.0 | avg. reward: 12.313 | steps:   825| total reward: 825.0|
| episode:  68 | epsilon:  0.13 | reward:  12.0 | avg. reward: 12.309 | steps:   837| total reward: 837.0|
| episode:  69 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.275 | steps:   847| total reward: 847.0|
| episode:  70 | epsilon:  0.13 | reward:  10.0 | avg. reward: 12.243 | steps:   857| total reward: 857.0|
| episode:  71 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.225 | steps:   868| total reward: 868.0|
| episode:  72 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.194 | steps:   878| total reward: 878.0|
| episode:  73 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.164 | steps:   888| total reward: 888.0|
| episode:  74 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.135 | steps:   898| total reward: 898.0|
| episode:  75 | epsilon:  0.12 | reward:   9.0 | avg. reward: 12.093 | steps:   907| total reward: 907.0|
| episode:  76 | epsilon:  0.12 | reward:   8.0 | avg. reward: 12.039 | steps:   915| total reward: 915.0|
| episode:  77 | epsilon:  0.12 | reward:  10.0 | avg. reward: 12.013 | steps:   925| total reward: 925.0|
| episode:  78 | epsilon:  0.12 | reward:  11.0 | avg. reward: 12.000 | steps:   936| total reward: 936.0|
| episode:  79 | epsilon:  0.12 | reward:  11.0 | avg. reward: 11.987 | steps:   947| total reward: 947.0|
| episode:  80 | epsilon:  0.12 | reward:  12.0 | avg. reward: 11.988 | steps:   959| total reward: 959.0|
| episode:  81 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.951 | steps:   968| total reward: 968.0|
| episode:  82 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.939 | steps:   979| total reward: 979.0|
| episode:  83 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.892 | steps:   987| total reward: 987.0|
| episode:  84 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.845 | steps:   995| total reward: 995.0|
| episode:  85 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.812 | steps:  1004| total reward: 1004.0|
| episode:  86 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.791 | steps:  1014| total reward: 1014.0|
| episode:  87 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.759 | steps:  1023| total reward: 1023.0|
| episode:  88 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.727 | steps:  1032| total reward: 1032.0|
| episode:  89 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.697 | steps:  1041| total reward: 1041.0|
| episode:  90 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.667 | steps:  1050| total reward: 1050.0|
| episode:  91 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.670 | steps:  1062| total reward: 1062.0|
| episode:  92 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.641 | steps:  1071| total reward: 1071.0|
| episode:  93 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.613 | steps:  1080| total reward: 1080.0|
| episode:  94 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.574 | steps:  1088| total reward: 1088.0|
| episode:  95 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.558 | steps:  1098| total reward: 1098.0|
| episode:  96 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.552 | steps:  1109| total reward: 1109.0|
| episode:  97 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.526 | steps:  1118| total reward: 1118.0|
| episode:  98 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.510 | steps:  1128| total reward: 1128.0|
| episode:  99 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.495 | steps:  1138| total reward: 1138.0|
| episode: 100 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.470 | steps:  1147| total reward: 1147.0|
| episode: 101 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.420 | steps:  1159| total reward: 1159.0|
