                                     # normalize_pattern_projection=False,
                                     # normalize_pattern_projection_affine=False,
C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
| episode:   1 | epsilon:  0.90 | reward:  16.0 | avg. reward: 16.000 | steps:    16| total reward:  16.0|
| episode:   2 | epsilon:  0.86 | reward:  23.0 | avg. reward: 19.500 | steps:    39| total reward:  39.0|
| episode:   3 | epsilon:  0.82 | reward:  10.0 | avg. reward: 16.333 | steps:    49| total reward:  49.0|
| episode:   4 | epsilon:  0.79 | reward:   9.0 | avg. reward: 14.500 | steps:    58| total reward:  58.0|
| episode:   5 | epsilon:  0.75 | reward:  13.0 | avg. reward: 14.200 | steps:    71| total reward:  71.0|
| episode:   6 | epsilon:  0.72 | reward:  10.0 | avg. reward: 13.500 | steps:    81| total reward:  81.0|
| episode:   7 | epsilon:  0.69 | reward:  10.0 | avg. reward: 13.000 | steps:    91| total reward:  91.0|
| episode:   8 | epsilon:  0.66 | reward:  12.0 | avg. reward: 12.875 | steps:   103| total reward: 103.0|
| episode:   9 | epsilon:  0.64 | reward:  24.0 | avg. reward: 14.111 | steps:   127| total reward: 127.0|
| episode:  10 | epsilon:  0.61 | reward:  15.0 | avg. reward: 14.200 | steps:   142| total reward: 142.0|
| episode:  11 | epsilon:  0.59 | reward:  11.0 | avg. reward: 13.909 | steps:   153| total reward: 153.0|
| episode:  12 | epsilon:  0.56 | reward:  15.0 | avg. reward: 14.000 | steps:   168| total reward: 168.0|
| episode:  13 | epsilon:  0.54 | reward:   9.0 | avg. reward: 13.615 | steps:   177| total reward: 177.0|
| episode:  14 | epsilon:  0.52 | reward:  13.0 | avg. reward: 13.571 | steps:   190| total reward: 190.0|
| episode:  15 | epsilon:  0.50 | reward:  13.0 | avg. reward: 13.533 | steps:   203| total reward: 203.0|
| episode:  16 | epsilon:  0.48 | reward:   9.0 | avg. reward: 13.250 | steps:   212| total reward: 212.0|
| episode:  17 | epsilon:  0.46 | reward:  17.0 | avg. reward: 13.471 | steps:   229| total reward: 229.0|
| episode:  18 | epsilon:  0.44 | reward:  11.0 | avg. reward: 13.333 | steps:   240| total reward: 240.0|
| episode:  19 | epsilon:  0.43 | reward:  10.0 | avg. reward: 13.158 | steps:   250| total reward: 250.0|
| episode:  20 | epsilon:  0.41 | reward:  13.0 | avg. reward: 13.150 | steps:   263| total reward: 263.0|
| episode:  21 | epsilon:  0.39 | reward:   8.0 | avg. reward: 12.905 | steps:   271| total reward: 271.0|
| episode:  22 | epsilon:  0.38 | reward:  11.0 | avg. reward: 12.818 | steps:   282| total reward: 282.0|
| episode:  23 | epsilon:  0.37 | reward:  11.0 | avg. reward: 12.739 | steps:   293| total reward: 293.0|
| episode:  24 | epsilon:  0.35 | reward:   8.0 | avg. reward: 12.542 | steps:   301| total reward: 301.0|
| episode:  25 | epsilon:  0.34 | reward:  12.0 | avg. reward: 12.520 | steps:   313| total reward: 313.0|
| episode:  26 | epsilon:  0.33 | reward:  11.0 | avg. reward: 12.462 | steps:   324| total reward: 324.0|
| episode:  27 | epsilon:  0.32 | reward:  13.0 | avg. reward: 12.481 | steps:   337| total reward: 337.0|
| episode:  28 | epsilon:  0.31 | reward:  13.0 | avg. reward: 12.500 | steps:   350| total reward: 350.0|
| episode:  29 | epsilon:  0.30 | reward:  12.0 | avg. reward: 12.483 | steps:   362| total reward: 362.0|
| episode:  30 | epsilon:  0.29 | reward:  12.0 | avg. reward: 12.467 | steps:   374| total reward: 374.0|
| episode:  31 | epsilon:  0.28 | reward:   9.0 | avg. reward: 12.355 | steps:   383| total reward: 383.0|
| episode:  32 | epsilon:  0.27 | reward:   9.0 | avg. reward: 12.250 | steps:   392| total reward: 392.0|
| episode:  33 | epsilon:  0.26 | reward:  10.0 | avg. reward: 12.182 | steps:   402| total reward: 402.0|
| episode:  34 | epsilon:  0.25 | reward:  11.0 | avg. reward: 12.147 | steps:   413| total reward: 413.0|
| episode:  35 | epsilon:  0.25 | reward:  11.0 | avg. reward: 12.114 | steps:   424| total reward: 424.0|
| episode:  36 | epsilon:  0.24 | reward:   9.0 | avg. reward: 12.028 | steps:   433| total reward: 433.0|
| episode:  37 | epsilon:  0.23 | reward:   8.0 | avg. reward: 11.919 | steps:   441| total reward: 441.0|
| episode:  38 | epsilon:  0.23 | reward:  11.0 | avg. reward: 11.895 | steps:   452| total reward: 452.0|
| episode:  39 | epsilon:  0.22 | reward:  10.0 | avg. reward: 11.846 | steps:   462| total reward: 462.0|
| episode:  40 | epsilon:  0.21 | reward:   9.0 | avg. reward: 11.775 | steps:   471| total reward: 471.0|
| episode:  41 | epsilon:  0.21 | reward:  10.0 | avg. reward: 11.732 | steps:   481| total reward: 481.0|
| episode:  42 | epsilon:  0.20 | reward:  11.0 | avg. reward: 11.714 | steps:   492| total reward: 492.0|
| episode:  43 | epsilon:  0.20 | reward:  10.0 | avg. reward: 11.674 | steps:   502| total reward: 502.0|
| episode:  44 | epsilon:  0.19 | reward:  11.0 | avg. reward: 11.659 | steps:   513| total reward: 513.0|
