| episode:   1 | epsilon:  0.90 | reward: -85.23394296951892 | avg. reward: -85.234 | steps:   103| total reward: -85.23394296951892|
| episode:   2 | epsilon:  0.89 | reward: -242.14659481157562 | avg. reward: -163.690 | steps:   217| total reward: -327.38053778109474|
| episode:   3 | epsilon:  0.88 | reward: -114.99438889937969 | avg. reward: -147.458 | steps:   304| total reward: -442.37492668047383|
| episode:   4 | epsilon:  0.88 | reward: -281.06090015872695 | avg. reward: -180.859 | steps:   412| total reward: -723.4358268392|
| episode:   5 | epsilon:  0.87 | reward: -102.40981084195896 | avg. reward: -165.169 | steps:   493| total reward: -825.8456376811582|
| episode:   6 | epsilon:  0.86 | reward: -554.7496270201575 | avg. reward: -230.099 | steps:   629| total reward: -1380.5952647013148|
| episode:   7 | epsilon:  0.85 | reward: -103.49015579450372 | avg. reward: -212.012 | steps:   711| total reward: -1484.0854204958177|
| episode:   8 | epsilon:  0.85 | reward: -176.45659805579425 | avg. reward: -207.568 | steps:   797| total reward: -1660.5420185516114|
| episode:   9 | epsilon:  0.84 | reward: -89.16297197910097 | avg. reward: -194.412 | steps:   928| total reward: -1749.7049905307113|
| episode:  10 | epsilon:  0.83 | reward: -316.8916296766803 | avg. reward: -206.660 | steps:  1006| total reward: -2066.596620207391|
| episode:  11 | epsilon:  0.82 | reward: -183.8939130136047 | avg. reward: -204.590 | steps:  1111| total reward: -2250.4905332209946|
| episode:  12 | epsilon:  0.82 | reward: -405.8834592630585 | avg. reward: -221.364 | steps:  1231| total reward: -2656.373992484054|
| episode:  13 | epsilon:  0.81 | reward: -171.8444213949357 | avg. reward: -217.555 | steps:  1307| total reward: -2828.21841387899|
| episode:  14 | epsilon:  0.80 | reward: -77.24007715278324 | avg. reward: -207.533 | steps:  1395| total reward: -2905.4584910317726|
| episode:  15 | epsilon:  0.80 | reward: -331.2900872013256 | avg. reward: -215.783 | steps:  1531| total reward: -3236.7485782330964|
| episode:  16 | epsilon:  0.79 | reward: -179.62141855022205 | avg. reward: -213.523 | steps:  1671| total reward: -3416.3699967833154|
| episode:  17 | epsilon:  0.78 | reward: -35.42682908848421 | avg. reward: -203.047 | steps:  1758| total reward: -3451.796825871799|
| episode:  18 | epsilon:  0.77 | reward: -460.53615454567387 | avg. reward: -217.352 | steps:  1855| total reward: -3912.3329804174723|
| episode:  19 | epsilon:  0.77 | reward: -132.72594091474917 | avg. reward: -212.898 | steps:  1958| total reward: -4045.058921332221|
| episode:  20 | epsilon:  0.76 | reward: -283.42987982844795 | avg. reward: -216.424 | steps:  2067| total reward: -4328.488801160674|
| episode:  21 | epsilon:  0.75 | reward: -296.4943698590155 | avg. reward: -220.237 | steps:  2186| total reward: -4624.983171019689|
| episode:  22 | epsilon:  0.75 | reward: -346.20839460522376 | avg. reward: -225.963 | steps:  2288| total reward: -4971.191565624914|
| episode:  23 | epsilon:  0.74 | reward: -89.91193681209795 | avg. reward: -220.048 | steps:  2365| total reward: -5061.103502437014|
| episode:  24 | epsilon:  0.74 | reward: -109.47153566862039 | avg. reward: -215.441 | steps:  2452| total reward: -5170.575038105635|
| episode:  25 | epsilon:  0.73 | reward: -219.47908781022454 | avg. reward: -215.602 | steps:  2552| total reward: -5390.054125915858|
| episode:  26 | epsilon:  0.72 | reward: -116.22533516647043 | avg. reward: -211.780 | steps:  2655| total reward: -5506.279461082331|
| episode:  27 | epsilon:  0.72 | reward: -138.67448512107964 | avg. reward: -209.072 | steps:  2762| total reward: -5644.953946203405|
| episode:  28 | epsilon:  0.71 | reward: -290.7924719705257 | avg. reward: -211.991 | steps:  2886| total reward: -5935.746418173932|
