+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 50        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | rmsprop   |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -112.91559279541246 | Average Reward: -112.916 | Steps:   114 | Total Reward: -112.91559279541246|
| Episode:   2 | Epsilon:  0.86 | Reward: -294.4697870328865 | Average Reward: -203.693 | Steps:   230 | Total Reward: -407.38537982829894|
| Episode:   3 | Epsilon:  0.82 | Reward: -220.36669166755595 | Average Reward: -209.251 | Steps:   337 | Total Reward: -627.752071495854|
| Episode:   4 | Epsilon:  0.78 | Reward: -475.82467203108087 | Average Reward: -275.894 | Steps:   446 | Total Reward: -1103.5767435269347|
| Episode:   5 | Epsilon:  0.75 | Reward: -134.91940496192103 | Average Reward: -247.699 | Steps:   506 | Total Reward: -1238.496148488856|
| Episode:   6 | Epsilon:  0.71 | Reward: -468.86622828815376 | Average Reward: -284.560 | Steps:   602 | Total Reward: -1707.362376777009|
| Episode:   7 | Epsilon:  0.68 | Reward: -231.63506498962775 | Average Reward: -277.000 | Steps:   675 | Total Reward: -1938.9974417666367|
| Episode:   8 | Epsilon:  0.65 | Reward: -497.5379868001937 | Average Reward: -304.567 | Steps:   765 | Total Reward: -2436.5354285668313|
| Episode:   9 | Epsilon:  0.62 | Reward: -387.27429724300566 | Average Reward: -313.757 | Steps:   840 | Total Reward: -2823.809725809837|
| Episode:  10 | Epsilon:  0.59 | Reward: -402.45975587317565 | Average Reward: -322.627 | Steps:   916 | Total Reward: -3226.269481683011|
| Episode:  11 | Epsilon:  0.57 | Reward: -452.83945127785086 | Average Reward: -334.464 | Steps:   989 | Total Reward: -3679.1089329608626|
| Episode:  12 | Epsilon:  0.54 | Reward: -536.6897236209628 | Average Reward: -351.317 | Steps:  1078 | Total Reward: -4215.7986565818255|
| Episode:  13 | Epsilon:  0.52 | Reward: -539.0146120771647 | Average Reward: -365.755 | Steps:  1160 | Total Reward: -4754.81326865899|
| Episode:  14 | Epsilon:  0.49 | Reward: -615.0026960943381 | Average Reward: -383.558 | Steps:  1242 | Total Reward: -5369.815964753329|
| Episode:  15 | Epsilon:  0.47 | Reward: -304.9619934815754 | Average Reward: -378.319 | Steps:  1304 | Total Reward: -5674.777958234906|
| Episode:  16 | Epsilon:  0.45 | Reward: -443.5970873983538 | Average Reward: -382.398 | Steps:  1388 | Total Reward: -6118.375045633259|
| Episode:  17 | Epsilon:  0.43 | Reward: -753.3552339814315 | Average Reward: -404.219 | Steps:  1475 | Total Reward: -6871.730279614697|
| Episode:  18 | Epsilon:  0.41 | Reward: -296.7989987308651 | Average Reward: -398.252 | Steps:  1528 | Total Reward: -7168.529278345559|
| Episode:  19 | Epsilon:  0.40 | Reward: -411.5291544969222 | Average Reward: -398.950 | Steps:  1601 | Total Reward: -7580.058432842478|
| Episode:  20 | Epsilon:  0.38 | Reward: -374.0952632753085 | Average Reward: -397.708 | Steps:  1675 | Total Reward: -7954.153696117788|
| Episode:  21 | Epsilon:  0.36 | Reward: -449.3559367207389 | Average Reward: -400.167 | Steps:  1764 | Total Reward: -8403.509632838524|
| Episode:  22 | Epsilon:  0.35 | Reward: -497.4276314529003 | Average Reward: -404.588 | Steps:  1828 | Total Reward: -8900.937264291431|
| Episode:  23 | Epsilon:  0.33 | Reward: -654.5708318017128 | Average Reward: -415.457 | Steps:  1911 | Total Reward: -9555.50809609314|
| Episode:  24 | Epsilon:  0.32 | Reward: -384.39202015727665 | Average Reward: -414.163 | Steps:  1969 | Total Reward: -9939.900116250416|
| Episode:  25 | Epsilon:  0.31 | Reward: -132.22376650368676 | Average Reward: -402.885 | Steps:  2069 | Total Reward: -10072.123882754107|
| Episode:  26 | Epsilon:  0.29 | Reward: -438.2880882489762 | Average Reward: -404.247 | Steps:  2150 | Total Reward: -10510.411971003083|
| Episode:  27 | Epsilon:  0.28 | Reward: -407.41224496012717 | Average Reward: -404.364 | Steps:  2253 | Total Reward: -10917.82421596321|
| Episode:  28 | Epsilon:  0.27 | Reward: -122.6867981283615 | Average Reward: -394.304 | Steps:  2321 | Total Reward: -11040.511014091579|
| Episode:  29 | Epsilon:  0.26 | Reward: -592.8048053439327 | Average Reward: -401.149 | Steps:  2443 | Total Reward: -11633.315819435502|
