+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -267.5684515226138 | Average Reward: -267.568 | Steps:   128 | Total Reward: -267.5684515226138|
| Episode:   2 | Epsilon:  0.86 | Reward: -362.99816151239673 | Average Reward: -315.283 | Steps:   230 | Total Reward: -630.5666130350095|
| Episode:   3 | Epsilon:  0.82 | Reward: -127.7756495665273 | Average Reward: -252.781 | Steps:   322 | Total Reward: -758.3422626015363|
| Episode:   4 | Epsilon:  0.79 | Reward: -113.85674714369654 | Average Reward: -218.050 | Steps:   416 | Total Reward: -872.1990097452323|
| Episode:   5 | Epsilon:  0.75 | Reward: -394.03036312989315 | Average Reward: -253.246 | Steps:   501 | Total Reward: -1266.229372875125|
| Episode:   6 | Epsilon:  0.72 | Reward: -349.90911919032794 | Average Reward: -269.356 | Steps:   580 | Total Reward: -1616.1384920654534|
| Episode:   7 | Epsilon:  0.69 | Reward: -423.9337692063107 | Average Reward: -291.439 | Steps:   668 | Total Reward: -2040.072261271764|
| Episode:   8 | Epsilon:  0.66 | Reward: -351.9698379390774 | Average Reward: -299.005 | Steps:   759 | Total Reward: -2392.0420992108407|
| Episode:   9 | Epsilon:  0.64 | Reward: -239.47785380443642 | Average Reward: -292.391 | Steps:   825 | Total Reward: -2631.519953015278|
| Episode:  10 | Epsilon:  0.61 | Reward: -386.0444436254075 | Average Reward: -301.756 | Steps:   911 | Total Reward: -3017.564396640686|
| Episode:  11 | Epsilon:  0.59 | Reward: -509.0074673279987 | Average Reward: -320.597 | Steps:   986 | Total Reward: -3526.5718639686843|
| Episode:  12 | Epsilon:  0.56 | Reward: -489.4450115069475 | Average Reward: -334.668 | Steps:  1055 | Total Reward: -4016.016875475633|
| Episode:  13 | Epsilon:  0.54 | Reward: -347.09989588769656 | Average Reward: -335.624 | Steps:  1110 | Total Reward: -4363.116771363327|
| Episode:  14 | Epsilon:  0.52 | Reward: -312.64778181954773 | Average Reward: -333.983 | Steps:  1192 | Total Reward: -4675.764553182874|
| Episode:  15 | Epsilon:  0.50 | Reward: -495.66670218494136 | Average Reward: -344.762 | Steps:  1261 | Total Reward: -5171.431255367817|
| Episode:  16 | Epsilon:  0.48 | Reward: -567.7763547044626 | Average Reward: -358.700 | Steps:  1331 | Total Reward: -5739.207610072279|
| Episode:  17 | Epsilon:  0.46 | Reward: -532.960171661081 | Average Reward: -368.951 | Steps:  1423 | Total Reward: -6272.167781733358|
| Episode:  18 | Epsilon:  0.44 | Reward: -404.4178428311012 | Average Reward: -370.921 | Steps:  1506 | Total Reward: -6676.585624564458|
| Episode:  19 | Epsilon:  0.43 | Reward: -502.61967848779085 | Average Reward: -377.853 | Steps:  1588 | Total Reward: -7179.20530305225|
| Episode:  20 | Epsilon:  0.41 | Reward: -245.78297915561893 | Average Reward: -371.249 | Steps:  1646 | Total Reward: -7424.988282207866|
| Episode:  21 | Epsilon:  0.39 | Reward: -621.6873803805282 | Average Reward: -383.175 | Steps:  1721 | Total Reward: -8046.675662588394|
| Episode:  22 | Epsilon:  0.38 | Reward: -300.1590936158326 | Average Reward: -379.402 | Steps:  1777 | Total Reward: -8346.834756204227|
