+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.750     |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -106.61124206227775 | Average Reward: -106.611 | Steps:   119 | Total Reward: -106.61124206227775|
| Episode:   2 | Epsilon:  0.86 | Reward: -147.77296435107186 | Average Reward: -127.192 | Steps:   180 | Total Reward: -254.38420641334972|
| Episode:   3 | Epsilon:  0.82 | Reward: -1.073293837526819 | Average Reward: -85.153 | Steps:   262 | Total Reward: -255.4575002508767|
| Episode:   4 | Epsilon:  0.79 | Reward: -103.69133923112814 | Average Reward: -89.787 | Steps:   413 | Total Reward: -359.1488394820042|
| Episode:   5 | Epsilon:  0.75 | Reward: -364.5861165515885 | Average Reward: -144.747 | Steps:   500 | Total Reward: -723.7349560335921|
| Episode:   6 | Epsilon:  0.72 | Reward: -275.1621545302454 | Average Reward: -166.483 | Steps:   628 | Total Reward: -998.8971105638361|
| Episode:   7 | Epsilon:  0.69 | Reward: -275.6386179692115 | Average Reward: -182.077 | Steps:   723 | Total Reward: -1274.5357285330474|
| Episode:   8 | Epsilon:  0.66 | Reward: -188.267336806515 | Average Reward: -182.850 | Steps:   819 | Total Reward: -1462.8030653395624|
| Episode:   9 | Epsilon:  0.64 | Reward: -324.24451396487274 | Average Reward: -198.561 | Steps:   954 | Total Reward: -1787.047579304434|
| Episode:  10 | Epsilon:  0.61 | Reward: -370.73901588828846 | Average Reward: -215.779 | Steps:  1048 | Total Reward: -2157.7865951927206|
| Episode:  11 | Epsilon:  0.59 | Reward: -570.0802377278203 | Average Reward: -247.988 | Steps:  1280 | Total Reward: -2727.866832920542|
| Episode:  12 | Epsilon:  0.56 | Reward: -427.15203172505437 | Average Reward: -262.918 | Steps:  1404 | Total Reward: -3155.0188646455945|
| Episode:  13 | Epsilon:  0.54 | Reward: -944.1153621129746 | Average Reward: -315.318 | Steps:  1782 | Total Reward: -4099.1342267585715|
| Episode:  14 | Epsilon:  0.52 | Reward: -449.0365866078002 | Average Reward: -324.869 | Steps:  1925 | Total Reward: -4548.1708133663715|
| Episode:  15 | Epsilon:  0.50 | Reward: -433.37504822746274 | Average Reward: -332.103 | Steps:  2085 | Total Reward: -4981.545861593838|
| Episode:  16 | Epsilon:  0.48 | Reward: -22.27368262691182 | Average Reward: -312.739 | Steps:  2210 | Total Reward: -5003.819544220752|
| Episode:  17 | Epsilon:  0.46 | Reward: -148.18721368083555 | Average Reward: -303.059 | Steps:  2341 | Total Reward: -5152.006757901581|
| Episode:  18 | Epsilon:  0.44 | Reward: -244.91390049037622 | Average Reward: -299.829 | Steps:  2456 | Total Reward: -5396.9206583919595|
| Episode:  19 | Epsilon:  0.43 | Reward: -221.3360008176493 | Average Reward: -295.698 | Steps:  2604 | Total Reward: -5618.256659209602|
| Episode:  20 | Epsilon:  0.41 | Reward: -260.1031067493396 | Average Reward: -293.918 | Steps:  2829 | Total Reward: -5878.35976595894|
| Episode:  21 | Epsilon:  0.39 | Reward: -224.29607079220025 | Average Reward: -290.603 | Steps:  2933 | Total Reward: -6102.655836751139|
| Episode:  22 | Epsilon:  0.38 | Reward: -15.800471070304269 | Average Reward: -278.112 | Steps:  3042 | Total Reward: -6118.4563078214405|
| Episode:  23 | Epsilon:  0.37 | Reward: -284.6293470542586 | Average Reward: -278.395 | Steps:  3293 | Total Reward: -6403.085654875704|
| Episode:  24 | Epsilon:  0.35 | Reward: -63.519333884328745 | Average Reward: -269.442 | Steps:  3413 | Total Reward: -6466.604988760031|
| Episode:  25 | Epsilon:  0.34 | Reward: -30.685118135484117 | Average Reward: -259.892 | Steps:  3557 | Total Reward: -6497.290106895521|
| Episode:  26 | Epsilon:  0.33 | Reward: -56.75449453432855 | Average Reward: -252.079 | Steps:  3738 | Total Reward: -6554.044601429845|
| Episode:  27 | Epsilon:  0.32 | Reward: 17.88723433907009 | Average Reward: -242.080 | Steps:  3872 | Total Reward: -6536.157367090773|
| Episode:  28 | Epsilon:  0.31 | Reward: -28.333468057918722 | Average Reward: -234.446 | Steps:  3991 | Total Reward: -6564.4908351486865|
| Episode:  29 | Epsilon:  0.30 | Reward: -148.1321845804447 | Average Reward: -231.470 | Steps:  4175 | Total Reward: -6712.623019729136|
| Episode:  30 | Epsilon:  0.29 | Reward: 0.8343308048594764 | Average Reward: -223.726 | Steps:  4310 | Total Reward: -6711.788688924268|
| Episode:  31 | Epsilon:  0.28 | Reward: 160.9698968568116 | Average Reward: -211.317 | Steps:  5310 | Total Reward: -6550.8187920674445|
