+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 15000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -506.5771569989993 | Average Reward: -506.577 | Steps:   102 | Total Reward: -506.5771569989993|
| Episode:   2 | Epsilon:  0.86 | Reward: -106.48715693264016 | Average Reward: -306.532 | Steps:   169 | Total Reward: -613.064313931639|
| Episode:   3 | Epsilon:  0.82 | Reward: -271.1311185525874 | Average Reward: -294.732 | Steps:   228 | Total Reward: -884.1954324842266|
| Episode:   4 | Epsilon:  0.79 | Reward: -211.85180917112592 | Average Reward: -274.012 | Steps:   309 | Total Reward: -1096.0472416553514|
| Episode:   5 | Epsilon:  0.75 | Reward: -520.0715580462881 | Average Reward: -323.224 | Steps:   390 | Total Reward: -1616.1187997016405|
| Episode:   6 | Epsilon:  0.72 | Reward: -374.9534449048834 | Average Reward: -331.845 | Steps:   485 | Total Reward: -1991.072244606523|
| Episode:   7 | Epsilon:  0.69 | Reward: -131.73534191522492 | Average Reward: -303.258 | Steps:   547 | Total Reward: -2122.807586521748|
| Episode:   8 | Epsilon:  0.66 | Reward: -459.371546620922 | Average Reward: -322.772 | Steps:   636 | Total Reward: -2582.17913314267|
| Episode:   9 | Epsilon:  0.64 | Reward: -217.07538326272086 | Average Reward: -311.028 | Steps:   713 | Total Reward: -2799.254516405391|
| Episode:  10 | Epsilon:  0.61 | Reward: -365.9528968276474 | Average Reward: -316.521 | Steps:   781 | Total Reward: -3165.207413233037|
| Episode:  11 | Epsilon:  0.59 | Reward: -339.80428917843517 | Average Reward: -318.637 | Steps:   870 | Total Reward: -3505.0117024114707|
| Episode:  12 | Epsilon:  0.56 | Reward: -196.09254925323694 | Average Reward: -308.425 | Steps:   944 | Total Reward: -3701.1042516647076|
| Episode:  13 | Epsilon:  0.54 | Reward: -434.77683404722126 | Average Reward: -318.145 | Steps:  1009 | Total Reward: -4135.88108571193|
| Episode:  14 | Epsilon:  0.52 | Reward: -538.8466533149274 | Average Reward: -333.909 | Steps:  1097 | Total Reward: -4674.727739026858|
| Episode:  15 | Epsilon:  0.50 | Reward: -691.4812257778319 | Average Reward: -357.747 | Steps:  1193 | Total Reward: -5366.2089648046895|
| Episode:  16 | Epsilon:  0.48 | Reward: -408.633452888887 | Average Reward: -360.928 | Steps:  1277 | Total Reward: -5774.842417693577|
| Episode:  17 | Epsilon:  0.46 | Reward: -755.9578276059583 | Average Reward: -384.165 | Steps:  1371 | Total Reward: -6530.800245299537|
