+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 8         |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -472.6334225803634 | Average Reward: -472.633 | Steps:   121 | Total Reward: -472.6334225803634|
| Episode:   2 | Epsilon:  0.86 | Reward: -112.27746872259574 | Average Reward: -292.455 | Steps:   187 | Total Reward: -584.9108913029585|
| Episode:   3 | Epsilon:  0.82 | Reward: 22.216741412866966 | Average Reward: -187.565 | Steps:   265 | Total Reward: -562.6941498900908|
| Episode:   4 | Epsilon:  0.79 | Reward: -341.9172889820731 | Average Reward: -226.153 | Steps:   363 | Total Reward: -904.6114388721631|
| Episode:   5 | Epsilon:  0.75 | Reward: -209.58196282909577 | Average Reward: -222.839 | Steps:   423 | Total Reward: -1114.1934017012586|
| Episode:   6 | Epsilon:  0.72 | Reward: -468.21093877458657 | Average Reward: -263.734 | Steps:   506 | Total Reward: -1582.404340475845|
| Episode:   7 | Epsilon:  0.69 | Reward: -300.1972103231776 | Average Reward: -268.943 | Steps:   590 | Total Reward: -1882.6015507990223|
| Episode:   8 | Epsilon:  0.66 | Reward: -419.4486529264574 | Average Reward: -287.756 | Steps:   665 | Total Reward: -2302.050203725479|
| Episode:   9 | Epsilon:  0.64 | Reward: -350.7037093882856 | Average Reward: -294.750 | Steps:   758 | Total Reward: -2652.753913113764|
| Episode:  10 | Epsilon:  0.61 | Reward: -165.73184544141571 | Average Reward: -281.849 | Steps:   814 | Total Reward: -2818.485758555179|
| Episode:  11 | Epsilon:  0.59 | Reward: -324.75066673812864 | Average Reward: -285.749 | Steps:   878 | Total Reward: -3143.2364252933075|
| Episode:  12 | Epsilon:  0.56 | Reward: -509.96501826778 | Average Reward: -304.433 | Steps:   961 | Total Reward: -3653.2014435610877|
| Episode:  13 | Epsilon:  0.54 | Reward: -412.6822838697201 | Average Reward: -312.760 | Steps:  1027 | Total Reward: -4065.8837274308084|
| Episode:  14 | Epsilon:  0.52 | Reward: -473.86110685889525 | Average Reward: -324.267 | Steps:  1121 | Total Reward: -4539.744834289704|
| Episode:  15 | Epsilon:  0.50 | Reward: -595.5552070685487 | Average Reward: -342.353 | Steps:  1199 | Total Reward: -5135.300041358253|
| Episode:  16 | Epsilon:  0.48 | Reward: -129.68961505022347 | Average Reward: -329.062 | Steps:  1258 | Total Reward: -5264.989656408474|
| Episode:  17 | Epsilon:  0.46 | Reward: -459.27591076881123 | Average Reward: -336.722 | Steps:  1325 | Total Reward: -5724.265567177286|
| Episode:  18 | Epsilon:  0.44 | Reward: -523.1980982834414 | Average Reward: -347.081 | Steps:  1421 | Total Reward: -6247.463665460724|
| Episode:  19 | Epsilon:  0.43 | Reward: -417.38830825237324 | Average Reward: -350.782 | Steps:  1479 | Total Reward: -6664.851973713097|
| Episode:  20 | Epsilon:  0.41 | Reward: -378.84748856266776 | Average Reward: -352.185 | Steps:  1541 | Total Reward: -7043.699462275763|
| Episode:  21 | Epsilon:  0.39 | Reward: -374.8674311371837 | Average Reward: -353.265 | Steps:  1615 | Total Reward: -7418.566893412945|
| Episode:  22 | Epsilon:  0.38 | Reward: -722.6097729497525 | Average Reward: -370.053 | Steps:  1704 | Total Reward: -8141.1766663627|
| Episode:  23 | Epsilon:  0.37 | Reward: -440.16836565160094 | Average Reward: -373.102 | Steps:  1787 | Total Reward: -8581.34503201431|
| Episode:  24 | Epsilon:  0.35 | Reward: -494.133981640729 | Average Reward: -378.145 | Steps:  1884 | Total Reward: -9075.479013655042|
| Episode:  25 | Epsilon:  0.34 | Reward: -486.7599438553482 | Average Reward: -382.490 | Steps:  1958 | Total Reward: -9562.23895751039|
| Episode:  26 | Epsilon:  0.33 | Reward: -350.4609949216683 | Average Reward: -381.258 | Steps:  2016 | Total Reward: -9912.699952432053|
| Episode:  27 | Epsilon:  0.32 | Reward: -173.83355030790852 | Average Reward: -373.575 | Steps:  2133 | Total Reward: -10086.533502739954|
| Episode:  28 | Epsilon:  0.31 | Reward: -670.5001349160754 | Average Reward: -384.180 | Steps:  2430 | Total Reward: -10757.033637656032|
| Episode:  29 | Epsilon:  0.30 | Reward: -366.02371076866905 | Average Reward: -383.554 | Steps:  2520 | Total Reward: -11123.0573484247|
| Episode:  30 | Epsilon:  0.29 | Reward: -197.8000448314484 | Average Reward: -377.362 | Steps:  2627 | Total Reward: -11320.857393256158|
| Episode:  31 | Epsilon:  0.28 | Reward: -333.10054714062875 | Average Reward: -375.934 | Steps:  2876 | Total Reward: -11653.957940396782|
| Episode:  32 | Epsilon:  0.27 | Reward: -159.15038141121852 | Average Reward: -369.160 | Steps:  2989 | Total Reward: -11813.108321808013|
| Episode:  33 | Epsilon:  0.26 | Reward: -163.18080601631613 | Average Reward: -362.918 | Steps:  3130 | Total Reward: -11976.289127824319|
| Episode:  34 | Epsilon:  0.25 | Reward: -190.71140337656925 | Average Reward: -357.853 | Steps:  3279 | Total Reward: -12167.000531200894|
| Episode:  35 | Epsilon:  0.25 | Reward: -99.31071422115565 | Average Reward: -350.466 | Steps:  3561 | Total Reward: -12266.311245422052|
| Episode:  36 | Epsilon:  0.24 | Reward: -168.36368518725854 | Average Reward: -345.408 | Steps:  3663 | Total Reward: -12434.6749306093|
| Episode:  37 | Epsilon:  0.23 | Reward: -5.359176578211205 | Average Reward: -336.217 | Steps:  3820 | Total Reward: -12440.03410718752|
| Episode:  38 | Epsilon:  0.23 | Reward: -276.53433395146 | Average Reward: -334.647 | Steps:  4002 | Total Reward: -12716.568441138974|
| Episode:  39 | Epsilon:  0.22 | Reward: -232.33618078927546 | Average Reward: -332.023 | Steps:  4157 | Total Reward: -12948.904621928255|
| Episode:  40 | Epsilon:  0.21 | Reward: 20.23830366669209 | Average Reward: -323.217 | Steps:  4374 | Total Reward: -12928.66631826155|
| Episode:  41 | Epsilon:  0.21 | Reward: -92.7603476271797 | Average Reward: -317.596 | Steps:  4560 | Total Reward: -13021.426665888725|
| Episode:  42 | Epsilon:  0.20 | Reward: -272.2357189248733 | Average Reward: -316.516 | Steps:  4759 | Total Reward: -13293.66238481359|
| Episode:  43 | Epsilon:  0.20 | Reward: -253.5849022292773 | Average Reward: -315.052 | Steps:  4948 | Total Reward: -13547.247287042863|
| Episode:  44 | Epsilon:  0.19 | Reward: -55.5099608918601 | Average Reward: -309.154 | Steps:  5145 | Total Reward: -13602.757247934718|
| Episode:  45 | Epsilon:  0.19 | Reward: -179.5428196461503 | Average Reward: -306.273 | Steps:  5359 | Total Reward: -13782.300067580865|
| Episode:  46 | Epsilon:  0.18 | Reward: -300.51624118106304 | Average Reward: -306.148 | Steps:  5683 | Total Reward: -14082.816308761921|
| Episode:  47 | Epsilon:  0.18 | Reward: 205.35471354431675 | Average Reward: -295.265 | Steps:  6115 | Total Reward: -13877.461595217606|
| Episode:  48 | Epsilon:  0.18 | Reward: -83.83031914182946 | Average Reward: -290.860 | Steps:  6307 | Total Reward: -13961.291914359439|
| Episode:  49 | Epsilon:  0.17 | Reward: -207.1086076951566 | Average Reward: -289.151 | Steps:  6505 | Total Reward: -14168.4005220546|
| Episode:  50 | Epsilon:  0.17 | Reward: -221.05423551941934 | Average Reward: -287.789 | Steps:  6646 | Total Reward: -14389.454757574018|
| Episode:  51 | Epsilon:  0.17 | Reward: -110.20686664220206 | Average Reward: -284.307 | Steps:  6831 | Total Reward: -14499.661624216209|
| Episode:  52 | Epsilon:  0.16 | Reward: -184.63356451337086 | Average Reward: -282.390 | Steps:  6981 | Total Reward: -14684.295188729584|
| Episode:  53 | Epsilon:  0.16 | Reward: -229.29782281068046 | Average Reward: -281.389 | Steps:  7181 | Total Reward: -14913.593011540257|
| Episode:  54 | Epsilon:  0.16 | Reward: -265.234070456366 | Average Reward: -281.089 | Steps:  7375 | Total Reward: -15178.827081996624|
| Episode:  55 | Epsilon:  0.15 | Reward: -85.24397652843511 | Average Reward: -277.529 | Steps:  7503 | Total Reward: -15264.071058525053|
| Episode:  56 | Epsilon:  0.15 | Reward: 190.14440765701465 | Average Reward: -269.177 | Steps:  8238 | Total Reward: -15073.926650868041|
| Episode:  57 | Epsilon:  0.15 | Reward: -202.746754218143 | Average Reward: -268.012 | Steps:  8402 | Total Reward: -15276.673405086181|
| Episode:  58 | Epsilon:  0.15 | Reward: -205.86675083804772 | Average Reward: -266.940 | Steps:  8574 | Total Reward: -15482.540155924218|
| Episode:  59 | Epsilon:  0.14 | Reward: -66.5051815360261 | Average Reward: -263.543 | Steps:  8702 | Total Reward: -15549.045337460244|
| Episode:  60 | Epsilon:  0.14 | Reward: -189.7583128150302 | Average Reward: -262.313 | Steps:  8838 | Total Reward: -15738.803650275264|
| Episode:  61 | Epsilon:  0.14 | Reward: -177.25697591338184 | Average Reward: -260.919 | Steps:  9057 | Total Reward: -15916.060626188648|
| Episode:  62 | Epsilon:  0.14 | Reward: 176.93918369819346 | Average Reward: -253.857 | Steps:  9491 | Total Reward: -15739.12144249044|
| Episode:  63 | Epsilon:  0.14 | Reward: -31.732406384494766 | Average Reward: -250.331 | Steps:  9695 | Total Reward: -15770.853848874918|
| Episode:  64 | Epsilon:  0.13 | Reward: -207.44690930894663 | Average Reward: -249.661 | Steps:  9922 | Total Reward: -15978.300758183856|
| Episode:  65 | Epsilon:  0.13 | Reward: -76.59351509431791 | Average Reward: -246.998 | Steps: 10113 | Total Reward: -16054.894273278172|
| Episode:  66 | Epsilon:  0.13 | Reward: -136.95932314378803 | Average Reward: -245.331 | Steps: 10298 | Total Reward: -16191.853596421966|
| Episode:  67 | Epsilon:  0.13 | Reward: 208.64149841752806 | Average Reward: -238.555 | Steps: 10666 | Total Reward: -15983.212098004442|
| Episode:  68 | Epsilon:  0.13 | Reward: -397.9447027267372 | Average Reward: -240.899 | Steps: 10845 | Total Reward: -16381.156800731182|
| Episode:  69 | Epsilon:  0.13 | Reward: -12.484823603437619 | Average Reward: -237.589 | Steps: 11098 | Total Reward: -16393.64162433461|
| Episode:  70 | Epsilon:  0.13 | Reward: -219.20642168472503 | Average Reward: -237.326 | Steps: 11327 | Total Reward: -16612.84804601933|
| Episode:  71 | Epsilon:  0.12 | Reward: -222.30837614276265 | Average Reward: -237.115 | Steps: 11545 | Total Reward: -16835.156422162087|
| Episode:  72 | Epsilon:  0.12 | Reward: -16.310862389198093 | Average Reward: -234.048 | Steps: 11785 | Total Reward: -16851.467284551243|
| Episode:  73 | Epsilon:  0.12 | Reward: -153.3806166174198 | Average Reward: -232.943 | Steps: 11921 | Total Reward: -17004.847901168672|
| Episode:  74 | Epsilon:  0.12 | Reward: -229.36091595884548 | Average Reward: -232.895 | Steps: 12081 | Total Reward: -17234.208817127528|
| Episode:  75 | Epsilon:  0.12 | Reward: -271.73541524976656 | Average Reward: -233.413 | Steps: 12331 | Total Reward: -17505.94423237729|
| Episode:  76 | Epsilon:  0.12 | Reward: -151.03278416473543 | Average Reward: -232.329 | Steps: 12545 | Total Reward: -17656.977016542016|
| Episode:  77 | Epsilon:  0.12 | Reward: -34.91755828029545 | Average Reward: -229.765 | Steps: 12735 | Total Reward: -17691.8945748223|
| Episode:  78 | Epsilon:  0.12 | Reward: -272.0096880860899 | Average Reward: -230.306 | Steps: 12907 | Total Reward: -17963.9042629084|
| Episode:  79 | Epsilon:  0.12 | Reward: -277.1412077989959 | Average Reward: -230.899 | Steps: 13183 | Total Reward: -18241.045470707428|
| Episode:  80 | Epsilon:  0.12 | Reward: -97.58064635073588 | Average Reward: -229.233 | Steps: 13348 | Total Reward: -18338.62611705816|
| Episode:  81 | Epsilon:  0.11 | Reward: 29.51596776584867 | Average Reward: -226.038 | Steps: 13579 | Total Reward: -18309.110149292304|
| Episode:  82 | Epsilon:  0.11 | Reward: -229.8387008981637 | Average Reward: -226.085 | Steps: 13721 | Total Reward: -18538.948850190474|
| Episode:  83 | Epsilon:  0.11 | Reward: -230.75661213270635 | Average Reward: -226.141 | Steps: 13914 | Total Reward: -18769.70546232319|
| Episode:  84 | Epsilon:  0.11 | Reward: -146.1798171377962 | Average Reward: -225.189 | Steps: 14138 | Total Reward: -18915.88527946098|
| Episode:  85 | Epsilon:  0.11 | Reward: -54.1587082634597 | Average Reward: -223.177 | Steps: 14323 | Total Reward: -18970.043987724443|
| Episode:  86 | Epsilon:  0.11 | Reward: -266.2226078910554 | Average Reward: -223.678 | Steps: 14645 | Total Reward: -19236.26659561547|
| Episode:  87 | Epsilon:  0.11 | Reward: -220.19765226859278 | Average Reward: -223.638 | Steps: 14850 | Total Reward: -19456.464247884065|
| Episode:  88 | Epsilon:  0.11 | Reward: -270.93503769431845 | Average Reward: -224.175 | Steps: 15118 | Total Reward: -19727.39928557834|
| Episode:  89 | Epsilon:  0.11 | Reward: -220.6416948209107 | Average Reward: -224.135 | Steps: 15348 | Total Reward: -19948.04098039926|
| Episode:  90 | Epsilon:  0.11 | Reward: -39.02391495191988 | Average Reward: -222.078 | Steps: 15529 | Total Reward: -19987.064895351185|
| Episode:  91 | Epsilon:  0.11 | Reward: -279.2686611900999 | Average Reward: -222.707 | Steps: 15783 | Total Reward: -20266.3335565413|
| Episode:  92 | Epsilon:  0.11 | Reward: -62.28098624512356 | Average Reward: -220.963 | Steps: 16039 | Total Reward: -20328.61454278643|
| Episode:  93 | Epsilon:  0.11 | Reward: -192.06853078320563 | Average Reward: -220.653 | Steps: 16264 | Total Reward: -20520.68307356962|
| Episode:  94 | Epsilon:  0.11 | Reward: -154.22119619069804 | Average Reward: -219.946 | Steps: 16434 | Total Reward: -20674.90426976031|
| Episode:  95 | Epsilon:  0.11 | Reward: -278.33428235374333 | Average Reward: -220.560 | Steps: 16758 | Total Reward: -20953.23855211405|
| Episode:  96 | Epsilon:  0.11 | Reward: -227.7573774908307 | Average Reward: -220.635 | Steps: 17030 | Total Reward: -21180.99592960488|
| Episode:  97 | Epsilon:  0.11 | Reward: -125.52722957479347 | Average Reward: -219.655 | Steps: 17254 | Total Reward: -21306.523159179673|
| Episode:  98 | Epsilon:  0.11 | Reward: -61.77663237094144 | Average Reward: -218.044 | Steps: 17490 | Total Reward: -21368.29979155065|
| Episode:  99 | Epsilon:  0.11 | Reward: -107.28250001966532 | Average Reward: -216.925 | Steps: 17683 | Total Reward: -21475.582291570317|
| Episode: 100 | Epsilon:  0.11 | Reward: -36.20328558551445 | Average Reward: -215.118 | Steps: 17858 | Total Reward: -21511.785577155824|
| Episode: 101 | Epsilon:  0.11 | Reward: -62.91748669436984 | Average Reward: -211.021 | Steps: 18087 | Total Reward: -21574.703063850167|
| Episode: 102 | Epsilon:  0.11 | Reward: -221.9390808139218 | Average Reward: -212.117 | Steps: 18270 | Total Reward: -21796.64214466408|
| Episode: 103 | Epsilon:  0.10 | Reward: -21.01890055820894 | Average Reward: -212.550 | Steps: 18462 | Total Reward: -21817.661045222292|
| Episode: 104 | Epsilon:  0.10 | Reward: -216.7014693920627 | Average Reward: -211.298 | Steps: 18726 | Total Reward: -22034.362514614342|
| Episode: 105 | Epsilon:  0.10 | Reward: -192.89797813694045 | Average Reward: -211.131 | Steps: 18954 | Total Reward: -22227.260492751306|
| Episode: 106 | Epsilon:  0.10 | Reward: -261.74511439011496 | Average Reward: -209.066 | Steps: 19131 | Total Reward: -22489.00560714143|
| Episode: 107 | Epsilon:  0.10 | Reward: -232.45000429115646 | Average Reward: -208.389 | Steps: 19339 | Total Reward: -22721.455611432568|
| Episode: 108 | Epsilon:  0.10 | Reward: -229.60955183212639 | Average Reward: -206.490 | Steps: 19618 | Total Reward: -22951.06516326466|
| Episode: 109 | Epsilon:  0.10 | Reward: -48.201082726786 | Average Reward: -203.465 | Steps: 19828 | Total Reward: -22999.266245991443|
| Episode: 110 | Epsilon:  0.10 | Reward: -359.745007737503 | Average Reward: -205.405 | Steps: 20084 | Total Reward: -23359.01125372894|
| Episode: 111 | Epsilon:  0.10 | Reward: -250.36420727574986 | Average Reward: -204.661 | Steps: 20293 | Total Reward: -23609.37546100466|
| Episode: 112 | Epsilon:  0.10 | Reward: 3.1369622825805834 | Average Reward: -199.530 | Steps: 20494 | Total Reward: -23606.238498722076|
| Episode: 113 | Epsilon:  0.10 | Reward: -162.55591504138613 | Average Reward: -197.029 | Steps: 20769 | Total Reward: -23768.79441376346|
| Episode: 114 | Epsilon:  0.10 | Reward: -183.27277348311242 | Average Reward: -194.123 | Steps: 20979 | Total Reward: -23952.067187246594|
| Episode: 115 | Epsilon:  0.10 | Reward: -258.67668524668267 | Average Reward: -190.754 | Steps: 21191 | Total Reward: -24210.743872493276|
| Episode: 116 | Epsilon:  0.10 | Reward: -179.69802485253342 | Average Reward: -191.255 | Steps: 21400 | Total Reward: -24390.4418973458|
| Episode: 117 | Epsilon:  0.10 | Reward: -24.250160011948253 | Average Reward: -186.904 | Steps: 21608 | Total Reward: -24414.692057357755|
| Episode: 118 | Epsilon:  0.10 | Reward: -252.85376934311336 | Average Reward: -184.201 | Steps: 21827 | Total Reward: -24667.54582670085|
| Episode: 119 | Epsilon:  0.10 | Reward: -231.44550436701064 | Average Reward: -182.341 | Steps: 22054 | Total Reward: -24898.99133106785|
