| Episode:   1 | Epsilon:  0.75 | Reward:   5.0 | Average Reward: 5.000 | Steps:    91 | Total Reward:   5.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 2.500 | Steps:   117 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   0.0 | Average Reward: 1.667 | Steps:   148 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   3.0 | Average Reward: 2.000 | Steps:   222 | Total Reward:   8.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   1.0 | Average Reward: 1.800 | Steps:   269 | Total Reward:   9.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   3.0 | Average Reward: 2.000 | Steps:   339 | Total Reward:  12.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   2.0 | Average Reward: 2.000 | Steps:   401 | Total Reward:  14.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   3.0 | Average Reward: 2.125 | Steps:   470 | Total Reward:  17.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   2.0 | Average Reward: 2.111 | Steps:   528 | Total Reward:  19.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   3.0 | Average Reward: 2.200 | Steps:   598 | Total Reward:  22.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   0.0 | Average Reward: 2.000 | Steps:   626 | Total Reward:  22.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   2.0 | Average Reward: 2.000 | Steps:   685 | Total Reward:  24.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.000 | Steps:   748 | Total Reward:  26.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   3.0 | Average Reward: 2.071 | Steps:   815 | Total Reward:  29.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   1.0 | Average Reward: 2.000 | Steps:   858 | Total Reward:  30.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   2.0 | Average Reward: 2.000 | Steps:   911 | Total Reward:  32.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.000 | Steps:   965 | Total Reward:  34.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 1.944 | Steps:  1008 | Total Reward:  35.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 1.947 | Steps:  1069 | Total Reward:  37.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 1.950 | Steps:  1124 | Total Reward:  39.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.952 | Steps:  1177 | Total Reward:  41.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.955 | Steps:  1230 | Total Reward:  43.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.870 | Steps:  1257 | Total Reward:  43.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.875 | Steps:  1319 | Total Reward:  45.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.880 | Steps:  1370 | Total Reward:  47.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.885 | Steps:  1424 | Total Reward:  49.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.889 | Steps:  1476 | Total Reward:  51.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.893 | Steps:  1529 | Total Reward:  53.0|
| Episode:  29 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.897 | Steps:  1580 | Total Reward:  55.0|
| Episode:  30 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.900 | Steps:  1639 | Total Reward:  57.0|
| Episode:  31 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.903 | Steps:  1695 | Total Reward:  59.0|
| Episode:  32 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.906 | Steps:  1747 | Total Reward:  61.0|
| Episode:  33 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.909 | Steps:  1797 | Total Reward:  63.0|
| Episode:  34 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.912 | Steps:  1848 | Total Reward:  65.0|
| Episode:  35 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.914 | Steps:  1899 | Total Reward:  67.0|
| Episode:  36 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.917 | Steps:  1953 | Total Reward:  69.0|
| Episode:  37 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.946 | Steps:  2032 | Total Reward:  72.0|
| Episode:  38 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.974 | Steps:  2100 | Total Reward:  75.0|
| Episode:  39 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.000 | Steps:  2168 | Total Reward:  78.0|
| Episode:  40 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.025 | Steps:  2240 | Total Reward:  81.0|
| Episode:  41 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.024 | Steps:  2296 | Total Reward:  83.0|
| Episode:  42 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.048 | Steps:  2365 | Total Reward:  86.0|
| Episode:  43 | Epsilon:  0.10 | Reward:   5.0 | Average Reward: 2.116 | Steps:  2460 | Total Reward:  91.0|
| Episode:  44 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.114 | Steps:  2513 | Total Reward:  93.0|
| Episode:  45 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.111 | Steps:  2564 | Total Reward:  95.0|
| Episode:  46 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.109 | Steps:  2618 | Total Reward:  97.0|
| Episode:  47 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.106 | Steps:  2670 | Total Reward:  99.0|
| Episode:  48 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.104 | Steps:  2723 | Total Reward: 101.0|
| Episode:  49 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.102 | Steps:  2780 | Total Reward: 103.0|
| Episode:  50 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.100 | Steps:  2832 | Total Reward: 105.0|
| Episode:  51 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.098 | Steps:  2883 | Total Reward: 107.0|
| Episode:  52 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.096 | Steps:  2936 | Total Reward: 109.0|
| Episode:  53 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.132 | Steps:  3024 | Total Reward: 113.0|
| Episode:  54 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.130 | Steps:  3075 | Total Reward: 115.0|
| Episode:  55 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.127 | Steps:  3134 | Total Reward: 117.0|
| Episode:  56 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.161 | Steps:  3225 | Total Reward: 121.0|
| Episode:  57 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.158 | Steps:  3276 | Total Reward: 123.0|
| Episode:  58 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.155 | Steps:  3335 | Total Reward: 125.0|
| Episode:  59 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.186 | Steps:  3421 | Total Reward: 129.0|
| Episode:  60 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.183 | Steps:  3472 | Total Reward: 131.0|
| Episode:  61 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.180 | Steps:  3523 | Total Reward: 133.0|
| Episode:  62 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.177 | Steps:  3574 | Total Reward: 135.0|
| Episode:  63 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.206 | Steps:  3661 | Total Reward: 139.0|
| Episode:  64 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.219 | Steps:  3731 | Total Reward: 142.0|
| Episode:  65 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.215 | Steps:  3789 | Total Reward: 144.0|
| Episode:  66 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.182 | Steps:  3816 | Total Reward: 144.0|
| Episode:  67 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.164 | Steps:  3861 | Total Reward: 145.0|
| Episode:  68 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.162 | Steps:  3915 | Total Reward: 147.0|
| Episode:  69 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.174 | Steps:  3986 | Total Reward: 150.0|
| Episode:  70 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.171 | Steps:  4047 | Total Reward: 152.0|
| Episode:  71 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.169 | Steps:  4106 | Total Reward: 154.0|
| Episode:  72 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.167 | Steps:  4159 | Total Reward: 156.0|
| Episode:  73 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.164 | Steps:  4212 | Total Reward: 158.0|
| Episode:  74 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.162 | Steps:  4266 | Total Reward: 160.0|
| Episode:  75 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.160 | Steps:  4325 | Total Reward: 162.0|
| Episode:  76 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.171 | Steps:  4397 | Total Reward: 165.0|
| Episode:  77 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.169 | Steps:  4448 | Total Reward: 167.0|
| Episode:  78 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.167 | Steps:  4502 | Total Reward: 169.0|
| Episode:  79 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.177 | Steps:  4570 | Total Reward: 172.0|
| Episode:  80 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.175 | Steps:  4629 | Total Reward: 174.0|
| Episode:  81 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.173 | Steps:  4681 | Total Reward: 176.0|
| Episode:  82 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.171 | Steps:  4735 | Total Reward: 178.0|
| Episode:  83 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.169 | Steps:  4788 | Total Reward: 180.0|
| Episode:  84 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.179 | Steps:  4865 | Total Reward: 183.0|
