class Configuration2(object):
    def __init__(self):
        self.device = torch.device("cuda" if torch.cuda.is_available() else "cpu")
        self.env_type = 'gym'  # atari / gym
        self.memory_type = 'r_memory'  # memory / r_memory

        self.model = {'drqn': 'fc', 'layer': 'lstm', 'bidirectional': False, 'rnn_layers_number': 1,
                      'hidden_space': 128}

        ''' drqn: 'fc' or 'cnn', layer: 'hopfield', 'hopfield_layer', 'hopfield_pooling', 'lstm', 'gru' '''
        self.compatible_layers = ['hopfield', 'hopfield_layer', 'hopfield_pooling', 'lstm', 'gru']
        self.rnn_layers = ['lstm', 'gru', 'rnn']

        self.loss = 'mse'  # huber or mse,

        self.gamma = 0.99
        self.learning_rate = 0.00025
        self.weight_decay = 0.0

        self.soft_update_freq = 100
        self.capacity = 100000
        self.episode = 1000000
        self.seq_len = 50
        self.batch_size = 32

        self.exploration = 2000
        self.epsilon_init = 0.9
        self.epsilon_min = 0.10
        self.decay = 20

        self.render = False



| episode:   1 | epsilon:  0.90 | reward:  21.0 | avg. reward: 21.000 | steps:    21| total reward:  21.0|
| episode:   2 | epsilon:  0.86 | reward:  14.0 | avg. reward: 17.500 | steps:    35| total reward:  35.0|
| episode:   3 | epsilon:  0.82 | reward:  12.0 | avg. reward: 15.667 | steps:    47| total reward:  47.0|
| episode:   4 | epsilon:  0.79 | reward:  45.0 | avg. reward: 23.000 | steps:    92| total reward:  92.0|
| episode:   5 | epsilon:  0.75 | reward:  20.0 | avg. reward: 22.400 | steps:   112| total reward: 112.0|
| episode:   6 | epsilon:  0.72 | reward:  15.0 | avg. reward: 21.167 | steps:   127| total reward: 127.0|
| episode:   7 | epsilon:  0.69 | reward:   9.0 | avg. reward: 19.429 | steps:   136| total reward: 136.0|
| episode:   8 | epsilon:  0.66 | reward:  13.0 | avg. reward: 18.625 | steps:   149| total reward: 149.0|
| episode:   9 | epsilon:  0.64 | reward:  23.0 | avg. reward: 19.111 | steps:   172| total reward: 172.0|
| episode:  10 | epsilon:  0.61 | reward:  24.0 | avg. reward: 19.600 | steps:   196| total reward: 196.0|
| episode:  11 | epsilon:  0.59 | reward:  10.0 | avg. reward: 18.727 | steps:   206| total reward: 206.0|
| episode:  12 | epsilon:  0.56 | reward:  19.0 | avg. reward: 18.750 | steps:   225| total reward: 225.0|
| episode:  13 | epsilon:  0.54 | reward:  15.0 | avg. reward: 18.462 | steps:   240| total reward: 240.0|
| episode:  14 | epsilon:  0.52 | reward:  17.0 | avg. reward: 18.357 | steps:   257| total reward: 257.0|
| episode:  15 | epsilon:  0.50 | reward:  16.0 | avg. reward: 18.200 | steps:   273| total reward: 273.0|
| episode:  16 | epsilon:  0.48 | reward:  15.0 | avg. reward: 18.000 | steps:   288| total reward: 288.0|
| episode:  17 | epsilon:  0.46 | reward:  21.0 | avg. reward: 18.176 | steps:   309| total reward: 309.0|
| episode:  18 | epsilon:  0.44 | reward:  14.0 | avg. reward: 17.944 | steps:   323| total reward: 323.0|
| episode:  19 | epsilon:  0.43 | reward:  12.0 | avg. reward: 17.632 | steps:   335| total reward: 335.0|
| episode:  20 | epsilon:  0.41 | reward:  13.0 | avg. reward: 17.400 | steps:   348| total reward: 348.0|
| episode:  21 | epsilon:  0.39 | reward:  10.0 | avg. reward: 17.048 | steps:   358| total reward: 358.0|
| episode:  22 | epsilon:  0.38 | reward:  11.0 | avg. reward: 16.773 | steps:   369| total reward: 369.0|
| episode:  23 | epsilon:  0.37 | reward:  12.0 | avg. reward: 16.565 | steps:   381| total reward: 381.0|
| episode:  24 | epsilon:  0.35 | reward:  11.0 | avg. reward: 16.333 | steps:   392| total reward: 392.0|
| episode:  25 | epsilon:  0.34 | reward:   8.0 | avg. reward: 16.000 | steps:   400| total reward: 400.0|
| episode:  26 | epsilon:  0.33 | reward:   9.0 | avg. reward: 15.731 | steps:   409| total reward: 409.0|
| episode:  27 | epsilon:  0.32 | reward:  14.0 | avg. reward: 15.667 | steps:   423| total reward: 423.0|
| episode:  28 | epsilon:  0.31 | reward:  15.0 | avg. reward: 15.643 | steps:   438| total reward: 438.0|
| episode:  29 | epsilon:  0.30 | reward:  13.0 | avg. reward: 15.552 | steps:   451| total reward: 451.0|
| episode:  30 | epsilon:  0.29 | reward:  10.0 | avg. reward: 15.367 | steps:   461| total reward: 461.0|
| episode:  31 | epsilon:  0.28 | reward:  12.0 | avg. reward: 15.258 | steps:   473| total reward: 473.0|
| episode:  32 | epsilon:  0.27 | reward:  10.0 | avg. reward: 15.094 | steps:   483| total reward: 483.0|
| episode:  33 | epsilon:  0.26 | reward:  10.0 | avg. reward: 14.939 | steps:   493| total reward: 493.0|
| episode:  34 | epsilon:  0.25 | reward:   9.0 | avg. reward: 14.765 | steps:   502| total reward: 502.0|
| episode:  35 | epsilon:  0.25 | reward:  12.0 | avg. reward: 14.686 | steps:   514| total reward: 514.0|
| episode:  36 | epsilon:  0.24 | reward:   9.0 | avg. reward: 14.528 | steps:   523| total reward: 523.0|
| episode:  37 | epsilon:  0.23 | reward:   9.0 | avg. reward: 14.378 | steps:   532| total reward: 532.0|
| episode:  38 | epsilon:  0.23 | reward:  11.0 | avg. reward: 14.289 | steps:   543| total reward: 543.0|
| episode:  39 | epsilon:  0.22 | reward:  11.0 | avg. reward: 14.205 | steps:   554| total reward: 554.0|
| episode:  40 | epsilon:  0.21 | reward:  10.0 | avg. reward: 14.100 | steps:   564| total reward: 564.0|
| episode:  41 | epsilon:  0.21 | reward:  12.0 | avg. reward: 14.049 | steps:   576| total reward: 576.0|
| episode:  42 | epsilon:  0.20 | reward:   9.0 | avg. reward: 13.929 | steps:   585| total reward: 585.0|
| episode:  43 | epsilon:  0.20 | reward:  10.0 | avg. reward: 13.837 | steps:   595| total reward: 595.0|
| episode:  44 | epsilon:  0.19 | reward:  13.0 | avg. reward: 13.818 | steps:   608| total reward: 608.0|
| episode:  45 | epsilon:  0.19 | reward:   9.0 | avg. reward: 13.711 | steps:   617| total reward: 617.0|
| episode:  46 | epsilon:  0.18 | reward:   8.0 | avg. reward: 13.587 | steps:   625| total reward: 625.0|
| episode:  47 | epsilon:  0.18 | reward:   8.0 | avg. reward: 13.468 | steps:   633| total reward: 633.0|
| episode:  48 | epsilon:  0.18 | reward:  11.0 | avg. reward: 13.417 | steps:   644| total reward: 644.0|
| episode:  49 | epsilon:  0.17 | reward:  10.0 | avg. reward: 13.347 | steps:   654| total reward: 654.0|
| episode:  50 | epsilon:  0.17 | reward:   9.0 | avg. reward: 13.260 | steps:   663| total reward: 663.0|
| episode:  51 | epsilon:  0.17 | reward:  10.0 | avg. reward: 13.196 | steps:   673| total reward: 673.0|
| episode:  52 | epsilon:  0.16 | reward:   9.0 | avg. reward: 13.115 | steps:   682| total reward: 682.0|
| episode:  53 | epsilon:  0.16 | reward:  11.0 | avg. reward: 13.075 | steps:   693| total reward: 693.0|
| episode:  54 | epsilon:  0.16 | reward:  14.0 | avg. reward: 13.093 | steps:   707| total reward: 707.0|
| episode:  55 | epsilon:  0.15 | reward:   9.0 | avg. reward: 13.018 | steps:   716| total reward: 716.0|
| episode:  56 | epsilon:  0.15 | reward:   9.0 | avg. reward: 12.946 | steps:   725| total reward: 725.0|
