| episode:   1 | epsilon:  0.90 | reward:  10.0 | avg. reward: 10.000 | steps:    10| total reward:  10.0|
| episode:   2 | epsilon:  0.86 | reward:  12.0 | avg. reward: 11.000 | steps:    22| total reward:  22.0|
| episode:   3 | epsilon:  0.82 | reward:  14.0 | avg. reward: 12.000 | steps:    36| total reward:  36.0|
| episode:   4 | epsilon:  0.79 | reward:  18.0 | avg. reward: 13.500 | steps:    54| total reward:  54.0|
| episode:   5 | epsilon:  0.75 | reward:  15.0 | avg. reward: 13.800 | steps:    69| total reward:  69.0|
| episode:   6 | epsilon:  0.72 | reward:   9.0 | avg. reward: 13.000 | steps:    78| total reward:  78.0|
| episode:   7 | epsilon:  0.69 | reward:  14.0 | avg. reward: 13.143 | steps:    92| total reward:  92.0|
| episode:   8 | epsilon:  0.66 | reward:  14.0 | avg. reward: 13.250 | steps:   106| total reward: 106.0|
| episode:   9 | epsilon:  0.64 | reward:  11.0 | avg. reward: 13.000 | steps:   117| total reward: 117.0|
| episode:  10 | epsilon:  0.61 | reward:  25.0 | avg. reward: 14.200 | steps:   142| total reward: 142.0|
| episode:  11 | epsilon:  0.59 | reward:  24.0 | avg. reward: 15.091 | steps:   166| total reward: 166.0|
| episode:  12 | epsilon:  0.56 | reward:  20.0 | avg. reward: 15.500 | steps:   186| total reward: 186.0|
| episode:  13 | epsilon:  0.54 | reward:  11.0 | avg. reward: 15.154 | steps:   197| total reward: 197.0|
| episode:  14 | epsilon:  0.52 | reward:  15.0 | avg. reward: 15.143 | steps:   212| total reward: 212.0|
| episode:  15 | epsilon:  0.50 | reward:  10.0 | avg. reward: 14.800 | steps:   222| total reward: 222.0|
| episode:  16 | epsilon:  0.48 | reward:  12.0 | avg. reward: 14.625 | steps:   234| total reward: 234.0|
| episode:  17 | epsilon:  0.46 | reward:   8.0 | avg. reward: 14.235 | steps:   242| total reward: 242.0|
| episode:  18 | epsilon:  0.44 | reward:  10.0 | avg. reward: 14.000 | steps:   252| total reward: 252.0|
| episode:  19 | epsilon:  0.43 | reward:  11.0 | avg. reward: 13.842 | steps:   263| total reward: 263.0|
| episode:  20 | epsilon:  0.41 | reward:  13.0 | avg. reward: 13.800 | steps:   276| total reward: 276.0|
| episode:  21 | epsilon:  0.39 | reward:  10.0 | avg. reward: 13.619 | steps:   286| total reward: 286.0|
| episode:  22 | epsilon:  0.38 | reward:  11.0 | avg. reward: 13.500 | steps:   297| total reward: 297.0|
| episode:  23 | epsilon:  0.37 | reward:  10.0 | avg. reward: 13.348 | steps:   307| total reward: 307.0|
| episode:  24 | epsilon:  0.35 | reward:  12.0 | avg. reward: 13.292 | steps:   319| total reward: 319.0|
| episode:  25 | epsilon:  0.34 | reward:  11.0 | avg. reward: 13.200 | steps:   330| total reward: 330.0|
| episode:  26 | epsilon:  0.33 | reward:  10.0 | avg. reward: 13.077 | steps:   340| total reward: 340.0|
| episode:  27 | epsilon:  0.32 | reward:   9.0 | avg. reward: 12.926 | steps:   349| total reward: 349.0|
| episode:  28 | epsilon:  0.31 | reward:  18.0 | avg. reward: 13.107 | steps:   367| total reward: 367.0|
| episode:  29 | epsilon:  0.30 | reward:  11.0 | avg. reward: 13.034 | steps:   378| total reward: 378.0|
| episode:  30 | epsilon:  0.29 | reward:  10.0 | avg. reward: 12.933 | steps:   388| total reward: 388.0|
| episode:  31 | epsilon:  0.28 | reward:  14.0 | avg. reward: 12.968 | steps:   402| total reward: 402.0|
| episode:  32 | epsilon:  0.27 | reward:  14.0 | avg. reward: 13.000 | steps:   416| total reward: 416.0|
| episode:  33 | epsilon:  0.26 | reward:   9.0 | avg. reward: 12.879 | steps:   425| total reward: 425.0|
| episode:  34 | epsilon:  0.25 | reward:  13.0 | avg. reward: 12.882 | steps:   438| total reward: 438.0|
| episode:  35 | epsilon:  0.25 | reward:  12.0 | avg. reward: 12.857 | steps:   450| total reward: 450.0|
| episode:  36 | epsilon:  0.24 | reward:  12.0 | avg. reward: 12.833 | steps:   462| total reward: 462.0|
| episode:  37 | epsilon:  0.23 | reward:  10.0 | avg. reward: 12.757 | steps:   472| total reward: 472.0|
| episode:  38 | epsilon:  0.23 | reward:  10.0 | avg. reward: 12.684 | steps:   482| total reward: 482.0|
| episode:  39 | epsilon:  0.22 | reward:  10.0 | avg. reward: 12.615 | steps:   492| total reward: 492.0|
| episode:  40 | epsilon:  0.21 | reward:   9.0 | avg. reward: 12.525 | steps:   501| total reward: 501.0|
| episode:  41 | epsilon:  0.21 | reward:  12.0 | avg. reward: 12.512 | steps:   513| total reward: 513.0|
| episode:  42 | epsilon:  0.20 | reward:   8.0 | avg. reward: 12.405 | steps:   521| total reward: 521.0|
| episode:  43 | epsilon:  0.20 | reward:  11.0 | avg. reward: 12.372 | steps:   532| total reward: 532.0|
| episode:  44 | epsilon:  0.19 | reward:   9.0 | avg. reward: 12.295 | steps:   541| total reward: 541.0|
| episode:  45 | epsilon:  0.19 | reward:  10.0 | avg. reward: 12.244 | steps:   551| total reward: 551.0|
| episode:  46 | epsilon:  0.18 | reward:   9.0 | avg. reward: 12.174 | steps:   560| total reward: 560.0|
| episode:  47 | epsilon:  0.18 | reward:   8.0 | avg. reward: 12.085 | steps:   568| total reward: 568.0|
| episode:  48 | epsilon:  0.18 | reward:  10.0 | avg. reward: 12.042 | steps:   578| total reward: 578.0|
| episode:  49 | epsilon:  0.17 | reward:  10.0 | avg. reward: 12.000 | steps:   588| total reward: 588.0|
| episode:  50 | epsilon:  0.17 | reward:  11.0 | avg. reward: 11.980 | steps:   599| total reward: 599.0|
| episode:  51 | epsilon:  0.17 | reward:  12.0 | avg. reward: 11.980 | steps:   611| total reward: 611.0|
| episode:  52 | epsilon:  0.16 | reward:   9.0 | avg. reward: 11.923 | steps:   620| total reward: 620.0|
| episode:  53 | epsilon:  0.16 | reward:  13.0 | avg. reward: 11.943 | steps:   633| total reward: 633.0|
| episode:  54 | epsilon:  0.16 | reward:  12.0 | avg. reward: 11.944 | steps:   645| total reward: 645.0|
| episode:  55 | epsilon:  0.15 | reward:   8.0 | avg. reward: 11.873 | steps:   653| total reward: 653.0|
| episode:  56 | epsilon:  0.15 | reward:  10.0 | avg. reward: 11.839 | steps:   663| total reward: 663.0|
| episode:  57 | epsilon:  0.15 | reward:   9.0 | avg. reward: 11.789 | steps:   672| total reward: 672.0|
| episode:  58 | epsilon:  0.15 | reward:  10.0 | avg. reward: 11.759 | steps:   682| total reward: 682.0|
| episode:  59 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.729 | steps:   692| total reward: 692.0|
| episode:  60 | epsilon:  0.14 | reward:   9.0 | avg. reward: 11.683 | steps:   701| total reward: 701.0|
| episode:  61 | epsilon:  0.14 | reward:  13.0 | avg. reward: 11.705 | steps:   714| total reward: 714.0|
| episode:  62 | epsilon:  0.14 | reward:  10.0 | avg. reward: 11.677 | steps:   724| total reward: 724.0|
| episode:  63 | epsilon:  0.14 | reward:  13.0 | avg. reward: 11.698 | steps:   737| total reward: 737.0|
| episode:  64 | epsilon:  0.13 | reward:  13.0 | avg. reward: 11.719 | steps:   750| total reward: 750.0|
| episode:  65 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.692 | steps:   760| total reward: 760.0|
| episode:  66 | epsilon:  0.13 | reward:  11.0 | avg. reward: 11.682 | steps:   771| total reward: 771.0|
| episode:  67 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.657 | steps:   781| total reward: 781.0|
| episode:  68 | epsilon:  0.13 | reward:   9.0 | avg. reward: 11.618 | steps:   790| total reward: 790.0|
| episode:  69 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.594 | steps:   800| total reward: 800.0|
| episode:  70 | epsilon:  0.13 | reward:  10.0 | avg. reward: 11.571 | steps:   810| total reward: 810.0|
| episode:  71 | epsilon:  0.12 | reward:  10.0 | avg. reward: 11.549 | steps:   820| total reward: 820.0|
| episode:  72 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.514 | steps:   829| total reward: 829.0|
| episode:  73 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.479 | steps:   838| total reward: 838.0|
| episode:  74 | epsilon:  0.12 | reward:  10.0 | avg. reward: 11.459 | steps:   848| total reward: 848.0|
| episode:  75 | epsilon:  0.12 | reward:  10.0 | avg. reward: 11.440 | steps:   858| total reward: 858.0|
| episode:  76 | epsilon:  0.12 | reward:   8.0 | avg. reward: 11.395 | steps:   866| total reward: 866.0|
| episode:  77 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.364 | steps:   875| total reward: 875.0|
| episode:  78 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.333 | steps:   884| total reward: 884.0|
| episode:  79 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.304 | steps:   893| total reward: 893.0|
| episode:  80 | epsilon:  0.12 | reward:   9.0 | avg. reward: 11.275 | steps:   902| total reward: 902.0|
| episode:  81 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.259 | steps:   912| total reward: 912.0|
| episode:  82 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.256 | steps:   923| total reward: 923.0|
| episode:  83 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.241 | steps:   933| total reward: 933.0|
| episode:  84 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.226 | steps:   943| total reward: 943.0|
| episode:  85 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.200 | steps:   952| total reward: 952.0|
| episode:  86 | epsilon:  0.11 | reward:  13.0 | avg. reward: 11.221 | steps:   965| total reward: 965.0|
| episode:  87 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.207 | steps:   975| total reward: 975.0|
| episode:  88 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.205 | steps:   986| total reward: 986.0|
| episode:  89 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.169 | steps:   994| total reward: 994.0|
| episode:  90 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.156 | steps:  1004| total reward: 1004.0|
| episode:  91 | epsilon:  0.11 | reward:   8.0 | avg. reward: 11.121 | steps:  1012| total reward: 1012.0|
| episode:  92 | epsilon:  0.11 | reward:  13.0 | avg. reward: 11.141 | steps:  1025| total reward: 1025.0|
| episode:  93 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.118 | steps:  1034| total reward: 1034.0|
| episode:  94 | epsilon:  0.11 | reward:  11.0 | avg. reward: 11.117 | steps:  1045| total reward: 1045.0|
| episode:  95 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.126 | steps:  1057| total reward: 1057.0|
| episode:  96 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.115 | steps:  1067| total reward: 1067.0|
| episode:  97 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.124 | steps:  1079| total reward: 1079.0|
| episode:  98 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.112 | steps:  1089| total reward: 1089.0|
| episode:  99 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.101 | steps:  1099| total reward: 1099.0|
| episode: 100 | epsilon:  0.11 | reward:  10.0 | avg. reward: 11.090 | steps:  1109| total reward: 1109.0|
| episode: 101 | epsilon:  0.11 | reward:   9.0 | avg. reward: 11.080 | steps:  1118| total reward: 1118.0|
| episode: 102 | epsilon:  0.11 | reward:  12.0 | avg. reward: 11.080 | steps:  1130| total reward: 1130.0|
| episode: 103 | epsilon:  0.10 | reward:  12.0 | avg. reward: 11.060 | steps:  1142| total reward: 1142.0|
| episode: 104 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.970 | steps:  1151| total reward: 1151.0|
| episode: 105 | epsilon:  0.10 | reward:  12.0 | avg. reward: 10.940 | steps:  1163| total reward: 1163.0|
| episode: 106 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.940 | steps:  1172| total reward: 1172.0|
| episode: 107 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.900 | steps:  1182| total reward: 1182.0|
| episode: 108 | epsilon:  0.10 | reward:  11.0 | avg. reward: 10.870 | steps:  1193| total reward: 1193.0|
| episode: 109 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.860 | steps:  1203| total reward: 1203.0|
| episode: 110 | epsilon:  0.10 | reward:  12.0 | avg. reward: 10.730 | steps:  1215| total reward: 1215.0|
| episode: 111 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.580 | steps:  1224| total reward: 1224.0|
| episode: 112 | epsilon:  0.10 | reward:  12.0 | avg. reward: 10.500 | steps:  1236| total reward: 1236.0|
| episode: 113 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.490 | steps:  1246| total reward: 1246.0|
| episode: 114 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.430 | steps:  1255| total reward: 1255.0|
| episode: 115 | epsilon:  0.10 | reward:  11.0 | avg. reward: 10.440 | steps:  1266| total reward: 1266.0|
| episode: 116 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.420 | steps:  1276| total reward: 1276.0|
| episode: 117 | epsilon:  0.10 | reward:  12.0 | avg. reward: 10.460 | steps:  1288| total reward: 1288.0|
| episode: 118 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.460 | steps:  1298| total reward: 1298.0|
| episode: 119 | epsilon:  0.10 | reward:  11.0 | avg. reward: 10.460 | steps:  1309| total reward: 1309.0|
| episode: 120 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.430 | steps:  1319| total reward: 1319.0|
| episode: 121 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.430 | steps:  1329| total reward: 1329.0|
| episode: 122 | epsilon:  0.10 | reward:  11.0 | avg. reward: 10.430 | steps:  1340| total reward: 1340.0|
| episode: 123 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.420 | steps:  1349| total reward: 1349.0|
| episode: 124 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.390 | steps:  1358| total reward: 1358.0|
| episode: 125 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.370 | steps:  1367| total reward: 1367.0|
| episode: 126 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.370 | steps:  1377| total reward: 1377.0|
| episode: 127 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.370 | steps:  1386| total reward: 1386.0|
| episode: 128 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.280 | steps:  1395| total reward: 1395.0|
| episode: 129 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.260 | steps:  1404| total reward: 1404.0|
| episode: 130 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.260 | steps:  1414| total reward: 1414.0|
| episode: 131 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.210 | steps:  1423| total reward: 1423.0|
| episode: 132 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.170 | steps:  1433| total reward: 1433.0|
| episode: 133 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.170 | steps:  1442| total reward: 1442.0|
| episode: 134 | epsilon:  0.10 | reward:  11.0 | avg. reward: 10.150 | steps:  1453| total reward: 1453.0|
| episode: 135 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.120 | steps:  1462| total reward: 1462.0|
| episode: 136 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.100 | steps:  1472| total reward: 1472.0|
| episode: 137 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.090 | steps:  1481| total reward: 1481.0|
| episode: 138 | epsilon:  0.10 | reward:  10.0 | avg. reward: 10.090 | steps:  1491| total reward: 1491.0|
| episode: 139 | epsilon:  0.10 | reward:   9.0 | avg. reward: 10.080 | steps:  1500| total reward: 1500.0|
| episode: 140 | epsilon:  0.10 | reward:   8.0 | avg. reward: 10.070 | steps:  1508| total reward: 1508.0|
