| Episode:   1 | Epsilon:  0.90 | Reward: -163.14365336650877 | Average Reward: -163.144 | Steps:   103 | Total Reward: -163.14365336650877|
| Episode:   2 | Epsilon:  0.89 | Reward: -112.4734028940877 | Average Reward: -137.809 | Steps:   205 | Total Reward: -275.6170562605969|
| Episode:   3 | Epsilon:  0.88 | Reward: -326.81508712979496 | Average Reward: -200.811 | Steps:   325 | Total Reward: -602.4321433903908|
| Episode:   4 | Epsilon:  0.87 | Reward: -154.60546925298922 | Average Reward: -189.259 | Steps:   395 | Total Reward: -757.0376126433794|
| Episode:   5 | Epsilon:  0.87 | Reward: -28.301508462515685 | Average Reward: -157.068 | Steps:   481 | Total Reward: -785.3391211058945|
| Episode:   6 | Epsilon:  0.86 | Reward: -169.14741571852105 | Average Reward: -159.081 | Steps:   565 | Total Reward: -954.4865368244148|
| Episode:   7 | Epsilon:  0.85 | Reward: -465.21342340920194 | Average Reward: -202.814 | Steps:   711 | Total Reward: -1419.699960233616|
| Episode:   8 | Epsilon:  0.84 | Reward: -166.70378079715306 | Average Reward: -198.300 | Steps:   855 | Total Reward: -1586.4037410307685|
| Episode:   9 | Epsilon:  0.83 | Reward: -299.5417629803519 | Average Reward: -209.550 | Steps:   948 | Total Reward: -1885.9455040111195|
| Episode:  10 | Epsilon:  0.83 | Reward: -196.66342932391882 | Average Reward: -208.261 | Steps:  1048 | Total Reward: -2082.6089333350365|
| Episode:  11 | Epsilon:  0.82 | Reward: -141.768877747173 | Average Reward: -202.216 | Steps:  1147 | Total Reward: -2224.3778110822077|
| Episode:  12 | Epsilon:  0.81 | Reward: -82.49899248929918 | Average Reward: -192.240 | Steps:  1260 | Total Reward: -2306.8768035715075|
| Episode:  13 | Epsilon:  0.80 | Reward: -312.44615132199385 | Average Reward: -201.486 | Steps:  1360 | Total Reward: -2619.3229548935014|
| Episode:  14 | Epsilon:  0.80 | Reward: -372.1105603439453 | Average Reward: -213.674 | Steps:  1469 | Total Reward: -2991.4335152374474|
| Episode:  15 | Epsilon:  0.79 | Reward: -161.04003112693132 | Average Reward: -210.165 | Steps:  1564 | Total Reward: -3152.4735463643774|
| Episode:  16 | Epsilon:  0.78 | Reward: -546.2253767312734 | Average Reward: -231.169 | Steps:  1691 | Total Reward: -3698.6989230956497|
| Episode:  17 | Epsilon:  0.77 | Reward: -69.67662848039765 | Average Reward: -221.669 | Steps:  1766 | Total Reward: -3768.375551576047|
| Episode:  18 | Epsilon:  0.77 | Reward: -190.29287817056218 | Average Reward: -219.926 | Steps:  1844 | Total Reward: -3958.668429746607|
| Episode:  19 | Epsilon:  0.76 | Reward: -169.24922085191207 | Average Reward: -217.259 | Steps:  1950 | Total Reward: -4127.917650598518|
| Episode:  20 | Epsilon:  0.75 | Reward: -127.57273686196852 | Average Reward: -212.775 | Steps:  2042 | Total Reward: -4255.490387460485|
| Episode:  21 | Epsilon:  0.75 | Reward: -457.9058490574772 | Average Reward: -224.447 | Steps:  2262 | Total Reward: -4713.396236517969|
| Episode:  22 | Epsilon:  0.74 | Reward: -451.1129911249776 | Average Reward: -234.750 | Steps:  2381 | Total Reward: -5164.509227642939|
| Episode:  23 | Epsilon:  0.73 | Reward: -17.965930125913303 | Average Reward: -225.325 | Steps:  2463 | Total Reward: -5182.47515776885|
| Episode:  24 | Epsilon:  0.73 | Reward: -216.6571828678392 | Average Reward: -224.964 | Steps:  2561 | Total Reward: -5399.132340636691|
| Episode:  25 | Epsilon:  0.72 | Reward: -123.4090984860466 | Average Reward: -220.902 | Steps:  2734 | Total Reward: -5522.541439122734|
| Episode:  26 | Epsilon:  0.71 | Reward: -202.1497088418596 | Average Reward: -220.180 | Steps:  2821 | Total Reward: -5724.691147964595|
| Episode:  27 | Epsilon:  0.71 | Reward: -337.9413771343377 | Average Reward: -224.542 | Steps:  2937 | Total Reward: -6062.6325250989275|
| Episode:  28 | Epsilon:  0.70 | Reward: -81.84843692656807 | Average Reward: -219.446 | Steps:  3043 | Total Reward: -6144.480962025496|
| Episode:  29 | Epsilon:  0.69 | Reward: -291.70484080126533 | Average Reward: -221.937 | Steps:  3162 | Total Reward: -6436.185802826757|
| Episode:  30 | Epsilon:  0.69 | Reward: -362.19691618529197 | Average Reward: -226.613 | Steps:  3252 | Total Reward: -6798.38271901205|
| Episode:  31 | Epsilon:  0.68 | Reward: -106.27108710602087 | Average Reward: -222.731 | Steps:  3344 | Total Reward: -6904.65380611807|
| Episode:  32 | Epsilon:  0.67 | Reward: -300.6528769520677 | Average Reward: -225.166 | Steps:  3408 | Total Reward: -7205.306683070138|
| Episode:  33 | Epsilon:  0.67 | Reward: -62.77529594493791 | Average Reward: -220.245 | Steps:  3538 | Total Reward: -7268.081979015074|
| Episode:  34 | Epsilon:  0.66 | Reward: -402.59968673192304 | Average Reward: -225.608 | Steps:  3615 | Total Reward: -7670.681665746999|
| Episode:  35 | Epsilon:  0.66 | Reward: -344.0141488633553 | Average Reward: -228.991 | Steps:  3685 | Total Reward: -8014.695814610353|
| Episode:  36 | Epsilon:  0.65 | Reward: -486.8866475153421 | Average Reward: -236.155 | Steps:  3798 | Total Reward: -8501.582462125692|
| Episode:  37 | Epsilon:  0.64 | Reward: -336.56144610997205 | Average Reward: -238.869 | Steps:  3916 | Total Reward: -8838.143908235665|
| Episode:  38 | Epsilon:  0.64 | Reward: -391.7755465343821 | Average Reward: -242.893 | Steps:  3999 | Total Reward: -9229.919454770044|
| Episode:  39 | Epsilon:  0.63 | Reward: -108.05404507038008 | Average Reward: -239.435 | Steps:  4102 | Total Reward: -9337.97349984042|
| Episode:  40 | Epsilon:  0.63 | Reward: -395.56885814143226 | Average Reward: -243.339 | Steps:  4191 | Total Reward: -9733.54235798185|
| Episode:  41 | Epsilon:  0.62 | Reward: -92.28424303820432 | Average Reward: -239.654 | Steps:  4287 | Total Reward: -9825.826601020057|
| Episode:  42 | Epsilon:  0.61 | Reward: -219.47491389748728 | Average Reward: -239.174 | Steps:  4383 | Total Reward: -10045.301514917544|
| Episode:  43 | Epsilon:  0.61 | Reward: -288.8317071429496 | Average Reward: -240.329 | Steps:  4552 | Total Reward: -10334.133222060487|
| Episode:  44 | Epsilon:  0.60 | Reward: -119.15175275157793 | Average Reward: -237.575 | Steps:  4621 | Total Reward: -10453.284974812068|
| Episode:  45 | Epsilon:  0.60 | Reward: -205.23349552063308 | Average Reward: -236.856 | Steps:  4730 | Total Reward: -10658.518470332705|
| Episode:  46 | Epsilon:  0.59 | Reward: -134.85489758573036 | Average Reward: -234.639 | Steps:  4831 | Total Reward: -10793.373367918422|
| Episode:  47 | Epsilon:  0.59 | Reward: -156.6605062016157 | Average Reward: -232.979 | Steps:  4931 | Total Reward: -10950.033874120041|
| Episode:  48 | Epsilon:  0.58 | Reward: -559.2592418501183 | Average Reward: -239.777 | Steps:  5037 | Total Reward: -11509.29311597016|
| Episode:  49 | Epsilon:  0.58 | Reward: -407.45881826395424 | Average Reward: -243.199 | Steps:  5184 | Total Reward: -11916.751934234131|
| Episode:  50 | Epsilon:  0.57 | Reward: -119.1293085745766 | Average Reward: -240.718 | Steps:  5256 | Total Reward: -12035.881242808711|
| Episode:  51 | Epsilon:  0.57 | Reward: -375.9716051190633 | Average Reward: -243.370 | Steps:  5354 | Total Reward: -12411.852847927776|
| Episode:  52 | Epsilon:  0.56 | Reward: -209.146577273311 | Average Reward: -242.712 | Steps:  5463 | Total Reward: -12620.999425201091|
| Episode:  53 | Epsilon:  0.56 | Reward: -124.7055698011184 | Average Reward: -240.485 | Steps:  5572 | Total Reward: -12745.704995002212|
| Episode:  54 | Epsilon:  0.55 | Reward: -110.10561438792834 | Average Reward: -238.071 | Steps:  5680 | Total Reward: -12855.810609390132|
| Episode:  55 | Epsilon:  0.55 | Reward: -245.27028409525016 | Average Reward: -238.201 | Steps:  5775 | Total Reward: -13101.080893485378|
| Episode:  56 | Epsilon:  0.54 | Reward: -230.8937115280033 | Average Reward: -238.071 | Steps:  5869 | Total Reward: -13331.974605013382|
| Episode:  57 | Epsilon:  0.54 | Reward: -424.1598662005222 | Average Reward: -241.336 | Steps:  5950 | Total Reward: -13756.134471213903|
| Episode:  58 | Epsilon:  0.53 | Reward: -337.90773194799294 | Average Reward: -243.001 | Steps:  6011 | Total Reward: -14094.042203161896|
| Episode:  59 | Epsilon:  0.53 | Reward: -254.09259782416075 | Average Reward: -243.189 | Steps:  6113 | Total Reward: -14348.134800986058|
| Episode:  60 | Epsilon:  0.52 | Reward: -479.2727517655291 | Average Reward: -247.123 | Steps:  6195 | Total Reward: -14827.40755275159|
| Episode:  61 | Epsilon:  0.52 | Reward: -86.24333224269868 | Average Reward: -244.486 | Steps:  6292 | Total Reward: -14913.650884994287|
| Episode:  62 | Epsilon:  0.51 | Reward: -202.79229916961822 | Average Reward: -243.814 | Steps:  6373 | Total Reward: -15116.443184163909|
| Episode:  63 | Epsilon:  0.51 | Reward: -286.0894381133835 | Average Reward: -244.485 | Steps:  6482 | Total Reward: -15402.532622277291|
| Episode:  64 | Epsilon:  0.50 | Reward: -148.22496859159168 | Average Reward: -242.981 | Steps:  6611 | Total Reward: -15550.757590868876|
