| episode:   1 | epsilon:  0.90 | reward:  16.0 | avg. reward: 16.000 | steps:    16| total reward:  16.0|
| episode:   2 | epsilon:  0.86 | reward:  15.0 | avg. reward: 15.500 | steps:    31| total reward:  31.0|
| episode:   3 | epsilon:  0.82 | reward:  26.0 | avg. reward: 19.000 | steps:    57| total reward:  57.0|
| episode:   4 | epsilon:  0.79 | reward:  15.0 | avg. reward: 18.000 | steps:    72| total reward:  72.0|
| episode:   5 | epsilon:  0.75 | reward:  26.0 | avg. reward: 19.600 | steps:    98| total reward:  98.0|
| episode:   6 | epsilon:  0.72 | reward:  24.0 | avg. reward: 20.333 | steps:   122| total reward: 122.0|
| episode:   7 | epsilon:  0.69 | reward:  15.0 | avg. reward: 19.571 | steps:   137| total reward: 137.0|
| episode:   8 | epsilon:  0.66 | reward:  15.0 | avg. reward: 19.000 | steps:   152| total reward: 152.0|
| episode:   9 | epsilon:  0.64 | reward:  21.0 | avg. reward: 19.222 | steps:   173| total reward: 173.0|
| episode:  10 | epsilon:  0.61 | reward:  11.0 | avg. reward: 18.400 | steps:   184| total reward: 184.0|
| episode:  11 | epsilon:  0.59 | reward:  14.0 | avg. reward: 18.000 | steps:   198| total reward: 198.0|
| episode:  12 | epsilon:  0.56 | reward:  14.0 | avg. reward: 17.667 | steps:   212| total reward: 212.0|
| episode:  13 | epsilon:  0.54 | reward:  12.0 | avg. reward: 17.231 | steps:   224| total reward: 224.0|
| episode:  14 | epsilon:  0.52 | reward:  18.0 | avg. reward: 17.286 | steps:   242| total reward: 242.0|
| episode:  15 | epsilon:  0.50 | reward:  11.0 | avg. reward: 16.867 | steps:   253| total reward: 253.0|
| episode:  16 | epsilon:  0.48 | reward:  14.0 | avg. reward: 16.688 | steps:   267| total reward: 267.0|
| episode:  17 | epsilon:  0.46 | reward:  15.0 | avg. reward: 16.588 | steps:   282| total reward: 282.0|
| episode:  18 | epsilon:  0.44 | reward:  13.0 | avg. reward: 16.389 | steps:   295| total reward: 295.0|
| episode:  19 | epsilon:  0.43 | reward:  15.0 | avg. reward: 16.316 | steps:   310| total reward: 310.0|
| episode:  20 | epsilon:  0.41 | reward:  12.0 | avg. reward: 16.100 | steps:   322| total reward: 322.0|
| episode:  21 | epsilon:  0.39 | reward:  10.0 | avg. reward: 15.810 | steps:   332| total reward: 332.0|
| episode:  22 | epsilon:  0.38 | reward:   9.0 | avg. reward: 15.500 | steps:   341| total reward: 341.0|
| episode:  23 | epsilon:  0.37 | reward:  17.0 | avg. reward: 15.565 | steps:   358| total reward: 358.0|
| episode:  24 | epsilon:  0.35 | reward:  10.0 | avg. reward: 15.333 | steps:   368| total reward: 368.0|
| episode:  25 | epsilon:  0.34 | reward:  12.0 | avg. reward: 15.200 | steps:   380| total reward: 380.0|
| episode:  26 | epsilon:  0.33 | reward:  11.0 | avg. reward: 15.038 | steps:   391| total reward: 391.0|
| episode:  27 | epsilon:  0.32 | reward:  15.0 | avg. reward: 15.037 | steps:   406| total reward: 406.0|
| episode:  28 | epsilon:  0.31 | reward:  13.0 | avg. reward: 14.964 | steps:   419| total reward: 419.0|
| episode:  29 | epsilon:  0.30 | reward:  12.0 | avg. reward: 14.862 | steps:   431| total reward: 431.0|
| episode:  30 | epsilon:  0.29 | reward:  11.0 | avg. reward: 14.733 | steps:   442| total reward: 442.0|
