C:\Users\USER\anaconda3\python.exe C:/Users/USER/PycharmProjects/thesisProje/main.py
| episode:   1 | epsilon:  0.90 | reward:  19.0 | avg. reward: 19.000 | steps:    19| total reward:  19.0|
| episode:   2 | epsilon:  0.86 | reward:  16.0 | avg. reward: 17.500 | steps:    35| total reward:  35.0|
| episode:   3 | epsilon:  0.82 | reward:  16.0 | avg. reward: 17.000 | steps:    51| total reward:  51.0|
| episode:   4 | epsilon:  0.79 | reward:  16.0 | avg. reward: 16.750 | steps:    67| total reward:  67.0|
| episode:   5 | epsilon:  0.75 | reward:  14.0 | avg. reward: 16.200 | steps:    81| total reward:  81.0|
| episode:   6 | epsilon:  0.72 | reward:  13.0 | avg. reward: 15.667 | steps:    94| total reward:  94.0|
| episode:   7 | epsilon:  0.69 | reward:  12.0 | avg. reward: 15.143 | steps:   106| total reward: 106.0|
| episode:   8 | epsilon:  0.66 | reward:  14.0 | avg. reward: 15.000 | steps:   120| total reward: 120.0|
| episode:   9 | epsilon:  0.64 | reward:  10.0 | avg. reward: 14.444 | steps:   130| total reward: 130.0|
| episode:  10 | epsilon:  0.61 | reward:  10.0 | avg. reward: 14.000 | steps:   140| total reward: 140.0|
| episode:  11 | epsilon:  0.59 | reward:   9.0 | avg. reward: 13.545 | steps:   149| total reward: 149.0|
| episode:  12 | epsilon:  0.56 | reward:  12.0 | avg. reward: 13.417 | steps:   161| total reward: 161.0|
| episode:  13 | epsilon:  0.54 | reward:  12.0 | avg. reward: 13.308 | steps:   173| total reward: 173.0|
| episode:  14 | epsilon:  0.52 | reward:  11.0 | avg. reward: 13.143 | steps:   184| total reward: 184.0|
| episode:  15 | epsilon:  0.50 | reward:  12.0 | avg. reward: 13.067 | steps:   196| total reward: 196.0|
| episode:  16 | epsilon:  0.48 | reward:  14.0 | avg. reward: 13.125 | steps:   210| total reward: 210.0|
| episode:  17 | epsilon:  0.46 | reward:  11.0 | avg. reward: 13.000 | steps:   221| total reward: 221.0|
| episode:  18 | epsilon:  0.44 | reward:  16.0 | avg. reward: 13.167 | steps:   237| total reward: 237.0|
| episode:  19 | epsilon:  0.43 | reward:  14.0 | avg. reward: 13.211 | steps:   251| total reward: 251.0|
| episode:  20 | epsilon:  0.41 | reward:  10.0 | avg. reward: 13.050 | steps:   261| total reward: 261.0|
| episode:  21 | epsilon:  0.39 | reward:   8.0 | avg. reward: 12.810 | steps:   269| total reward: 269.0|
| episode:  22 | epsilon:  0.38 | reward:  11.0 | avg. reward: 12.727 | steps:   280| total reward: 280.0|
| episode:  23 | epsilon:  0.37 | reward:  20.0 | avg. reward: 13.043 | steps:   300| total reward: 300.0|
| episode:  24 | epsilon:  0.35 | reward:  11.0 | avg. reward: 12.958 | steps:   311| total reward: 311.0|
| episode:  25 | epsilon:  0.34 | reward:  10.0 | avg. reward: 12.840 | steps:   321| total reward: 321.0|
| episode:  26 | epsilon:  0.33 | reward:   8.0 | avg. reward: 12.654 | steps:   329| total reward: 329.0|
