+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------+
|          Parameter           |      Value       |
+==============================+==================+
| Layer Type:                  | hopfield_pooling |
+------------------------------+------------------+
| Loss Metric:                 | huber            |
+------------------------------+------------------+
| Sequence Length:             | 20               |
+------------------------------+------------------+
| Learning Rate:               | 0.001            |
+------------------------------+------------------+
| Update Target Steps:         | 100              |
+------------------------------+------------------+
| Optimizer:                   | rmsprop          |
+------------------------------+------------------+
| Hopfield Inverse Temperature | 0.100            |
+------------------------------+------------------+
| Big or Small Loss            | yes              |
+------------------------------+------------------+
| Soft or Hard Update          | hard             |
+------------------------------+------------------+
| Polyak Factor                | None             |
+------------------------------+------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:  22.0 | Average Reward: 22.000 | Steps:    22 | Total Reward:  22.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  15.0 | Average Reward: 18.500 | Steps:    37 | Total Reward:  37.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  15.0 | Average Reward: 17.333 | Steps:    52 | Total Reward:  52.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  17.0 | Average Reward: 17.250 | Steps:    69 | Total Reward:  69.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  13.0 | Average Reward: 16.400 | Steps:    82 | Total Reward:  82.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  16.0 | Average Reward: 16.333 | Steps:    98 | Total Reward:  98.0|
| Episode:   7 | Epsilon:  0.69 | Reward:   9.0 | Average Reward: 15.286 | Steps:   107 | Total Reward: 107.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  37.0 | Average Reward: 18.000 | Steps:   144 | Total Reward: 144.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  26.0 | Average Reward: 18.889 | Steps:   170 | Total Reward: 170.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  10.0 | Average Reward: 18.000 | Steps:   180 | Total Reward: 180.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  14.0 | Average Reward: 17.636 | Steps:   194 | Total Reward: 194.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  13.0 | Average Reward: 17.250 | Steps:   207 | Total Reward: 207.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  14.0 | Average Reward: 17.000 | Steps:   221 | Total Reward: 221.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  17.0 | Average Reward: 17.000 | Steps:   238 | Total Reward: 238.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  12.0 | Average Reward: 16.667 | Steps:   250 | Total Reward: 250.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  17.0 | Average Reward: 16.688 | Steps:   267 | Total Reward: 267.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  13.0 | Average Reward: 16.471 | Steps:   280 | Total Reward: 280.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  23.0 | Average Reward: 16.833 | Steps:   303 | Total Reward: 303.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  15.0 | Average Reward: 16.737 | Steps:   318 | Total Reward: 318.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  11.0 | Average Reward: 16.450 | Steps:   329 | Total Reward: 329.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  10.0 | Average Reward: 16.143 | Steps:   339 | Total Reward: 339.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 15.864 | Steps:   349 | Total Reward: 349.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  10.0 | Average Reward: 15.609 | Steps:   359 | Total Reward: 359.0|
| Episode:  24 | Epsilon:  0.35 | Reward:   9.0 | Average Reward: 15.333 | Steps:   368 | Total Reward: 368.0|
| Episode:  25 | Epsilon:  0.34 | Reward:   9.0 | Average Reward: 15.080 | Steps:   377 | Total Reward: 377.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  19.0 | Average Reward: 15.231 | Steps:   396 | Total Reward: 396.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  10.0 | Average Reward: 15.037 | Steps:   406 | Total Reward: 406.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  23.0 | Average Reward: 15.321 | Steps:   429 | Total Reward: 429.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  12.0 | Average Reward: 15.207 | Steps:   441 | Total Reward: 441.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  10.0 | Average Reward: 15.033 | Steps:   451 | Total Reward: 451.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  16.0 | Average Reward: 15.065 | Steps:   467 | Total Reward: 467.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  12.0 | Average Reward: 14.969 | Steps:   479 | Total Reward: 479.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  11.0 | Average Reward: 14.848 | Steps:   490 | Total Reward: 490.0|
| Episode:  34 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 14.676 | Steps:   499 | Total Reward: 499.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  10.0 | Average Reward: 14.543 | Steps:   509 | Total Reward: 509.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  11.0 | Average Reward: 14.444 | Steps:   520 | Total Reward: 520.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  12.0 | Average Reward: 14.378 | Steps:   532 | Total Reward: 532.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  10.0 | Average Reward: 14.263 | Steps:   542 | Total Reward: 542.0|
| Episode:  39 | Epsilon:  0.22 | Reward:  10.0 | Average Reward: 14.154 | Steps:   552 | Total Reward: 552.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 14.075 | Steps:   563 | Total Reward: 563.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 14.000 | Steps:   574 | Total Reward: 574.0|
| Episode:  42 | Epsilon:  0.20 | Reward:  11.0 | Average Reward: 13.929 | Steps:   585 | Total Reward: 585.0|
| Episode:  43 | Epsilon:  0.20 | Reward:   9.0 | Average Reward: 13.814 | Steps:   594 | Total Reward: 594.0|
| Episode:  44 | Epsilon:  0.19 | Reward:  10.0 | Average Reward: 13.727 | Steps:   604 | Total Reward: 604.0|
| Episode:  45 | Epsilon:  0.19 | Reward:  11.0 | Average Reward: 13.667 | Steps:   615 | Total Reward: 615.0|
| Episode:  46 | Epsilon:  0.18 | Reward:  10.0 | Average Reward: 13.587 | Steps:   625 | Total Reward: 625.0|
| Episode:  47 | Epsilon:  0.18 | Reward:   9.0 | Average Reward: 13.489 | Steps:   634 | Total Reward: 634.0|
| Episode:  48 | Epsilon:  0.18 | Reward:   9.0 | Average Reward: 13.396 | Steps:   643 | Total Reward: 643.0|
| Episode:  49 | Epsilon:  0.17 | Reward:   8.0 | Average Reward: 13.286 | Steps:   651 | Total Reward: 651.0|
| Episode:  50 | Epsilon:  0.17 | Reward:   9.0 | Average Reward: 13.200 | Steps:   660 | Total Reward: 660.0|
| Episode:  51 | Epsilon:  0.17 | Reward:  10.0 | Average Reward: 13.137 | Steps:   670 | Total Reward: 670.0|
| Episode:  52 | Epsilon:  0.16 | Reward:  14.0 | Average Reward: 13.154 | Steps:   684 | Total Reward: 684.0|
| Episode:  53 | Epsilon:  0.16 | Reward:  15.0 | Average Reward: 13.189 | Steps:   699 | Total Reward: 699.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  13.0 | Average Reward: 13.185 | Steps:   712 | Total Reward: 712.0|
| Episode:  55 | Epsilon:  0.15 | Reward:  15.0 | Average Reward: 13.218 | Steps:   727 | Total Reward: 727.0|
| Episode:  56 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 13.143 | Steps:   736 | Total Reward: 736.0|
| Episode:  57 | Epsilon:  0.15 | Reward:   8.0 | Average Reward: 13.053 | Steps:   744 | Total Reward: 744.0|
| Episode:  58 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 13.000 | Steps:   754 | Total Reward: 754.0|
| Episode:  59 | Epsilon:  0.14 | Reward:   8.0 | Average Reward: 12.915 | Steps:   762 | Total Reward: 762.0|
| Episode:  60 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.867 | Steps:   772 | Total Reward: 772.0|
| Episode:  61 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 12.803 | Steps:   781 | Total Reward: 781.0|
| Episode:  62 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.758 | Steps:   791 | Total Reward: 791.0|
| Episode:  63 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 12.698 | Steps:   800 | Total Reward: 800.0|
| Episode:  64 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.656 | Steps:   810 | Total Reward: 810.0|
| Episode:  65 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.615 | Steps:   820 | Total Reward: 820.0|
| Episode:  66 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.561 | Steps:   829 | Total Reward: 829.0|
| Episode:  67 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.522 | Steps:   839 | Total Reward: 839.0|
| Episode:  68 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.485 | Steps:   849 | Total Reward: 849.0|
| Episode:  69 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.435 | Steps:   858 | Total Reward: 858.0|
| Episode:  70 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.386 | Steps:   867 | Total Reward: 867.0|
| Episode:  71 | Epsilon:  0.12 | Reward:   8.0 | Average Reward: 12.324 | Steps:   875 | Total Reward: 875.0|
| Episode:  72 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.292 | Steps:   885 | Total Reward: 885.0|
| Episode:  73 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.247 | Steps:   894 | Total Reward: 894.0|
| Episode:  74 | Epsilon:  0.12 | Reward:  12.0 | Average Reward: 12.243 | Steps:   906 | Total Reward: 906.0|
| Episode:  75 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.213 | Steps:   916 | Total Reward: 916.0|
| Episode:  76 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.197 | Steps:   927 | Total Reward: 927.0|
| Episode:  77 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.156 | Steps:   936 | Total Reward: 936.0|
| Episode:  78 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 12.115 | Steps:   945 | Total Reward: 945.0|
| Episode:  79 | Epsilon:  0.12 | Reward:  11.0 | Average Reward: 12.101 | Steps:   956 | Total Reward: 956.0|
| Episode:  80 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 12.075 | Steps:   966 | Total Reward: 966.0|
| Episode:  81 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 12.049 | Steps:   976 | Total Reward: 976.0|
| Episode:  82 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 12.012 | Steps:   985 | Total Reward: 985.0|
| Episode:  83 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 11.964 | Steps:   993 | Total Reward: 993.0|
| Episode:  84 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.940 | Steps:  1003 | Total Reward: 1003.0|
| Episode:  85 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.906 | Steps:  1012 | Total Reward: 1012.0|
| Episode:  86 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.884 | Steps:  1022 | Total Reward: 1022.0|
| Episode:  87 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.862 | Steps:  1032 | Total Reward: 1032.0|
| Episode:  88 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 11.875 | Steps:  1045 | Total Reward: 1045.0|
| Episode:  89 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.843 | Steps:  1054 | Total Reward: 1054.0|
| Episode:  90 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.822 | Steps:  1064 | Total Reward: 1064.0|
| Episode:  91 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.802 | Steps:  1074 | Total Reward: 1074.0|
| Episode:  92 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.772 | Steps:  1083 | Total Reward: 1083.0|
| Episode:  93 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 11.731 | Steps:  1091 | Total Reward: 1091.0|
| Episode:  94 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.702 | Steps:  1100 | Total Reward: 1100.0|
| Episode:  95 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.684 | Steps:  1110 | Total Reward: 1110.0|
| Episode:  96 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 11.677 | Steps:  1121 | Total Reward: 1121.0|
| Episode:  97 | Epsilon:  0.11 | Reward:   9.0 | Average Reward: 11.649 | Steps:  1130 | Total Reward: 1130.0|
| Episode:  98 | Epsilon:  0.11 | Reward:   8.0 | Average Reward: 11.612 | Steps:  1138 | Total Reward: 1138.0|
| Episode:  99 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 11.606 | Steps:  1149 | Total Reward: 1149.0|
| Episode: 100 | Epsilon:  0.11 | Reward:  10.0 | Average Reward: 11.590 | Steps:  1159 | Total Reward: 1159.0|
| Episode: 101 | Epsilon:  0.11 | Reward:  11.0 | Average Reward: 11.480 | Steps:  1170 | Total Reward: 1170.0|
| Episode: 102 | Epsilon:  0.11 | Reward:  13.0 | Average Reward: 11.460 | Steps:  1183 | Total Reward: 1183.0|
| Episode: 103 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 11.400 | Steps:  1192 | Total Reward: 1192.0|
| Episode: 104 | Epsilon:  0.10 | Reward:  12.0 | Average Reward: 11.350 | Steps:  1204 | Total Reward: 1204.0|
| Episode: 105 | Epsilon:  0.10 | Reward:   9.0 | Average Reward: 11.310 | Steps:  1213 | Total Reward: 1213.0|
| Episode: 106 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 11.250 | Steps:  1223 | Total Reward: 1223.0|
| Episode: 107 | Epsilon:  0.10 | Reward:  12.0 | Average Reward: 11.280 | Steps:  1235 | Total Reward: 1235.0|
| Episode: 108 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 11.010 | Steps:  1245 | Total Reward: 1245.0|
| Episode: 109 | Epsilon:  0.10 | Reward:  10.0 | Average Reward: 10.850 | Steps:  1255 | Total Reward: 1255.0|
| Episode: 110 | Epsilon:  0.10 | Reward:  16.0 | Average Reward: 10.910 | Steps:  1271 | Total Reward: 1271.0|
