+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
| Episode:   1 | Epsilon:  0.90 | Reward: -152.4652515587885 | Average Reward: -152.465 | Steps:   130 | Total Reward: -152.4652515587885|
| Episode:   2 | Epsilon:  0.86 | Reward: -325.29609902905094 | Average Reward: -238.881 | Steps:   235 | Total Reward: -477.7613505878391|
| Episode:   3 | Epsilon:  0.82 | Reward: -81.71379050492644 | Average Reward: -186.492 | Steps:   295 | Total Reward: -559.4751410927648|
| Episode:   4 | Epsilon:  0.79 | Reward: -288.2706922222783 | Average Reward: -211.936 | Steps:   384 | Total Reward: -847.7458333150424|
| Episode:   5 | Epsilon:  0.75 | Reward: -517.4142485303687 | Average Reward: -273.032 | Steps:   473 | Total Reward: -1365.1600818454106|
| Episode:   6 | Epsilon:  0.72 | Reward: -511.0226463813387 | Average Reward: -312.697 | Steps:   556 | Total Reward: -1876.1827282267498|
| Episode:   7 | Epsilon:  0.69 | Reward: -451.2222070419911 | Average Reward: -332.486 | Steps:   628 | Total Reward: -2327.4049352687416|
| Episode:   8 | Epsilon:  0.66 | Reward: -249.231092007843 | Average Reward: -322.080 | Steps:   697 | Total Reward: -2576.6360272765837|
| Episode:   9 | Epsilon:  0.64 | Reward: -438.29133708482016 | Average Reward: -334.992 | Steps:   790 | Total Reward: -3014.9273643614033|
| Episode:  10 | Epsilon:  0.61 | Reward: -184.59312835577376 | Average Reward: -319.952 | Steps:   855 | Total Reward: -3199.520492717179|
| Episode:  11 | Epsilon:  0.59 | Reward: -558.1749121805999 | Average Reward: -341.609 | Steps:   947 | Total Reward: -3757.6954048977805|
| Episode:  12 | Epsilon:  0.56 | Reward: -389.6650077764414 | Average Reward: -345.613 | Steps:  1045 | Total Reward: -4147.360412674222|
| Episode:  13 | Epsilon:  0.54 | Reward: -487.19544021287345 | Average Reward: -356.504 | Steps:  1136 | Total Reward: -4634.555852887092|
| Episode:  14 | Epsilon:  0.52 | Reward: -550.3625747855208 | Average Reward: -370.351 | Steps:  1208 | Total Reward: -5184.918427672615|
| Episode:  15 | Epsilon:  0.50 | Reward: -387.921034078431 | Average Reward: -371.523 | Steps:  1292 | Total Reward: -5572.839461751042|
| Episode:  16 | Epsilon:  0.48 | Reward: -310.73032255100753 | Average Reward: -367.723 | Steps:  1369 | Total Reward: -5883.569784302045|
| Episode:  17 | Epsilon:  0.46 | Reward: -587.7622681714315 | Average Reward: -380.667 | Steps:  1455 | Total Reward: -6471.3320524734745|
| Episode:  18 | Epsilon:  0.44 | Reward: -600.0081276101059 | Average Reward: -392.852 | Steps:  1537 | Total Reward: -7071.340180083584|
| Episode:  19 | Epsilon:  0.43 | Reward: -682.2357176018207 | Average Reward: -408.083 | Steps:  1633 | Total Reward: -7753.575897685408|
| Episode:  20 | Epsilon:  0.41 | Reward: -456.34512225330366 | Average Reward: -410.496 | Steps:  1700 | Total Reward: -8209.921019938709|
| Episode:  21 | Epsilon:  0.39 | Reward: -397.64158097642974 | Average Reward: -409.884 | Steps:  1765 | Total Reward: -8607.562600915142|
| Episode:  22 | Epsilon:  0.38 | Reward: -584.3738661631795 | Average Reward: -417.815 | Steps:  1845 | Total Reward: -9191.936467078323|
| Episode:  23 | Epsilon:  0.37 | Reward: -432.19818347010965 | Average Reward: -418.441 | Steps:  1918 | Total Reward: -9624.134650548434|
| Episode:  24 | Epsilon:  0.35 | Reward: -363.4430826360023 | Average Reward: -416.149 | Steps:  1969 | Total Reward: -9987.57773318444|
| Episode:  25 | Epsilon:  0.34 | Reward: -126.4253414150808 | Average Reward: -404.560 | Steps:  2052 | Total Reward: -10114.003074599521|
| Episode:  26 | Epsilon:  0.33 | Reward: -314.7576938285239 | Average Reward: -401.106 | Steps:  2141 | Total Reward: -10428.760768428045|
| Episode:  27 | Epsilon:  0.32 | Reward: -364.92759622783063 | Average Reward: -399.766 | Steps:  2233 | Total Reward: -10793.688364655884|
| Episode:  28 | Epsilon:  0.31 | Reward: -109.2275902365525 | Average Reward: -389.390 | Steps:  2288 | Total Reward: -10902.915954892442|
| Episode:  29 | Epsilon:  0.30 | Reward: -136.60238408119983 | Average Reward: -380.673 | Steps:  2350 | Total Reward: -11039.518338973638|
| Episode:  30 | Epsilon:  0.29 | Reward: -161.75886647995412 | Average Reward: -373.376 | Steps:  2438 | Total Reward: -11201.277205453585|
| Episode:  31 | Epsilon:  0.28 | Reward: -109.74243580045076 | Average Reward: -364.872 | Steps:  2491 | Total Reward: -11311.019641254039|
| Episode:  32 | Epsilon:  0.27 | Reward: -92.53307360791005 | Average Reward: -356.361 | Steps:  2551 | Total Reward: -11403.552714861948|
| Episode:  33 | Epsilon:  0.26 | Reward: -117.70247787447627 | Average Reward: -349.129 | Steps:  2608 | Total Reward: -11521.255192736427|
| Episode:  34 | Epsilon:  0.25 | Reward: -115.46841768866732 | Average Reward: -342.257 | Steps:  2723 | Total Reward: -11636.723610425099|
| Episode:  35 | Epsilon:  0.25 | Reward: -124.0830582319056 | Average Reward: -336.023 | Steps:  2795 | Total Reward: -11760.80666865701|
| Episode:  36 | Epsilon:  0.24 | Reward: -130.84875478617124 | Average Reward: -330.324 | Steps:  2850 | Total Reward: -11891.655423443184|
| Episode:  37 | Epsilon:  0.23 | Reward: -113.23963107190527 | Average Reward: -324.457 | Steps:  2917 | Total Reward: -12004.895054515091|
| Episode:  38 | Epsilon:  0.23 | Reward: -115.53054706686358 | Average Reward: -318.959 | Steps:  2984 | Total Reward: -12120.425601581963|
| Episode:  39 | Epsilon:  0.22 | Reward: -102.17972356186134 | Average Reward: -313.400 | Steps:  3067 | Total Reward: -12222.605325143817|
| Episode:  40 | Epsilon:  0.21 | Reward: -137.8281430772755 | Average Reward: -309.011 | Steps:  3172 | Total Reward: -12360.43346822109|
| Episode:  41 | Epsilon:  0.21 | Reward: -140.09619619440244 | Average Reward: -304.891 | Steps:  3248 | Total Reward: -12500.52966441549|
