+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+---------+
|          Parameter           |  Value  |
+==============================+=========+
| Loss Metric:                 | huber   |
+------------------------------+---------+
| Sequence Length:             | 50      |
+------------------------------+---------+
| Learning Rate:               | 0.001   |
+------------------------------+---------+
| Update Target Steps:         | 2500    |
+------------------------------+---------+
| Optimizer:                   | rmsprop |
+------------------------------+---------+
| Hopfield Inverse Temperature | 0.100   |
+------------------------------+---------+
| Big or Small Loss            | yes     |
+------------------------------+---------+
| Soft or Hard Update          | soft    |
+------------------------------+---------+
| Polyak Factor                | 0.500   |
+------------------------------+---------+
| Episode:   1 | Epsilon:  0.90 | Reward: -294.70703704362586 | Average Reward: -294.707 | Steps:   115 | Total Reward: -294.70703704362586|
| Episode:   2 | Epsilon:  0.86 | Reward: -217.10074473231276 | Average Reward: -255.904 | Steps:   209 | Total Reward: -511.8077817759378|
| Episode:   3 | Epsilon:  0.82 | Reward: -52.036430536714306 | Average Reward: -187.948 | Steps:   350 | Total Reward: -563.8442123126508|
| Episode:   4 | Epsilon:  0.79 | Reward: -382.82719357898543 | Average Reward: -236.668 | Steps:   446 | Total Reward: -946.6714058916348|
| Episode:   5 | Epsilon:  0.75 | Reward: -454.465574043904 | Average Reward: -280.227 | Steps:   624 | Total Reward: -1401.1369799355375|
| Episode:   6 | Epsilon:  0.72 | Reward: -635.7301680620941 | Average Reward: -339.478 | Steps:   775 | Total Reward: -2036.8671479976304|
| Episode:   7 | Epsilon:  0.69 | Reward: -11.318652835351841 | Average Reward: -292.598 | Steps:   854 | Total Reward: -2048.1858008329827|
| Episode:   8 | Epsilon:  0.66 | Reward: -450.8260243341174 | Average Reward: -312.376 | Steps:   977 | Total Reward: -2499.0118251670997|
| Episode:   9 | Epsilon:  0.64 | Reward: -78.68775860706229 | Average Reward: -286.411 | Steps:  1072 | Total Reward: -2577.6995837741615|
| Episode:  10 | Epsilon:  0.61 | Reward: -71.63822032518684 | Average Reward: -264.934 | Steps:  1197 | Total Reward: -2649.337804099346|
| Episode:  11 | Epsilon:  0.59 | Reward: -354.4717052882519 | Average Reward: -273.074 | Steps:  1296 | Total Reward: -3003.8095093876|
| Episode:  12 | Epsilon:  0.56 | Reward: -157.46149374723893 | Average Reward: -263.439 | Steps:  1413 | Total Reward: -3161.271003134837|
| Episode:  13 | Epsilon:  0.54 | Reward: -482.1516887549707 | Average Reward: -280.263 | Steps:  1492 | Total Reward: -3643.4226918898053|
| Episode:  14 | Epsilon:  0.52 | Reward: -311.4691984362996 | Average Reward: -282.492 | Steps:  1591 | Total Reward: -3954.891890326103|
| Episode:  15 | Epsilon:  0.50 | Reward: -387.7855611190062 | Average Reward: -289.512 | Steps:  1678 | Total Reward: -4342.677451445109|
| Episode:  16 | Epsilon:  0.48 | Reward: -367.4515081528238 | Average Reward: -294.383 | Steps:  1785 | Total Reward: -4710.128959597925|
| Episode:  17 | Epsilon:  0.46 | Reward: -962.8786390202922 | Average Reward: -333.706 | Steps:  2095 | Total Reward: -5673.007598618217|
| Episode:  18 | Epsilon:  0.44 | Reward: -360.9686204209995 | Average Reward: -335.221 | Steps:  2210 | Total Reward: -6033.976219039222|
| Episode:  19 | Epsilon:  0.43 | Reward: -44.22389766732887 | Average Reward: -319.905 | Steps:  2323 | Total Reward: -6078.200116706554|
| Episode:  20 | Epsilon:  0.41 | Reward: -261.22759638002094 | Average Reward: -316.971 | Steps:  2418 | Total Reward: -6339.427713086574|
| Episode:  21 | Epsilon:  0.39 | Reward: -302.5750754120552 | Average Reward: -316.286 | Steps:  2509 | Total Reward: -6642.002788498628|
