+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 50        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | rmsprop   |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.750     |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -251.62848405417327 | Average Reward: -251.628 | Steps:   137 | Total Reward: -251.62848405417327|
| Episode:   2 | Epsilon:  0.86 | Reward: -67.87118491685003 | Average Reward: -159.750 | Steps:   222 | Total Reward: -319.4996689710234|
| Episode:   3 | Epsilon:  0.82 | Reward: -368.17422788762605 | Average Reward: -229.225 | Steps:   374 | Total Reward: -687.6738968586487|
| Episode:   4 | Epsilon:  0.78 | Reward: -421.3132738440534 | Average Reward: -277.247 | Steps:   472 | Total Reward: -1108.9871707027019|
| Episode:   5 | Epsilon:  0.75 | Reward: -444.5709390801165 | Average Reward: -310.712 | Steps:   575 | Total Reward: -1553.558109782817|
| Episode:   6 | Epsilon:  0.71 | Reward: -266.86255498275193 | Average Reward: -303.403 | Steps:   667 | Total Reward: -1820.420664765568|
| Episode:   7 | Epsilon:  0.68 | Reward: -491.90009007809914 | Average Reward: -330.332 | Steps:   757 | Total Reward: -2312.3207548436653|
| Episode:   8 | Epsilon:  0.65 | Reward: -408.2022627495013 | Average Reward: -340.065 | Steps:   935 | Total Reward: -2720.5230175931683|
| Episode:   9 | Epsilon:  0.62 | Reward: -10.391127540169862 | Average Reward: -303.435 | Steps:  1044 | Total Reward: -2730.914145133339|
| Episode:  10 | Epsilon:  0.59 | Reward: -574.8773312017187 | Average Reward: -330.579 | Steps:  1230 | Total Reward: -3305.791476335056|
| Episode:  11 | Epsilon:  0.57 | Reward: -379.0813099287363 | Average Reward: -334.988 | Steps:  1319 | Total Reward: -3684.8727862637916|
| Episode:  12 | Epsilon:  0.54 | Reward: -602.2015573518652 | Average Reward: -357.256 | Steps:  1494 | Total Reward: -4287.074343615657|
| Episode:  13 | Epsilon:  0.52 | Reward: -196.6691263030221 | Average Reward: -344.903 | Steps:  1605 | Total Reward: -4483.743469918673|
| Episode:  14 | Epsilon:  0.49 | Reward: -514.2793482382649 | Average Reward: -357.002 | Steps:  1714 | Total Reward: -4998.022818156941|
| Episode:  15 | Epsilon:  0.47 | Reward: -381.4548718180457 | Average Reward: -358.632 | Steps:  1812 | Total Reward: -5379.477689974982|
| Episode:  16 | Epsilon:  0.45 | Reward: -537.2664732207479 | Average Reward: -369.797 | Steps:  1940 | Total Reward: -5916.744163195734|
| Episode:  17 | Epsilon:  0.43 | Reward: -356.56901493796795 | Average Reward: -369.018 | Steps:  2037 | Total Reward: -6273.313178133699|
| Episode:  18 | Epsilon:  0.41 | Reward: -168.92851638639155 | Average Reward: -357.902 | Steps:  2088 | Total Reward: -6442.241694520093|
| Episode:  19 | Epsilon:  0.40 | Reward: -507.5400344087359 | Average Reward: -365.778 | Steps:  2165 | Total Reward: -6949.781728928826|
| Episode:  20 | Epsilon:  0.38 | Reward: -391.8298379270326 | Average Reward: -367.081 | Steps:  2260 | Total Reward: -7341.611566855861|
| Episode:  21 | Epsilon:  0.36 | Reward: -328.87482355757095 | Average Reward: -365.261 | Steps:  2320 | Total Reward: -7670.486390413432|
| Episode:  22 | Epsilon:  0.35 | Reward: -176.4431211792549 | Average Reward: -356.679 | Steps:  2380 | Total Reward: -7846.929511592687|
| Episode:  23 | Epsilon:  0.33 | Reward: -127.12630867628866 | Average Reward: -346.698 | Steps:  2453 | Total Reward: -7974.0558202689745|
| Episode:  24 | Epsilon:  0.32 | Reward: -251.7975657120211 | Average Reward: -342.744 | Steps:  2523 | Total Reward: -8225.853385980994|
| Episode:  25 | Epsilon:  0.31 | Reward: -378.3740616271866 | Average Reward: -344.169 | Steps:  2600 | Total Reward: -8604.227447608182|
| Episode:  26 | Epsilon:  0.29 | Reward: -111.16037375830396 | Average Reward: -335.207 | Steps:  2668 | Total Reward: -8715.387821366487|
| Episode:  27 | Epsilon:  0.28 | Reward: -298.7944320605592 | Average Reward: -333.859 | Steps:  2721 | Total Reward: -9014.182253427045|
| Episode:  28 | Epsilon:  0.27 | Reward: -160.60847632130574 | Average Reward: -327.671 | Steps:  2786 | Total Reward: -9174.790729748343|
| Episode:  29 | Epsilon:  0.26 | Reward: -341.67109239569913 | Average Reward: -328.154 | Steps:  2868 | Total Reward: -9516.46182214404|
| Episode:  30 | Epsilon:  0.25 | Reward: -241.942534718054 | Average Reward: -325.280 | Steps:  2966 | Total Reward: -9758.404356862093|
| Episode:  31 | Epsilon:  0.24 | Reward: -220.33522991289686 | Average Reward: -321.895 | Steps:  3024 | Total Reward: -9978.73958677498|
| Episode:  32 | Epsilon:  0.23 | Reward: -351.38513809642404 | Average Reward: -322.816 | Steps:  3076 | Total Reward: -10330.124724871406|
| Episode:  33 | Epsilon:  0.22 | Reward: -354.7620226120747 | Average Reward: -323.784 | Steps:  3160 | Total Reward: -10684.886747483484|
| Episode:  34 | Epsilon:  0.21 | Reward: -344.45492933773187 | Average Reward: -324.392 | Steps:  3221 | Total Reward: -11029.34167682122|
| Episode:  35 | Epsilon:  0.21 | Reward: -143.22352429658494 | Average Reward: -319.216 | Steps:  3283 | Total Reward: -11172.565201117795|
| Episode:  36 | Epsilon:  0.20 | Reward: -187.6583444319075 | Average Reward: -315.562 | Steps:  3337 | Total Reward: -11360.223545549698|
| Episode:  37 | Epsilon:  0.19 | Reward: -240.27767916042075 | Average Reward: -313.527 | Steps:  3422 | Total Reward: -11600.501224710115|
| Episode:  38 | Epsilon:  0.18 | Reward: -335.5471437572579 | Average Reward: -314.107 | Steps:  3485 | Total Reward: -11936.048368467376|
| Episode:  39 | Epsilon:  0.18 | Reward: -436.6642685045672 | Average Reward: -317.249 | Steps:  3578 | Total Reward: -12372.712636971944|
| Episode:  40 | Epsilon:  0.17 | Reward: -128.0562593828039 | Average Reward: -312.519 | Steps:  3638 | Total Reward: -12500.768896354748|
| Episode:  41 | Epsilon:  0.17 | Reward: -116.55899422894635 | Average Reward: -307.740 | Steps:  3708 | Total Reward: -12617.327890583694|
| Episode:  42 | Epsilon:  0.16 | Reward: -105.03236769782444 | Average Reward: -302.913 | Steps:  3794 | Total Reward: -12722.360258281524|
| Episode:  43 | Epsilon:  0.15 | Reward: -172.24717406785095 | Average Reward: -299.875 | Steps:  3861 | Total Reward: -12894.607432349376|
| Episode:  44 | Epsilon:  0.15 | Reward: -98.79955213091131 | Average Reward: -295.305 | Steps:  3918 | Total Reward: -12993.406984480282|
| Episode:  45 | Epsilon:  0.14 | Reward: -420.79688491480516 | Average Reward: -298.093 | Steps:  4002 | Total Reward: -13414.203869395085|
| Episode:  46 | Epsilon:  0.14 | Reward: -92.05255479721481 | Average Reward: -293.614 | Steps:  4059 | Total Reward: -13506.2564241923|
| Episode:  47 | Epsilon:  0.14 | Reward: -338.68756146420776 | Average Reward: -294.573 | Steps:  4111 | Total Reward: -13844.943985656504|
| Episode:  48 | Epsilon:  0.13 | Reward: -407.0472018183578 | Average Reward: -296.916 | Steps:  4199 | Total Reward: -14251.991187474858|
| Episode:  49 | Epsilon:  0.13 | Reward: -327.0498665333016 | Average Reward: -297.531 | Steps:  4257 | Total Reward: -14579.041054008163|
| Episode:  50 | Epsilon:  0.12 | Reward: -379.11426555276637 | Average Reward: -299.163 | Steps:  4319 | Total Reward: -14958.155319560929|
| Episode:  51 | Epsilon:  0.12 | Reward: -131.9346068828431 | Average Reward: -295.884 | Steps:  4398 | Total Reward: -15090.089926443768|
| Episode:  52 | Epsilon:  0.12 | Reward: -310.94897998082223 | Average Reward: -296.174 | Steps:  4489 | Total Reward: -15401.038906424597|
| Episode:  53 | Epsilon:  0.11 | Reward: -395.2516016532001 | Average Reward: -298.043 | Steps:  4571 | Total Reward: -15796.290508077798|
| Episode:  54 | Epsilon:  0.11 | Reward: -577.667563504721 | Average Reward: -303.221 | Steps:  4663 | Total Reward: -16373.958071582516|
| Episode:  55 | Epsilon:  0.11 | Reward: -301.77651342880455 | Average Reward: -303.195 | Steps:  4724 | Total Reward: -16675.734585011323|
| Episode:  56 | Epsilon:  0.10 | Reward: -539.5328535287333 | Average Reward: -307.415 | Steps:  4804 | Total Reward: -17215.267438540064|
| Episode:  57 | Epsilon:  0.10 | Reward: -421.38730928952145 | Average Reward: -309.415 | Steps:  4947 | Total Reward: -17636.65474782957|
| Episode:  58 | Epsilon:  0.10 | Reward: -835.7709408692696 | Average Reward: -318.490 | Steps:  5038 | Total Reward: -18472.42568869883|
| Episode:  59 | Epsilon:  0.10 | Reward: -267.020135883835 | Average Reward: -317.618 | Steps:  5121 | Total Reward: -18739.445824582664|
| Episode:  60 | Epsilon:  0.09 | Reward: -374.6148166726009 | Average Reward: -318.568 | Steps:  5180 | Total Reward: -19114.060641255266|
