+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 50        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | rmsprop   |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -76.06354903777935 | Average Reward: -76.064 | Steps:   132 | Total Reward: -76.06354903777935|
| Episode:   2 | Epsilon:  0.86 | Reward: -230.02414149380317 | Average Reward: -153.044 | Steps:   247 | Total Reward: -306.08769053158255|
| Episode:   3 | Epsilon:  0.82 | Reward: -173.0703966592776 | Average Reward: -159.719 | Steps:   317 | Total Reward: -479.1580871908595|
| Episode:   4 | Epsilon:  0.78 | Reward: -171.8618897083063 | Average Reward: -162.755 | Steps:   391 | Total Reward: -651.0199768991656|
| Episode:   5 | Epsilon:  0.75 | Reward: -100.14734423501984 | Average Reward: -150.233 | Steps:   457 | Total Reward: -751.167321134185|
| Episode:   6 | Epsilon:  0.71 | Reward: -146.0332653830613 | Average Reward: -149.533 | Steps:   549 | Total Reward: -897.2005865172463|
| Episode:   7 | Epsilon:  0.68 | Reward: -134.89758687480955 | Average Reward: -147.443 | Steps:   628 | Total Reward: -1032.0981733920553|
| Episode:   8 | Epsilon:  0.65 | Reward: -223.6159584334557 | Average Reward: -156.964 | Steps:   728 | Total Reward: -1255.7141318255099|
| Episode:   9 | Epsilon:  0.62 | Reward: -116.14164003707211 | Average Reward: -152.428 | Steps:   793 | Total Reward: -1371.8557718625814|
| Episode:  10 | Epsilon:  0.59 | Reward: -115.9029156295119 | Average Reward: -148.776 | Steps:   857 | Total Reward: -1487.7586874920926|
| Episode:  11 | Epsilon:  0.57 | Reward: -106.05619888362791 | Average Reward: -144.892 | Steps:   935 | Total Reward: -1593.8148863757208|
