+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+---------+
|          Parameter           |  Value  |
+==============================+=========+
| Loss Metric:                 | huber   |
+------------------------------+---------+
| Sequence Length:             | 50      |
+------------------------------+---------+
| Learning Rate:               | 0.001   |
+------------------------------+---------+
| Update Target Steps:         | 100     |
+------------------------------+---------+
| Optimizer:                   | rmsprop |
+------------------------------+---------+
| Hopfield Inverse Temperature | 1       |
+------------------------------+---------+
| Big or Small Loss            | yes     |
+------------------------------+---------+
| Soft or Hard Update          | hard    |
+------------------------------+---------+
| Polyak Factor                | None    |
+------------------------------+---------+
| Episode:   1 | Epsilon:  0.90 | Reward: -123.1150890351742 | Average Reward: -123.115 | Steps:   109 | Total Reward: -123.1150890351742|
| Episode:   2 | Epsilon:  0.85 | Reward: -182.0459993234948 | Average Reward: -152.581 | Steps:   182 | Total Reward: -305.1610883586691|
| Episode:   3 | Epsilon:  0.79 | Reward: -225.54975020827777 | Average Reward: -176.904 | Steps:   244 | Total Reward: -530.7108385669462|
| Episode:   4 | Epsilon:  0.75 | Reward: -133.8253690499539 | Average Reward: -166.134 | Steps:   327 | Total Reward: -664.5362076168997|
| Episode:   5 | Epsilon:  0.70 | Reward: -174.55604513435128 | Average Reward: -167.818 | Steps:   385 | Total Reward: -839.0922527512504|
| Episode:   6 | Epsilon:  0.66 | Reward: -559.0145304014447 | Average Reward: -233.018 | Steps:   465 | Total Reward: -1398.106783152695|
| Episode:   7 | Epsilon:  0.62 | Reward: -580.5442616716998 | Average Reward: -282.664 | Steps:   554 | Total Reward: -1978.6510448243964|
| Episode:   8 | Epsilon:  0.58 | Reward: -311.8367344946108 | Average Reward: -286.311 | Steps:   639 | Total Reward: -2290.487779319007|
| Episode:   9 | Epsilon:  0.55 | Reward: -220.85588644938517 | Average Reward: -279.038 | Steps:   701 | Total Reward: -2511.3436657683915|
| Episode:  10 | Epsilon:  0.52 | Reward: -591.7800054343845 | Average Reward: -310.312 | Steps:   807 | Total Reward: -3103.1236712027758|
| Episode:  11 | Epsilon:  0.49 | Reward: -235.9179536655992 | Average Reward: -303.549 | Steps:   862 | Total Reward: -3339.041624868374|
| Episode:  12 | Epsilon:  0.46 | Reward: -498.35311319319806 | Average Reward: -319.783 | Steps:   957 | Total Reward: -3837.394738061572|
| Episode:  13 | Epsilon:  0.43 | Reward: -524.1979212834584 | Average Reward: -335.507 | Steps:  1043 | Total Reward: -4361.592659345031|
| Episode:  14 | Epsilon:  0.41 | Reward: -481.875136129355 | Average Reward: -345.962 | Steps:  1103 | Total Reward: -4843.467795474388|
| Episode:  15 | Epsilon:  0.38 | Reward: -494.5527109813515 | Average Reward: -355.868 | Steps:  1186 | Total Reward: -5338.0205064557385|
| Episode:  16 | Epsilon:  0.36 | Reward: -659.3827032478819 | Average Reward: -374.838 | Steps:  1278 | Total Reward: -5997.40320970362|
| Episode:  17 | Epsilon:  0.34 | Reward: -553.4266365469971 | Average Reward: -385.343 | Steps:  1350 | Total Reward: -6550.829846250619|
| Episode:  18 | Epsilon:  0.32 | Reward: -347.11740539127334 | Average Reward: -383.219 | Steps:  1413 | Total Reward: -6897.947251641893|
| Episode:  19 | Epsilon:  0.31 | Reward: -453.8199036547729 | Average Reward: -386.935 | Steps:  1483 | Total Reward: -7351.767155296666|
| Episode:  20 | Epsilon:  0.29 | Reward: -469.91420686504614 | Average Reward: -391.084 | Steps:  1547 | Total Reward: -7821.681362161715|
| Episode:  21 | Epsilon:  0.27 | Reward: -560.7438705156242 | Average Reward: -399.163 | Steps:  1620 | Total Reward: -8382.425232677342|
| Episode:  22 | Epsilon:  0.26 | Reward: -491.7817055634144 | Average Reward: -403.373 | Steps:  1681 | Total Reward: -8874.20693824076|
| Episode:  23 | Epsilon:  0.25 | Reward: -427.9551235273718 | Average Reward: -404.442 | Steps:  1753 | Total Reward: -9302.162061768135|
| Episode:  24 | Epsilon:  0.23 | Reward: -461.3306704064299 | Average Reward: -406.812 | Steps:  1821 | Total Reward: -9763.492732174558|
| Episode:  25 | Epsilon:  0.22 | Reward: -322.8640844183027 | Average Reward: -403.454 | Steps:  1873 | Total Reward: -10086.356816592855|
| Episode:  26 | Epsilon:  0.21 | Reward: -537.145104179152 | Average Reward: -408.596 | Steps:  1953 | Total Reward: -10623.501920772005|
| Episode:  27 | Epsilon:  0.20 | Reward: -597.5185811750202 | Average Reward: -415.593 | Steps:  2027 | Total Reward: -11221.020501947025|
