+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 100       |
+------------------------------+-----------+
| Optimizer:                   | rmsprop   |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | yes       |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -144.6660782586614 | Average Reward: -144.666 | Steps:   115 | Total Reward: -144.6660782586614|
| Episode:   2 | Epsilon:  0.86 | Reward: -99.93270045110394 | Average Reward: -122.299 | Steps:   181 | Total Reward: -244.5987787097655|
| Episode:   3 | Epsilon:  0.82 | Reward: -388.5379947098967 | Average Reward: -211.046 | Steps:   271 | Total Reward: -633.1367734196613|
| Episode:   4 | Epsilon:  0.79 | Reward: -132.3898518573624 | Average Reward: -191.382 | Steps:   341 | Total Reward: -765.5266252770232|
| Episode:   5 | Epsilon:  0.75 | Reward: -456.98513860152127 | Average Reward: -244.502 | Steps:   423 | Total Reward: -1222.5117638785441|
| Episode:   6 | Epsilon:  0.72 | Reward: -232.56049904150677 | Average Reward: -242.512 | Steps:   497 | Total Reward: -1455.0722629200513|
| Episode:   7 | Epsilon:  0.69 | Reward: -278.9250044478151 | Average Reward: -247.714 | Steps:   595 | Total Reward: -1733.9972673678656|
| Episode:   8 | Epsilon:  0.66 | Reward: -244.0889484386895 | Average Reward: -247.261 | Steps:   686 | Total Reward: -1978.0862158065559|
| Episode:   9 | Epsilon:  0.64 | Reward: -412.3395382471991 | Average Reward: -265.603 | Steps:   770 | Total Reward: -2390.4257540537537|
| Episode:  10 | Epsilon:  0.61 | Reward: -504.33893286981174 | Average Reward: -289.476 | Steps:   861 | Total Reward: -2894.7646869235655|
| Episode:  11 | Epsilon:  0.59 | Reward: -519.9708622406572 | Average Reward: -310.431 | Steps:   951 | Total Reward: -3414.735549164222|
| Episode:  12 | Epsilon:  0.56 | Reward: -346.04411827458034 | Average Reward: -313.398 | Steps:  1010 | Total Reward: -3760.7796674387996|
| Episode:  13 | Epsilon:  0.54 | Reward: -616.2458479850806 | Average Reward: -336.694 | Steps:  1103 | Total Reward: -4377.025515423881|
| Episode:  14 | Epsilon:  0.52 | Reward: -640.3561943698417 | Average Reward: -358.384 | Steps:  1183 | Total Reward: -5017.3817097937235|
| Episode:  15 | Epsilon:  0.50 | Reward: -428.85666415866797 | Average Reward: -363.083 | Steps:  1268 | Total Reward: -5446.238373952392|
| Episode:  16 | Epsilon:  0.48 | Reward: -666.5721491225714 | Average Reward: -382.051 | Steps:  1352 | Total Reward: -6112.810523074966|
| Episode:  17 | Epsilon:  0.46 | Reward: -351.4622027135297 | Average Reward: -380.251 | Steps:  1418 | Total Reward: -6464.272725788494|
| Episode:  18 | Epsilon:  0.44 | Reward: -592.9333657156432 | Average Reward: -392.067 | Steps:  1492 | Total Reward: -7057.206091504139|
| Episode:  19 | Epsilon:  0.43 | Reward: -485.5523658707117 | Average Reward: -396.987 | Steps:  1575 | Total Reward: -7542.758457374853|
| Episode:  20 | Epsilon:  0.41 | Reward: -284.3616270672293 | Average Reward: -391.356 | Steps:  1637 | Total Reward: -7827.120084442081|
| Episode:  21 | Epsilon:  0.39 | Reward: -609.744913327047 | Average Reward: -401.755 | Steps:  1720 | Total Reward: -8436.86499776913|
| Episode:  22 | Epsilon:  0.38 | Reward: -401.8133748283256 | Average Reward: -401.758 | Steps:  1776 | Total Reward: -8838.678372597455|
| Episode:  23 | Epsilon:  0.37 | Reward: -479.3272452083881 | Average Reward: -405.131 | Steps:  1845 | Total Reward: -9318.005617805848|
| Episode:  24 | Epsilon:  0.35 | Reward: -380.12806272614984 | Average Reward: -404.089 | Steps:  1917 | Total Reward: -9698.133680532|
| Episode:  25 | Epsilon:  0.34 | Reward: -479.6566822819218 | Average Reward: -407.112 | Steps:  2000 | Total Reward: -10177.790362813927|
| Episode:  26 | Epsilon:  0.33 | Reward: -107.94125302689145 | Average Reward: -395.605 | Steps:  2103 | Total Reward: -10285.731615840823|
| Episode:  27 | Epsilon:  0.32 | Reward: -195.34141849152576 | Average Reward: -388.188 | Steps:  2169 | Total Reward: -10481.073034332356|
| Episode:  28 | Epsilon:  0.31 | Reward: -433.0949369054594 | Average Reward: -389.792 | Steps:  2281 | Total Reward: -10914.167971237823|
| Episode:  29 | Epsilon:  0.30 | Reward: -769.4298819325202 | Average Reward: -402.883 | Steps:  2448 | Total Reward: -11683.59785317034|
| Episode:  30 | Epsilon:  0.29 | Reward: -621.0855254651614 | Average Reward: -410.156 | Steps:  2690 | Total Reward: -12304.683378635506|
| Episode:  31 | Epsilon:  0.28 | Reward: -129.5310123432966 | Average Reward: -401.104 | Steps:  2754 | Total Reward: -12434.214390978797|
| Episode:  32 | Epsilon:  0.27 | Reward: -122.78458701115034 | Average Reward: -392.406 | Steps:  2848 | Total Reward: -12556.998977989948|
| Episode:  33 | Epsilon:  0.26 | Reward: -130.43211758076467 | Average Reward: -384.468 | Steps:  2931 | Total Reward: -12687.431095570717|
| Episode:  34 | Epsilon:  0.25 | Reward: -140.46985883314255 | Average Reward: -377.291 | Steps:  2992 | Total Reward: -12827.90095440386|
| Episode:  35 | Epsilon:  0.25 | Reward: -107.52428803302213 | Average Reward: -369.584 | Steps:  3047 | Total Reward: -12935.425242436884|
| Episode:  36 | Epsilon:  0.24 | Reward: -578.2853754294666 | Average Reward: -375.381 | Steps:  3198 | Total Reward: -13513.710617866353|
