+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -414.16627587432214 | Average Reward: -414.166 | Steps:   105 | Total Reward: -414.16627587432214|
| Episode:   2 | Epsilon:  0.86 | Reward: -126.45910687899364 | Average Reward: -270.313 | Steps:   160 | Total Reward: -540.6253827533151|
| Episode:   3 | Epsilon:  0.82 | Reward: -324.6536495514211 | Average Reward: -288.426 | Steps:   255 | Total Reward: -865.2790323047354|
| Episode:   4 | Epsilon:  0.79 | Reward: -13.052255376612791 | Average Reward: -219.583 | Steps:   351 | Total Reward: -878.3312876813475|
| Episode:   5 | Epsilon:  0.75 | Reward: -258.65079378803523 | Average Reward: -227.396 | Steps:   418 | Total Reward: -1136.9820814693828|
| Episode:   6 | Epsilon:  0.72 | Reward: -322.4878316680714 | Average Reward: -243.245 | Steps:   485 | Total Reward: -1459.4699131374541|
| Episode:   7 | Epsilon:  0.69 | Reward: -201.02314746059352 | Average Reward: -237.213 | Steps:   568 | Total Reward: -1660.4930605980471|
| Episode:   8 | Epsilon:  0.66 | Reward: -341.79261999603614 | Average Reward: -250.286 | Steps:   667 | Total Reward: -2002.2856805940828|
| Episode:   9 | Epsilon:  0.64 | Reward: -623.9952951423817 | Average Reward: -291.809 | Steps:   757 | Total Reward: -2626.280975736466|
| Episode:  10 | Epsilon:  0.61 | Reward: -507.53666170338516 | Average Reward: -313.382 | Steps:   851 | Total Reward: -3133.817637439851|
| Episode:  11 | Epsilon:  0.59 | Reward: -425.7188858482595 | Average Reward: -323.594 | Steps:   916 | Total Reward: -3559.536523288111|
| Episode:  12 | Epsilon:  0.56 | Reward: -241.8457779617058 | Average Reward: -316.782 | Steps:   994 | Total Reward: -3801.3823012498174|
| Episode:  13 | Epsilon:  0.54 | Reward: -316.8323989912759 | Average Reward: -316.786 | Steps:  1054 | Total Reward: -4118.214700241093|
| Episode:  14 | Epsilon:  0.52 | Reward: -273.6635730204606 | Average Reward: -313.706 | Steps:  1126 | Total Reward: -4391.878273261552|
| Episode:  15 | Epsilon:  0.50 | Reward: -265.0595116462265 | Average Reward: -310.463 | Steps:  1190 | Total Reward: -4656.937784907778|
| Episode:  16 | Epsilon:  0.48 | Reward: -348.2557719971536 | Average Reward: -312.825 | Steps:  1256 | Total Reward: -5005.193556904932|
| Episode:  17 | Epsilon:  0.46 | Reward: -357.8857402080665 | Average Reward: -315.475 | Steps:  1319 | Total Reward: -5363.079297112999|
| Episode:  18 | Epsilon:  0.44 | Reward: -471.43641770055524 | Average Reward: -324.140 | Steps:  1383 | Total Reward: -5834.515714813551|
| Episode:  19 | Epsilon:  0.43 | Reward: -357.388588066723 | Average Reward: -325.890 | Steps:  1454 | Total Reward: -6191.904302880276|
| Episode:  20 | Epsilon:  0.41 | Reward: -430.20513544483043 | Average Reward: -331.105 | Steps:  1522 | Total Reward: -6622.1094383251075|
| Episode:  21 | Epsilon:  0.39 | Reward: -731.8228713721579 | Average Reward: -350.187 | Steps:  1606 | Total Reward: -7353.932309697265|
| Episode:  22 | Epsilon:  0.38 | Reward: -459.9210828219008 | Average Reward: -355.175 | Steps:  1670 | Total Reward: -7813.853392519161|
| Episode:  23 | Epsilon:  0.37 | Reward: -396.9208561951201 | Average Reward: -356.990 | Steps:  1726 | Total Reward: -8210.774248714286|
| Episode:  24 | Epsilon:  0.35 | Reward: -396.6778133377863 | Average Reward: -358.644 | Steps:  1789 | Total Reward: -8607.45206205208|
| Episode:  25 | Epsilon:  0.34 | Reward: -415.85004287430996 | Average Reward: -360.932 | Steps:  1853 | Total Reward: -9023.302104926395|
| Episode:  26 | Epsilon:  0.33 | Reward: -572.805270333198 | Average Reward: -369.081 | Steps:  1941 | Total Reward: -9596.107375259597|
| Episode:  27 | Epsilon:  0.32 | Reward: -356.6443484663705 | Average Reward: -368.620 | Steps:  1995 | Total Reward: -9952.751723725969|
| Episode:  28 | Epsilon:  0.31 | Reward: -310.7070093557662 | Average Reward: -366.552 | Steps:  2135 | Total Reward: -10263.458733081734|
| Episode:  29 | Epsilon:  0.30 | Reward: -454.2983318606898 | Average Reward: -369.578 | Steps:  2297 | Total Reward: -10717.757064942434|
| Episode:  30 | Epsilon:  0.29 | Reward: -519.7808415429515 | Average Reward: -374.585 | Steps:  2529 | Total Reward: -11237.537906485384|
| Episode:  31 | Epsilon:  0.28 | Reward: -386.8648988965977 | Average Reward: -374.981 | Steps:  2669 | Total Reward: -11624.402805381978|
| Episode:  32 | Epsilon:  0.27 | Reward: -389.9410091115269 | Average Reward: -375.448 | Steps:  2860 | Total Reward: -12014.343814493508|
| Episode:  33 | Epsilon:  0.26 | Reward: -418.20394121846107 | Average Reward: -376.744 | Steps:  2946 | Total Reward: -12432.547755711965|
| Episode:  34 | Epsilon:  0.25 | Reward: -303.599169933067 | Average Reward: -374.593 | Steps:  3028 | Total Reward: -12736.146925645036|
| Episode:  35 | Epsilon:  0.25 | Reward: -147.70571235010868 | Average Reward: -368.110 | Steps:  3297 | Total Reward: -12883.85263799513|
| Episode:  36 | Epsilon:  0.24 | Reward: -56.39266024142276 | Average Reward: -359.451 | Steps:  3509 | Total Reward: -12940.245298236547|
| Episode:  37 | Epsilon:  0.23 | Reward: -186.91729727788572 | Average Reward: -354.788 | Steps:  3604 | Total Reward: -13127.162595514443|
| Episode:  38 | Epsilon:  0.23 | Reward: -424.2193614386582 | Average Reward: -356.615 | Steps:  3704 | Total Reward: -13551.38195695309|
| Episode:  39 | Epsilon:  0.22 | Reward: -447.64728537716564 | Average Reward: -358.949 | Steps:  3843 | Total Reward: -13999.029242330258|
| Episode:  40 | Epsilon:  0.21 | Reward: -208.58754393553818 | Average Reward: -355.190 | Steps:  3971 | Total Reward: -14207.616786265795|
| Episode:  41 | Epsilon:  0.21 | Reward: -296.2710254132131 | Average Reward: -353.753 | Steps:  4093 | Total Reward: -14503.887811679004|
| Episode:  42 | Epsilon:  0.20 | Reward: -175.03986567296022 | Average Reward: -349.498 | Steps:  4253 | Total Reward: -14678.927677351967|
| Episode:  43 | Epsilon:  0.20 | Reward: -125.7585517337464 | Average Reward: -344.295 | Steps:  4412 | Total Reward: -14804.686229085708|
| Episode:  44 | Epsilon:  0.19 | Reward: -114.92387353345474 | Average Reward: -339.082 | Steps:  4570 | Total Reward: -14919.610102619168|
| Episode:  45 | Epsilon:  0.19 | Reward: -4.852018263866967 | Average Reward: -331.655 | Steps:  4733 | Total Reward: -14924.462120883047|
| Episode:  46 | Epsilon:  0.18 | Reward: -130.99880671175782 | Average Reward: -327.293 | Steps:  4981 | Total Reward: -15055.460927594806|
| Episode:  47 | Epsilon:  0.18 | Reward: -94.21038803978277 | Average Reward: -322.333 | Steps:  5153 | Total Reward: -15149.671315634589|
| Episode:  48 | Epsilon:  0.18 | Reward: 19.711632227610963 | Average Reward: -315.207 | Steps:  5321 | Total Reward: -15129.959683406973|
| Episode:  49 | Epsilon:  0.17 | Reward: -56.15698448408696 | Average Reward: -309.921 | Steps:  5493 | Total Reward: -15186.116667891052|
| Episode:  50 | Epsilon:  0.17 | Reward: -43.46575743936796 | Average Reward: -304.592 | Steps:  5701 | Total Reward: -15229.582425330409|
| Episode:  51 | Epsilon:  0.17 | Reward: -158.62914769211375 | Average Reward: -301.730 | Steps:  5838 | Total Reward: -15388.211573022516|
| Episode:  52 | Epsilon:  0.16 | Reward: -232.75289230130883 | Average Reward: -300.403 | Steps:  6092 | Total Reward: -15620.964465323828|
| Episode:  53 | Epsilon:  0.16 | Reward: -254.5037118969838 | Average Reward: -299.537 | Steps:  6273 | Total Reward: -15875.468177220813|
| Episode:  54 | Epsilon:  0.16 | Reward: -201.54504598742693 | Average Reward: -297.722 | Steps:  6472 | Total Reward: -16077.013223208254|
| Episode:  55 | Epsilon:  0.15 | Reward: -31.28263167968865 | Average Reward: -292.878 | Steps:  6713 | Total Reward: -16108.29585488794|
| Episode:  56 | Epsilon:  0.15 | Reward: -64.4059758785611 | Average Reward: -288.798 | Steps:  6941 | Total Reward: -16172.701830766491|
| Episode:  57 | Epsilon:  0.15 | Reward: -269.28139171278707 | Average Reward: -288.456 | Steps:  7089 | Total Reward: -16441.983222479277|
| Episode:  58 | Epsilon:  0.15 | Reward: -118.27579943333201 | Average Reward: -285.522 | Steps:  7324 | Total Reward: -16560.2590219126|
| Episode:  59 | Epsilon:  0.14 | Reward: 10.458674660653173 | Average Reward: -280.505 | Steps:  7555 | Total Reward: -16549.80034725195|
| Episode:  60 | Epsilon:  0.14 | Reward: -167.27417649241906 | Average Reward: -278.618 | Steps:  7737 | Total Reward: -16717.074523744366|
| Episode:  61 | Epsilon:  0.14 | Reward: -205.1162306507952 | Average Reward: -277.413 | Steps:  7938 | Total Reward: -16922.190754395142|
| Episode:  62 | Epsilon:  0.14 | Reward: -220.1585674651526 | Average Reward: -276.490 | Steps:  8117 | Total Reward: -17142.34932186028|
| Episode:  63 | Epsilon:  0.14 | Reward: -86.60805361232013 | Average Reward: -273.476 | Steps:  8306 | Total Reward: -17228.95737547257|
| Episode:  64 | Epsilon:  0.13 | Reward: -88.18930776095023 | Average Reward: -270.580 | Steps:  8502 | Total Reward: -17317.146683233535|
| Episode:  65 | Epsilon:  0.13 | Reward: -116.39896482874951 | Average Reward: -268.208 | Steps:  8699 | Total Reward: -17433.5456480623|
| Episode:  66 | Epsilon:  0.13 | Reward: -66.98404735536471 | Average Reward: -265.160 | Steps:  8838 | Total Reward: -17500.52969541768|
| Episode:  67 | Epsilon:  0.13 | Reward: 25.706559107580446 | Average Reward: -260.818 | Steps:  9017 | Total Reward: -17474.823136310068|
| Episode:  68 | Epsilon:  0.13 | Reward: -217.4884662421677 | Average Reward: -260.181 | Steps:  9193 | Total Reward: -17692.31160255226|
| Episode:  69 | Epsilon:  0.13 | Reward: -237.40660135818942 | Average Reward: -259.851 | Steps:  9336 | Total Reward: -17929.718203910445|
| Episode:  70 | Epsilon:  0.13 | Reward: -223.6323121701531 | Average Reward: -259.334 | Steps:  9575 | Total Reward: -18153.35051608058|
