+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 15000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
with 8 heads, 8 hidden size, 6 max update steps
| Episode:   1 | Epsilon:  0.90 | Reward: -202.6377080601069 | Average Reward: -202.638 | Steps:   106 | Total Reward: -202.6377080601069|
| Episode:   2 | Epsilon:  0.86 | Reward: -330.15095100303336 | Average Reward: -266.394 | Steps:   298 | Total Reward: -532.7886590631404|
| Episode:   3 | Epsilon:  0.82 | Reward: -175.7972735280341 | Average Reward: -236.195 | Steps:   422 | Total Reward: -708.5859325911731|
| Episode:   4 | Epsilon:  0.79 | Reward: -110.25406597787885 | Average Reward: -204.710 | Steps:   639 | Total Reward: -818.8399985690507|
| Episode:   5 | Epsilon:  0.75 | Reward: -377.3872398015943 | Average Reward: -239.245 | Steps:   781 | Total Reward: -1196.227238370644|
| Episode:   6 | Epsilon:  0.72 | Reward: -524.9077191993915 | Average Reward: -286.856 | Steps:   900 | Total Reward: -1721.1349575700356|
| Episode:   7 | Epsilon:  0.69 | Reward: -453.0232234270514 | Average Reward: -310.594 | Steps:   977 | Total Reward: -2174.158180997086|
| Episode:   8 | Epsilon:  0.66 | Reward: -436.2992794634997 | Average Reward: -326.307 | Steps:  1063 | Total Reward: -2610.4574604605878|
| Episode:   9 | Epsilon:  0.64 | Reward: -38.264913232154456 | Average Reward: -294.302 | Steps:  1186 | Total Reward: -2648.7223736927394|
| Episode:  10 | Epsilon:  0.61 | Reward: -220.5576001614649 | Average Reward: -286.928 | Steps:  1279 | Total Reward: -2869.279973854204|
| Episode:  11 | Epsilon:  0.59 | Reward: -691.15343816637 | Average Reward: -323.676 | Steps:  1650 | Total Reward: -3560.4334120205785|
| Episode:  12 | Epsilon:  0.56 | Reward: -480.12787092746026 | Average Reward: -336.713 | Steps:  1759 | Total Reward: -4040.5612829480374|
| Episode:  13 | Epsilon:  0.54 | Reward: -491.7635073276893 | Average Reward: -348.640 | Steps:  1870 | Total Reward: -4532.324790275724|
| Episode:  14 | Epsilon:  0.52 | Reward: -386.05733780175956 | Average Reward: -351.313 | Steps:  1994 | Total Reward: -4918.382128077483|
| Episode:  15 | Epsilon:  0.50 | Reward: -500.99992528897883 | Average Reward: -361.292 | Steps:  2100 | Total Reward: -5419.382053366462|
| Episode:  16 | Epsilon:  0.48 | Reward: -144.6043564835176 | Average Reward: -347.749 | Steps:  2233 | Total Reward: -5563.986409849975|
| Episode:  17 | Epsilon:  0.46 | Reward: -218.75695121015397 | Average Reward: -340.161 | Steps:  2362 | Total Reward: -5782.743361060124|
| Episode:  18 | Epsilon:  0.44 | Reward: -222.85054936498682 | Average Reward: -333.644 | Steps:  2529 | Total Reward: -6005.593910425105|
| Episode:  19 | Epsilon:  0.43 | Reward: -114.47185997158101 | Average Reward: -322.109 | Steps:  2674 | Total Reward: -6120.065770396682|
| Episode:  20 | Epsilon:  0.41 | Reward: -41.39859709367619 | Average Reward: -308.073 | Steps:  2851 | Total Reward: -6161.464367490355|
| Episode:  21 | Epsilon:  0.39 | Reward: 4.928351043363406 | Average Reward: -293.168 | Steps:  3033 | Total Reward: -6156.5360164469885|
| Episode:  22 | Epsilon:  0.38 | Reward: -143.33820739841926 | Average Reward: -286.358 | Steps:  3443 | Total Reward: -6299.874223845416|
| Episode:  23 | Epsilon:  0.37 | Reward: 32.88421064685144 | Average Reward: -272.478 | Steps:  3617 | Total Reward: -6266.990013198564|
| Episode:  24 | Epsilon:  0.35 | Reward: -361.3799031704436 | Average Reward: -276.182 | Steps:  3725 | Total Reward: -6628.369916369011|
| Episode:  25 | Epsilon:  0.34 | Reward: -265.1366927680562 | Average Reward: -275.740 | Steps:  3925 | Total Reward: -6893.506609137069|
| Episode:  26 | Epsilon:  0.33 | Reward: -213.71921366233215 | Average Reward: -273.355 | Steps:  4123 | Total Reward: -7107.225822799397|
| Episode:  27 | Epsilon:  0.32 | Reward: -268.3516123748966 | Average Reward: -273.170 | Steps:  4326 | Total Reward: -7375.577435174295|
| Episode:  28 | Epsilon:  0.31 | Reward: -413.4298875049417 | Average Reward: -278.179 | Steps:  4572 | Total Reward: -7789.007322679238|
| Episode:  29 | Epsilon:  0.30 | Reward: 18.016111941796296 | Average Reward: -267.965 | Steps:  4803 | Total Reward: -7770.991210737444|
| Episode:  30 | Epsilon:  0.29 | Reward: -134.7145069656783 | Average Reward: -263.524 | Steps:  5139 | Total Reward: -7905.705717703116|
| Episode:  31 | Epsilon:  0.28 | Reward: 39.062671350580956 | Average Reward: -253.763 | Steps:  5370 | Total Reward: -7866.643046352523|
| Episode:  32 | Epsilon:  0.27 | Reward: -316.8895003918248 | Average Reward: -255.735 | Steps:  5536 | Total Reward: -8183.532546744341|
| Episode:  33 | Epsilon:  0.26 | Reward: -108.94300695278989 | Average Reward: -251.287 | Steps:  5680 | Total Reward: -8292.475553697122|
| Episode:  34 | Epsilon:  0.25 | Reward: -97.07163643728013 | Average Reward: -246.751 | Steps:  5857 | Total Reward: -8389.547190134394|
| Episode:  35 | Epsilon:  0.25 | Reward: 59.89505013846795 | Average Reward: -237.990 | Steps:  6054 | Total Reward: -8329.652139995926|
| Episode:  36 | Epsilon:  0.24 | Reward: -216.97788299448638 | Average Reward: -237.406 | Steps:  6210 | Total Reward: -8546.630022990408|
| Episode:  37 | Epsilon:  0.23 | Reward: -72.8574715838883 | Average Reward: -232.959 | Steps:  6384 | Total Reward: -8619.487494574296|
| Episode:  38 | Epsilon:  0.23 | Reward: -207.9195336335432 | Average Reward: -232.300 | Steps:  6610 | Total Reward: -8827.407028207846|
| Episode:  39 | Epsilon:  0.22 | Reward: -16.59693523144989 | Average Reward: -226.769 | Steps:  6855 | Total Reward: -8844.00396343929|
| Episode:  40 | Epsilon:  0.21 | Reward: -123.03739607389534 | Average Reward: -224.176 | Steps:  6997 | Total Reward: -8967.041359513183|
| Episode:  41 | Epsilon:  0.21 | Reward: -291.8301510897154 | Average Reward: -225.826 | Steps:  7175 | Total Reward: -9258.871510602905|
| Episode:  42 | Epsilon:  0.20 | Reward: -73.88285636329475 | Average Reward: -222.208 | Steps:  7360 | Total Reward: -9332.754366966195|
| Episode:  43 | Epsilon:  0.20 | Reward: -95.36842255201482 | Average Reward: -219.259 | Steps:  7558 | Total Reward: -9428.122789518206|
| Episode:  44 | Epsilon:  0.19 | Reward: -113.0398712152656 | Average Reward: -216.845 | Steps:  7749 | Total Reward: -9541.16266073346|
| Episode:  45 | Epsilon:  0.19 | Reward: -340.7791835236758 | Average Reward: -219.599 | Steps:  7968 | Total Reward: -9881.941844257148|
| Episode:  46 | Epsilon:  0.18 | Reward: -70.68638073606999 | Average Reward: -216.361 | Steps:  8169 | Total Reward: -9952.628224993214|
| Episode:  47 | Epsilon:  0.18 | Reward: -228.1956132712559 | Average Reward: -216.613 | Steps:  8335 | Total Reward: -10180.823838264472|
| Episode:  48 | Epsilon:  0.18 | Reward: -304.3104114345205 | Average Reward: -218.440 | Steps:  8580 | Total Reward: -10485.134249698982|
| Episode:  49 | Epsilon:  0.17 | Reward: -63.578663207876346 | Average Reward: -215.280 | Steps:  8770 | Total Reward: -10548.71291290686|
