+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 1         |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -235.0934911919151 | Average Reward: -235.093 | Steps:   102 | Total Reward: -235.0934911919151|
| Episode:   2 | Epsilon:  0.86 | Reward: -212.11319741222286 | Average Reward: -223.603 | Steps:   197 | Total Reward: -447.20668860413724|
| Episode:   3 | Epsilon:  0.82 | Reward: -222.25119822704232 | Average Reward: -223.153 | Steps:   286 | Total Reward: -669.4578868311786|
| Episode:   4 | Epsilon:  0.79 | Reward: -116.5690007971852 | Average Reward: -196.507 | Steps:   381 | Total Reward: -786.0268876283633|
| Episode:   5 | Epsilon:  0.75 | Reward: -131.67752235651508 | Average Reward: -183.541 | Steps:   468 | Total Reward: -917.7044099848779|
| Episode:   6 | Epsilon:  0.72 | Reward: -148.45176370329375 | Average Reward: -177.693 | Steps:   575 | Total Reward: -1066.1561736881708|
| Episode:   7 | Epsilon:  0.69 | Reward: -150.7713705003382 | Average Reward: -173.847 | Steps:   636 | Total Reward: -1216.9275441885081|
| Episode:   8 | Epsilon:  0.66 | Reward: -114.6339747178006 | Average Reward: -166.445 | Steps:   694 | Total Reward: -1331.5615189063083|
| Episode:   9 | Epsilon:  0.64 | Reward: -188.82149696087583 | Average Reward: -168.931 | Steps:   771 | Total Reward: -1520.3830158671844|
| Episode:  10 | Epsilon:  0.61 | Reward: -131.21949268619252 | Average Reward: -165.160 | Steps:   839 | Total Reward: -1651.602508553376|
| Episode:  11 | Epsilon:  0.59 | Reward: -116.65726256746018 | Average Reward: -160.751 | Steps:   904 | Total Reward: -1768.259771120836|
