+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -369.04687719819435 | Average Reward: -369.047 | Steps:   107 | Total Reward: -369.04687719819435|
| Episode:   2 | Epsilon:  0.86 | Reward: -162.5258997786441 | Average Reward: -265.786 | Steps:   224 | Total Reward: -531.5727769768375|
| Episode:   3 | Epsilon:  0.82 | Reward: -141.58552789708386 | Average Reward: -224.386 | Steps:   305 | Total Reward: -673.1583048739205|
| Episode:   4 | Epsilon:  0.79 | Reward: -84.37357341042079 | Average Reward: -189.383 | Steps:   375 | Total Reward: -757.5318782843406|
| Episode:   5 | Epsilon:  0.75 | Reward: -307.61007051403624 | Average Reward: -213.028 | Steps:   439 | Total Reward: -1065.141948798376|
| Episode:   6 | Epsilon:  0.72 | Reward: -385.21422913680027 | Average Reward: -241.726 | Steps:   537 | Total Reward: -1450.3561779351749|
| Episode:   7 | Epsilon:  0.69 | Reward: -316.51420763341764 | Average Reward: -252.410 | Steps:   619 | Total Reward: -1766.8703855685924|
| Episode:   8 | Epsilon:  0.66 | Reward: -214.39409840515458 | Average Reward: -247.658 | Steps:   679 | Total Reward: -1981.2644839737472|
| Episode:   9 | Epsilon:  0.64 | Reward: -258.6180537057322 | Average Reward: -248.876 | Steps:   758 | Total Reward: -2239.8825376794794|
| Episode:  10 | Epsilon:  0.61 | Reward: -433.4191653876456 | Average Reward: -267.330 | Steps:   834 | Total Reward: -2673.3017030671244|
| Episode:  11 | Epsilon:  0.59 | Reward: -553.8638324534797 | Average Reward: -293.379 | Steps:   934 | Total Reward: -3227.1655355206035|
| Episode:  12 | Epsilon:  0.56 | Reward: -538.7819281483833 | Average Reward: -313.829 | Steps:  1006 | Total Reward: -3765.947463668986|
