+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 2500      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.300     |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -63.763122362372975 | Average Reward: -63.763 | Steps:   132 | Total Reward: -63.763122362372975|
| Episode:   2 | Epsilon:  0.86 | Reward: -115.95573499977513 | Average Reward: -89.859 | Steps:   207 | Total Reward: -179.71885736214807|
| Episode:   3 | Epsilon:  0.82 | Reward: -68.19658729688506 | Average Reward: -82.638 | Steps:   348 | Total Reward: -247.91544465903354|
| Episode:   4 | Epsilon:  0.79 | Reward: -364.3384673412653 | Average Reward: -153.063 | Steps:   440 | Total Reward: -612.2539120002982|
| Episode:   5 | Epsilon:  0.75 | Reward: -369.7033245417726 | Average Reward: -196.391 | Steps:   552 | Total Reward: -981.9572365420697|
| Episode:   6 | Epsilon:  0.72 | Reward: -103.47575277913184 | Average Reward: -180.905 | Steps:   778 | Total Reward: -1085.4329893212002|
| Episode:   7 | Epsilon:  0.69 | Reward: -441.17025082525936 | Average Reward: -218.086 | Steps:   908 | Total Reward: -1526.6032401464583|
| Episode:   8 | Epsilon:  0.66 | Reward: -179.61363767433295 | Average Reward: -213.277 | Steps:  1048 | Total Reward: -1706.2168778207906|
| Episode:   9 | Epsilon:  0.64 | Reward: -178.2703170922083 | Average Reward: -209.387 | Steps:  1164 | Total Reward: -1884.4871949129977|
| Episode:  10 | Epsilon:  0.61 | Reward: -293.8396972123397 | Average Reward: -217.833 | Steps:  1269 | Total Reward: -2178.3268921253375|
| Episode:  11 | Epsilon:  0.59 | Reward: -343.15022250424283 | Average Reward: -229.225 | Steps:  1423 | Total Reward: -2521.4771146295793|
| Episode:  12 | Epsilon:  0.56 | Reward: -395.42068743869527 | Average Reward: -243.075 | Steps:  1527 | Total Reward: -2916.897802068272|
| Episode:  13 | Epsilon:  0.54 | Reward: -462.56292891469195 | Average Reward: -259.959 | Steps:  1682 | Total Reward: -3379.460730982963|
| Episode:  14 | Epsilon:  0.52 | Reward: -466.6239703854436 | Average Reward: -274.720 | Steps:  1800 | Total Reward: -3846.084701368407|
| Episode:  15 | Epsilon:  0.50 | Reward: -336.55873010042274 | Average Reward: -278.843 | Steps:  1887 | Total Reward: -4182.643431468832|
| Episode:  16 | Epsilon:  0.48 | Reward: -333.2425409312518 | Average Reward: -282.243 | Steps:  1968 | Total Reward: -4515.8859724000795|
| Episode:  17 | Epsilon:  0.46 | Reward: -75.0075870178031 | Average Reward: -270.053 | Steps:  2053 | Total Reward: -4590.893559417879|
| Episode:  18 | Epsilon:  0.44 | Reward: 17.271327582324446 | Average Reward: -254.090 | Steps:  2163 | Total Reward: -4573.622231835547|
| Episode:  19 | Epsilon:  0.43 | Reward: -273.74543083479335 | Average Reward: -255.125 | Steps:  2276 | Total Reward: -4847.367662670342|
| Episode:  20 | Epsilon:  0.41 | Reward: -181.1044282900965 | Average Reward: -251.424 | Steps:  2381 | Total Reward: -5028.472090960438|
| Episode:  21 | Epsilon:  0.39 | Reward: -227.21057773504197 | Average Reward: -250.271 | Steps:  2531 | Total Reward: -5255.682668695478|
| Episode:  22 | Epsilon:  0.38 | Reward: -226.4469903255772 | Average Reward: -249.188 | Steps:  2643 | Total Reward: -5482.1296590210495|
| Episode:  23 | Epsilon:  0.37 | Reward: -174.88073127723123 | Average Reward: -245.957 | Steps:  2803 | Total Reward: -5657.010390298275|
| Episode:  24 | Epsilon:  0.35 | Reward: -199.53964685291362 | Average Reward: -244.023 | Steps:  3287 | Total Reward: -5856.550037151177|
| Episode:  25 | Epsilon:  0.34 | Reward: -18.651234197033276 | Average Reward: -235.008 | Steps:  3557 | Total Reward: -5875.20127134821|
| Episode:  26 | Epsilon:  0.33 | Reward: -211.2900182329799 | Average Reward: -234.096 | Steps:  3730 | Total Reward: -6086.4912895811885|
| Episode:  27 | Epsilon:  0.32 | Reward: -79.52375316285155 | Average Reward: -228.371 | Steps:  3940 | Total Reward: -6166.015042744037|
| Episode:  28 | Epsilon:  0.31 | Reward: -36.76577727140152 | Average Reward: -221.528 | Steps:  4099 | Total Reward: -6202.780820015441|
| Episode:  29 | Epsilon:  0.30 | Reward: -293.81439643915905 | Average Reward: -224.021 | Steps:  4280 | Total Reward: -6496.595216454597|
| Episode:  30 | Epsilon:  0.29 | Reward: 13.479099192007908 | Average Reward: -216.104 | Steps:  4412 | Total Reward: -6483.116117262593|
| Episode:  31 | Epsilon:  0.28 | Reward: -92.54745063678428 | Average Reward: -212.118 | Steps:  4660 | Total Reward: -6575.6635678993725|
| Episode:  32 | Epsilon:  0.27 | Reward: -302.44818143798665 | Average Reward: -214.941 | Steps:  4839 | Total Reward: -6878.11174933736|
| Episode:  33 | Epsilon:  0.26 | Reward: -447.29956327578395 | Average Reward: -221.982 | Steps:  5008 | Total Reward: -7325.411312613142|
| Episode:  34 | Epsilon:  0.25 | Reward: -104.10563646675146 | Average Reward: -218.515 | Steps:  5207 | Total Reward: -7429.516949079894|
| Episode:  35 | Epsilon:  0.25 | Reward: -38.2705763095088 | Average Reward: -213.365 | Steps:  5426 | Total Reward: -7467.787525389398|
| Episode:  36 | Epsilon:  0.24 | Reward: -62.06581365890915 | Average Reward: -209.163 | Steps:  5615 | Total Reward: -7529.853339048301|
| Episode:  37 | Epsilon:  0.23 | Reward: 34.4340670574818 | Average Reward: -202.579 | Steps:  5812 | Total Reward: -7495.419271990821|
| Episode:  38 | Epsilon:  0.23 | Reward: -256.6286977473241 | Average Reward: -204.001 | Steps:  6030 | Total Reward: -7752.04796973814|
| Episode:  39 | Epsilon:  0.22 | Reward: -55.432098752785464 | Average Reward: -200.192 | Steps:  6302 | Total Reward: -7807.480068490919|
| Episode:  40 | Epsilon:  0.21 | Reward: 62.639186880344226 | Average Reward: -193.621 | Steps:  7302 | Total Reward: -7744.840881610578|
| Episode:  41 | Epsilon:  0.21 | Reward: -80.95940921566009 | Average Reward: -190.873 | Steps:  7511 | Total Reward: -7825.800290826239|
| Episode:  42 | Epsilon:  0.20 | Reward: -7.962177616867166 | Average Reward: -186.518 | Steps:  7724 | Total Reward: -7833.762468443101|
| Episode:  43 | Epsilon:  0.20 | Reward: -252.4751441282541 | Average Reward: -188.052 | Steps:  7954 | Total Reward: -8086.237612571351|
| Episode:  44 | Epsilon:  0.19 | Reward: -109.29555312354768 | Average Reward: -186.262 | Steps:  8228 | Total Reward: -8195.533165694895|
| Episode:  45 | Epsilon:  0.19 | Reward: -125.26046148600003 | Average Reward: -184.907 | Steps:  8407 | Total Reward: -8320.793627180892|
| Episode:  46 | Epsilon:  0.18 | Reward: -225.96042611152018 | Average Reward: -185.799 | Steps:  8576 | Total Reward: -8546.754053292396|
| Episode:  47 | Epsilon:  0.18 | Reward: -101.83504460391153 | Average Reward: -184.013 | Steps:  8788 | Total Reward: -8648.589097896307|
| Episode:  48 | Epsilon:  0.18 | Reward: 24.326142351277213 | Average Reward: -179.672 | Steps:  8997 | Total Reward: -8624.26295554503|
| Episode:  49 | Epsilon:  0.17 | Reward: -237.99235753050064 | Average Reward: -180.862 | Steps:  9232 | Total Reward: -8862.255313075522|
| Episode:  50 | Epsilon:  0.17 | Reward: -252.1561691413726 | Average Reward: -182.288 | Steps:  9451 | Total Reward: -9114.411482216889|
| Episode:  51 | Epsilon:  0.17 | Reward: -246.67867351425238 | Average Reward: -183.551 | Steps:  9721 | Total Reward: -9361.090155731143|
| Episode:  52 | Epsilon:  0.16 | Reward: -214.48614439721123 | Average Reward: -184.146 | Steps: 10014 | Total Reward: -9575.576300128349|
| Episode:  53 | Epsilon:  0.16 | Reward: -229.19816247727098 | Average Reward: -184.996 | Steps: 10262 | Total Reward: -9804.774462605608|
| Episode:  54 | Epsilon:  0.16 | Reward: -89.6044765935275 | Average Reward: -183.229 | Steps: 10453 | Total Reward: -9894.378939199136|
| Episode:  55 | Epsilon:  0.15 | Reward: -233.7480237056597 | Average Reward: -184.148 | Steps: 10675 | Total Reward: -10128.126962904784|
| Episode:  56 | Epsilon:  0.15 | Reward: -68.13085792741747 | Average Reward: -182.076 | Steps: 10872 | Total Reward: -10196.257820832203|
| Episode:  57 | Epsilon:  0.15 | Reward: -154.79657410188304 | Average Reward: -181.597 | Steps: 11047 | Total Reward: -10351.05439493408|
| Episode:  58 | Epsilon:  0.15 | Reward: -72.12056314406314 | Average Reward: -179.710 | Steps: 11330 | Total Reward: -10423.174958078143|
| Episode:  59 | Epsilon:  0.14 | Reward: -216.9278458164177 | Average Reward: -180.341 | Steps: 11596 | Total Reward: -10640.102803894559|
| Episode:  60 | Epsilon:  0.14 | Reward: 32.862473828926596 | Average Reward: -176.787 | Steps: 11824 | Total Reward: -10607.240330065633|
| Episode:  61 | Epsilon:  0.14 | Reward: -64.29285853877819 | Average Reward: -174.943 | Steps: 12078 | Total Reward: -10671.533188604411|
| Episode:  62 | Epsilon:  0.14 | Reward: -204.67534600968474 | Average Reward: -175.423 | Steps: 12299 | Total Reward: -10876.208534614092|
| Episode:  63 | Epsilon:  0.14 | Reward: 12.435460803571758 | Average Reward: -172.441 | Steps: 12534 | Total Reward: -10863.773073810522|
| Episode:  64 | Epsilon:  0.13 | Reward: -89.32880082142088 | Average Reward: -171.142 | Steps: 12714 | Total Reward: -10953.101874631939|
| Episode:  65 | Epsilon:  0.13 | Reward: -207.8270962174849 | Average Reward: -171.707 | Steps: 12953 | Total Reward: -11160.928970849418|
| Episode:  66 | Epsilon:  0.13 | Reward: -191.35238452255442 | Average Reward: -172.004 | Steps: 13128 | Total Reward: -11352.281355371975|
| Episode:  67 | Epsilon:  0.13 | Reward: -10.897588749437745 | Average Reward: -169.600 | Steps: 13274 | Total Reward: -11363.178944121419|
