+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+----------+
|          Parameter           |  Value   |
+==============================+==========+
| Layer Type:                  | hopfield |
+------------------------------+----------+
| Loss Metric:                 | huber    |
+------------------------------+----------+
| Sequence Length:             | 20       |
+------------------------------+----------+
| Learning Rate:               | 0.010    |
+------------------------------+----------+
| Update Target Steps:         | 100      |
+------------------------------+----------+
| Optimizer:                   | rmsprop  |
+------------------------------+----------+
| Hopfield Inverse Temperature | 0.100    |
+------------------------------+----------+
| Big or Small Loss            | yes      |
+------------------------------+----------+
| Soft or Hard Update          | hard     |
+------------------------------+----------+
| Polyak Factor                | None     |
+------------------------------+----------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.75 | Reward:   1.0 | Average Reward: 1.000 | Steps:    48 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   2.0 | Average Reward: 1.500 | Steps:   105 | Total Reward:   3.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   2.0 | Average Reward: 1.667 | Steps:   167 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   2.0 | Average Reward: 1.750 | Steps:   219 | Total Reward:   7.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   2.0 | Average Reward: 1.800 | Steps:   271 | Total Reward:   9.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   2.0 | Average Reward: 1.833 | Steps:   325 | Total Reward:  11.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   3.0 | Average Reward: 2.000 | Steps:   396 | Total Reward:  14.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   2.0 | Average Reward: 2.000 | Steps:   455 | Total Reward:  16.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   2.0 | Average Reward: 2.000 | Steps:   509 | Total Reward:  18.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   3.0 | Average Reward: 2.100 | Steps:   578 | Total Reward:  21.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   2.0 | Average Reward: 2.091 | Steps:   630 | Total Reward:  23.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   1.0 | Average Reward: 2.000 | Steps:   674 | Total Reward:  24.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   5.0 | Average Reward: 2.231 | Steps:   778 | Total Reward:  29.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.214 | Steps:   833 | Total Reward:  31.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   3.0 | Average Reward: 2.267 | Steps:   901 | Total Reward:  34.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   0.0 | Average Reward: 2.125 | Steps:   929 | Total Reward:  34.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   3.0 | Average Reward: 2.176 | Steps:   997 | Total Reward:  37.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   0.0 | Average Reward: 2.056 | Steps:  1028 | Total Reward:  37.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 2.000 | Steps:  1076 | Total Reward:  38.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   4.0 | Average Reward: 2.100 | Steps:  1159 | Total Reward:  42.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   5.0 | Average Reward: 2.238 | Steps:  1261 | Total Reward:  47.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   7.0 | Average Reward: 2.455 | Steps:  1392 | Total Reward:  54.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.348 | Steps:  1424 | Total Reward:  54.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.250 | Steps:  1456 | Total Reward:  54.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.240 | Steps:  1514 | Total Reward:  56.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.231 | Steps:  1573 | Total Reward:  58.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.222 | Steps:  1630 | Total Reward:  60.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.143 | Steps:  1661 | Total Reward:  60.0|
