+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------+
|          Parameter           |      Value       |
+==============================+==================+
| Layer Type:                  | hopfield_pooling |
+------------------------------+------------------+
| Loss Metric:                 | huber            |
+------------------------------+------------------+
| Sequence Length:             | 20               |
+------------------------------+------------------+
| Learning Rate:               | 0.010            |
+------------------------------+------------------+
| Update Target Steps:         | 100              |
+------------------------------+------------------+
| Optimizer:                   | rmsprop          |
+------------------------------+------------------+
| Hopfield Inverse Temperature | 0.100            |
+------------------------------+------------------+
| Big or Small Loss            | yes              |
+------------------------------+------------------+
| Soft or Hard Update          | hard             |
+------------------------------+------------------+
| Polyak Factor                | None             |
+------------------------------+------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.75 | Reward:   1.0 | Average Reward: 1.000 | Steps:    42 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   1.0 | Average Reward: 1.000 | Steps:    89 | Total Reward:   2.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   3.0 | Average Reward: 1.667 | Steps:   163 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   1.0 | Average Reward: 1.500 | Steps:   203 | Total Reward:   6.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   2.0 | Average Reward: 1.600 | Steps:   261 | Total Reward:   8.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   1.0 | Average Reward: 1.500 | Steps:   308 | Total Reward:   9.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   1.0 | Average Reward: 1.429 | Steps:   350 | Total Reward:  10.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   0.0 | Average Reward: 1.250 | Steps:   384 | Total Reward:  10.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   0.0 | Average Reward: 1.111 | Steps:   417 | Total Reward:  10.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   2.0 | Average Reward: 1.200 | Steps:   469 | Total Reward:  12.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   1.0 | Average Reward: 1.182 | Steps:   508 | Total Reward:  13.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   0.0 | Average Reward: 1.083 | Steps:   539 | Total Reward:  13.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   1.0 | Average Reward: 1.077 | Steps:   582 | Total Reward:  14.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   1.0 | Average Reward: 1.071 | Steps:   623 | Total Reward:  15.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   2.0 | Average Reward: 1.133 | Steps:   673 | Total Reward:  17.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   0.0 | Average Reward: 1.062 | Steps:   706 | Total Reward:  17.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 1.059 | Steps:   750 | Total Reward:  18.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   0.0 | Average Reward: 1.000 | Steps:   783 | Total Reward:  18.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 1.000 | Steps:   825 | Total Reward:  19.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 1.050 | Steps:   878 | Total Reward:  21.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.048 | Steps:   921 | Total Reward:  22.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.045 | Steps:   964 | Total Reward:  23.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.043 | Steps:  1007 | Total Reward:  24.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.000 | Steps:  1038 | Total Reward:  24.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.040 | Steps:  1096 | Total Reward:  26.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.077 | Steps:  1156 | Total Reward:  28.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.111 | Steps:  1219 | Total Reward:  30.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.179 | Steps:  1300 | Total Reward:  33.0|
| Episode:  29 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.138 | Steps:  1332 | Total Reward:  33.0|
| Episode:  30 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.200 | Steps:  1407 | Total Reward:  36.0|
| Episode:  31 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.226 | Steps:  1466 | Total Reward:  38.0|
| Episode:  32 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.250 | Steps:  1522 | Total Reward:  40.0|
| Episode:  33 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.333 | Steps:  1612 | Total Reward:  44.0|
| Episode:  34 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.382 | Steps:  1686 | Total Reward:  47.0|
| Episode:  35 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.400 | Steps:  1744 | Total Reward:  49.0|
| Episode:  36 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.444 | Steps:  1817 | Total Reward:  52.0|
| Episode:  37 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.459 | Steps:  1880 | Total Reward:  54.0|
| Episode:  38 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.474 | Steps:  1943 | Total Reward:  56.0|
| Episode:  39 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.436 | Steps:  1974 | Total Reward:  56.0|
| Episode:  40 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.450 | Steps:  2031 | Total Reward:  58.0|
| Episode:  41 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.463 | Steps:  2089 | Total Reward:  60.0|
| Episode:  42 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.429 | Steps:  2123 | Total Reward:  60.0|
| Episode:  43 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.488 | Steps:  2215 | Total Reward:  64.0|
| Episode:  44 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.500 | Steps:  2279 | Total Reward:  66.0|
