+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------+
|          Parameter           |      Value       |
+==============================+==================+
| Layer Type:                  | hopfield_pooling |
+------------------------------+------------------+
| Loss Metric:                 | smooth_l1        |
+------------------------------+------------------+
| Sequence Length:             | 20               |
+------------------------------+------------------+
| Learning Rate:               | 0.000            |
+------------------------------+------------------+
| Update Target Steps:         | 5000             |
+------------------------------+------------------+
| Optimizer:                   | adamW            |
+------------------------------+------------------+
| Hopfield Inverse Temperature | 0.100            |
+------------------------------+------------------+
| Big or Small Loss            | no               |
+------------------------------+------------------+
| Soft or Hard Update          | soft             |
+------------------------------+------------------+
| Polyak Factor                | 0.500            |
+------------------------------+------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 2.000 | Steps:    57 | Total Reward:   2.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   4.0 | Average Reward: 3.000 | Steps:   146 | Total Reward:   6.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   5.0 | Average Reward: 3.667 | Steps:   244 | Total Reward:  11.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   5.0 | Average Reward: 4.000 | Steps:   351 | Total Reward:  16.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   2.0 | Average Reward: 3.600 | Steps:   406 | Total Reward:  18.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   4.0 | Average Reward: 3.667 | Steps:   495 | Total Reward:  22.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   3.0 | Average Reward: 3.571 | Steps:   568 | Total Reward:  25.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   2.0 | Average Reward: 3.375 | Steps:   626 | Total Reward:  27.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   0.0 | Average Reward: 3.000 | Steps:   657 | Total Reward:  27.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   4.0 | Average Reward: 3.100 | Steps:   750 | Total Reward:  31.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   0.0 | Average Reward: 2.818 | Steps:   782 | Total Reward:  31.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   0.0 | Average Reward: 2.583 | Steps:   816 | Total Reward:  31.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   0.0 | Average Reward: 2.385 | Steps:   847 | Total Reward:  31.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.357 | Steps:   903 | Total Reward:  33.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   4.0 | Average Reward: 2.467 | Steps:   993 | Total Reward:  37.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   2.0 | Average Reward: 2.438 | Steps:  1054 | Total Reward:  39.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 2.353 | Steps:  1095 | Total Reward:  40.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.333 | Steps:  1150 | Total Reward:  42.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   0.0 | Average Reward: 2.211 | Steps:  1177 | Total Reward:  42.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   3.0 | Average Reward: 2.250 | Steps:  1258 | Total Reward:  45.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.190 | Steps:  1303 | Total Reward:  46.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.136 | Steps:  1344 | Total Reward:  47.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.130 | Steps:  1408 | Total Reward:  49.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.208 | Steps:  1487 | Total Reward:  53.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.200 | Steps:  1545 | Total Reward:  55.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.154 | Steps:  1588 | Total Reward:  56.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.222 | Steps:  1670 | Total Reward:  60.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.179 | Steps:  1711 | Total Reward:  61.0|
| Episode:  29 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.172 | Steps:  1768 | Total Reward:  63.0|
