+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------+
|          Parameter           |      Value       |
+==============================+==================+
| Layer Type:                  | hopfield_pooling |
+------------------------------+------------------+
| Loss Metric:                 | smooth_l1        |
+------------------------------+------------------+
| Sequence Length:             | 20               |
+------------------------------+------------------+
| Learning Rate:               | 0.000            |
+------------------------------+------------------+
| Update Target Steps:         | 10000            |
+------------------------------+------------------+
| Optimizer:                   | adamW            |
+------------------------------+------------------+
| Hopfield Inverse Temperature | 0.100            |
+------------------------------+------------------+
| Big or Small Loss            | no               |
+------------------------------+------------------+
| Soft or Hard Update          | soft             |
+------------------------------+------------------+
| Polyak Factor                | 0.500            |
+------------------------------+------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.75 | Reward:   3.0 | Average Reward: 3.000 | Steps:    78 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   1.0 | Average Reward: 2.000 | Steps:   119 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   2.0 | Average Reward: 2.000 | Steps:   178 | Total Reward:   6.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   3.0 | Average Reward: 2.250 | Steps:   251 | Total Reward:   9.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   3.0 | Average Reward: 2.400 | Steps:   320 | Total Reward:  12.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   2.0 | Average Reward: 2.333 | Steps:   375 | Total Reward:  14.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   2.0 | Average Reward: 2.286 | Steps:   432 | Total Reward:  16.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   0.0 | Average Reward: 2.000 | Steps:   464 | Total Reward:  16.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   3.0 | Average Reward: 2.111 | Steps:   540 | Total Reward:  19.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   3.0 | Average Reward: 2.200 | Steps:   612 | Total Reward:  22.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   2.0 | Average Reward: 2.182 | Steps:   668 | Total Reward:  24.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   0.0 | Average Reward: 2.000 | Steps:   700 | Total Reward:  24.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.000 | Steps:   756 | Total Reward:  26.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.000 | Steps:   815 | Total Reward:  28.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   4.0 | Average Reward: 2.133 | Steps:   909 | Total Reward:  32.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   4.0 | Average Reward: 2.250 | Steps:   992 | Total Reward:  36.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 2.176 | Steps:  1039 | Total Reward:  37.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.167 | Steps:  1093 | Total Reward:  39.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   1.0 | Average Reward: 2.105 | Steps:  1142 | Total Reward:  40.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.100 | Steps:  1205 | Total Reward:  42.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.143 | Steps:  1273 | Total Reward:  45.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.136 | Steps:  1341 | Total Reward:  47.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.087 | Steps:  1390 | Total Reward:  48.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.083 | Steps:  1448 | Total Reward:  50.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 2.040 | Steps:  1494 | Total Reward:  51.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.962 | Steps:  1525 | Total Reward:  51.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.963 | Steps:  1581 | Total Reward:  53.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.929 | Steps:  1629 | Total Reward:  54.0|
| Episode:  29 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.966 | Steps:  1701 | Total Reward:  57.0|
| Episode:  30 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.900 | Steps:  1733 | Total Reward:  57.0|
| Episode:  31 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.839 | Steps:  1764 | Total Reward:  57.0|
| Episode:  32 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.875 | Steps:  1830 | Total Reward:  60.0|
| Episode:  33 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.879 | Steps:  1886 | Total Reward:  62.0|
| Episode:  34 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.912 | Steps:  1949 | Total Reward:  65.0|
| Episode:  35 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.943 | Steps:  2017 | Total Reward:  68.0|
| Episode:  36 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.944 | Steps:  2070 | Total Reward:  70.0|
| Episode:  37 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.919 | Steps:  2114 | Total Reward:  71.0|
| Episode:  38 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.921 | Steps:  2171 | Total Reward:  73.0|
| Episode:  39 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.923 | Steps:  2225 | Total Reward:  75.0|
| Episode:  40 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.900 | Steps:  2264 | Total Reward:  76.0|
| Episode:  41 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.854 | Steps:  2295 | Total Reward:  76.0|
| Episode:  42 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.810 | Steps:  2322 | Total Reward:  76.0|
| Episode:  43 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.814 | Steps:  2379 | Total Reward:  78.0|
| Episode:  44 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.773 | Steps:  2408 | Total Reward:  78.0|
| Episode:  45 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.756 | Steps:  2448 | Total Reward:  79.0|
| Episode:  46 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.761 | Steps:  2502 | Total Reward:  81.0|
| Episode:  47 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.745 | Steps:  2545 | Total Reward:  82.0|
| Episode:  48 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.708 | Steps:  2576 | Total Reward:  82.0|
| Episode:  49 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.735 | Steps:  2645 | Total Reward:  85.0|
| Episode:  50 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.700 | Steps:  2678 | Total Reward:  85.0|
| Episode:  51 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.667 | Steps:  2708 | Total Reward:  85.0|
| Episode:  52 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.654 | Steps:  2748 | Total Reward:  86.0|
| Episode:  53 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.660 | Steps:  2803 | Total Reward:  88.0|
| Episode:  54 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.667 | Steps:  2857 | Total Reward:  90.0|
| Episode:  55 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.655 | Steps:  2896 | Total Reward:  91.0|
| Episode:  56 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.625 | Steps:  2926 | Total Reward:  91.0|
| Episode:  57 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.632 | Steps:  2981 | Total Reward:  93.0|
| Episode:  58 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.621 | Steps:  3026 | Total Reward:  94.0|
| Episode:  59 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.610 | Steps:  3068 | Total Reward:  95.0|
| Episode:  60 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.633 | Steps:  3150 | Total Reward:  98.0|
| Episode:  61 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.639 | Steps:  3207 | Total Reward: 100.0|
| Episode:  62 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.645 | Steps:  3264 | Total Reward: 102.0|
| Episode:  63 | Epsilon:  0.10 | Reward:   6.0 | Average Reward: 1.714 | Steps:  3376 | Total Reward: 108.0|
| Episode:  64 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.719 | Steps:  3432 | Total Reward: 110.0|
| Episode:  65 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.723 | Steps:  3487 | Total Reward: 112.0|
| Episode:  66 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.758 | Steps:  3577 | Total Reward: 116.0|
| Episode:  67 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.776 | Steps:  3652 | Total Reward: 119.0|
| Episode:  68 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.779 | Steps:  3707 | Total Reward: 121.0|
| Episode:  69 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.768 | Steps:  3749 | Total Reward: 122.0|
| Episode:  70 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.786 | Steps:  3815 | Total Reward: 125.0|
| Episode:  71 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.775 | Steps:  3863 | Total Reward: 126.0|
| Episode:  72 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.792 | Steps:  3935 | Total Reward: 129.0|
| Episode:  73 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.795 | Steps:  3996 | Total Reward: 131.0|
| Episode:  74 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.824 | Steps:  4093 | Total Reward: 135.0|
| Episode:  75 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.827 | Steps:  4147 | Total Reward: 137.0|
| Episode:  76 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.803 | Steps:  4178 | Total Reward: 137.0|
| Episode:  77 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.818 | Steps:  4249 | Total Reward: 140.0|
| Episode:  78 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.833 | Steps:  4318 | Total Reward: 143.0|
| Episode:  79 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.810 | Steps:  4349 | Total Reward: 143.0|
| Episode:  80 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.800 | Steps:  4395 | Total Reward: 144.0|
| Episode:  81 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.790 | Steps:  4441 | Total Reward: 145.0|
| Episode:  82 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.780 | Steps:  4484 | Total Reward: 146.0|
| Episode:  83 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.771 | Steps:  4523 | Total Reward: 147.0|
| Episode:  84 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.762 | Steps:  4565 | Total Reward: 148.0|
| Episode:  85 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.741 | Steps:  4597 | Total Reward: 148.0|
| Episode:  86 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.733 | Steps:  4638 | Total Reward: 149.0|
| Episode:  87 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.713 | Steps:  4670 | Total Reward: 149.0|
| Episode:  88 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.727 | Steps:  4744 | Total Reward: 152.0|
| Episode:  89 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.753 | Steps:  4826 | Total Reward: 156.0|
| Episode:  90 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.744 | Steps:  4873 | Total Reward: 157.0|
| Episode:  91 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.747 | Steps:  4931 | Total Reward: 159.0|
| Episode:  92 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.739 | Steps:  4968 | Total Reward: 160.0|
| Episode:  93 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.731 | Steps:  5014 | Total Reward: 161.0|
| Episode:  94 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.723 | Steps:  5061 | Total Reward: 162.0|
| Episode:  95 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.716 | Steps:  5101 | Total Reward: 163.0|
| Episode:  96 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.719 | Steps:  5167 | Total Reward: 165.0|
| Episode:  97 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.701 | Steps:  5197 | Total Reward: 165.0|
| Episode:  98 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.684 | Steps:  5232 | Total Reward: 165.0|
| Episode:  99 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.707 | Steps:  5319 | Total Reward: 169.0|
| Episode: 100 | Epsilon:  0.10 | Reward:   1.0 | Average Reward: 1.700 | Steps:  5359 | Total Reward: 170.0|
