+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Layer Type:                  | hopfield  |
+------------------------------+-----------+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.500     |
+------------------------------+-----------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 2.000 | Steps:    50 | Total Reward:   2.0|
| Episode:   2 | Epsilon:  0.86 | Reward:   3.0 | Average Reward: 2.500 | Steps:   124 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.85 | Reward:   4.0 | Average Reward: 3.000 | Steps:   220 | Total Reward:   9.0|
| Episode:   4 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 2.250 | Steps:   251 | Total Reward:   9.0|
| Episode:   5 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 2.200 | Steps:   305 | Total Reward:  11.0|
| Episode:   6 | Epsilon:  0.79 | Reward:   1.0 | Average Reward: 2.000 | Steps:   352 | Total Reward:  12.0|
| Episode:   7 | Epsilon:  0.77 | Reward:   2.0 | Average Reward: 2.000 | Steps:   417 | Total Reward:  14.0|
| Episode:   8 | Epsilon:  0.76 | Reward:   2.0 | Average Reward: 2.000 | Steps:   475 | Total Reward:  16.0|
| Episode:   9 | Epsilon:  0.74 | Reward:   0.0 | Average Reward: 1.778 | Steps:   505 | Total Reward:  16.0|
| Episode:  10 | Epsilon:  0.73 | Reward:   0.0 | Average Reward: 1.600 | Steps:   537 | Total Reward:  16.0|
| Episode:  11 | Epsilon:  0.71 | Reward:   3.0 | Average Reward: 1.727 | Steps:   612 | Total Reward:  19.0|
| Episode:  12 | Epsilon:  0.70 | Reward:   4.0 | Average Reward: 1.917 | Steps:   693 | Total Reward:  23.0|
| Episode:  13 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 1.846 | Steps:   739 | Total Reward:  24.0|
