+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+----------+
|          Parameter           |  Value   |
+==============================+==========+
| Layer Type:                  | hopfield |
+------------------------------+----------+
| Loss Metric:                 | huber    |
+------------------------------+----------+
| Sequence Length:             | 20       |
+------------------------------+----------+
| Learning Rate:               | 0.001    |
+------------------------------+----------+
| Update Target Steps:         | 100      |
+------------------------------+----------+
| Optimizer:                   | adamW    |
+------------------------------+----------+
| Hopfield Inverse Temperature | 0.100    |
+------------------------------+----------+
| Big or Small Loss            | yes      |
+------------------------------+----------+
| Soft or Hard Update          | hard     |
+------------------------------+----------+
| Polyak Factor                | None     |
+------------------------------+----------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.88 | Reward:   3.0 | Average Reward: 3.000 | Steps:    70 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.86 | Reward:   1.0 | Average Reward: 2.000 | Steps:   114 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.85 | Reward:   1.0 | Average Reward: 1.667 | Steps:   158 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.83 | Reward:   5.0 | Average Reward: 2.500 | Steps:   257 | Total Reward:  10.0|
| Episode:   5 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 2.400 | Steps:   316 | Total Reward:  12.0|
| Episode:   6 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 2.000 | Steps:   348 | Total Reward:  12.0|
| Episode:   7 | Epsilon:  0.77 | Reward:   1.0 | Average Reward: 1.857 | Steps:   393 | Total Reward:  13.0|
| Episode:   8 | Epsilon:  0.76 | Reward:   3.0 | Average Reward: 2.000 | Steps:   467 | Total Reward:  16.0|
| Episode:   9 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 2.000 | Steps:   525 | Total Reward:  18.0|
| Episode:  10 | Epsilon:  0.73 | Reward:   1.0 | Average Reward: 1.900 | Steps:   570 | Total Reward:  19.0|
| Episode:  11 | Epsilon:  0.71 | Reward:   2.0 | Average Reward: 1.909 | Steps:   630 | Total Reward:  21.0|
| Episode:  12 | Epsilon:  0.70 | Reward:   2.0 | Average Reward: 1.917 | Steps:   685 | Total Reward:  23.0|
| Episode:  13 | Epsilon:  0.68 | Reward:   2.0 | Average Reward: 1.923 | Steps:   748 | Total Reward:  25.0|
| Episode:  14 | Epsilon:  0.67 | Reward:   2.0 | Average Reward: 1.929 | Steps:   803 | Total Reward:  27.0|
| Episode:  15 | Epsilon:  0.65 | Reward:   3.0 | Average Reward: 2.000 | Steps:   878 | Total Reward:  30.0|
| Episode:  16 | Epsilon:  0.64 | Reward:   1.0 | Average Reward: 1.938 | Steps:   926 | Total Reward:  31.0|
| Episode:  17 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.941 | Steps:   990 | Total Reward:  33.0|
| Episode:  18 | Epsilon:  0.61 | Reward:   2.0 | Average Reward: 1.944 | Steps:  1046 | Total Reward:  35.0|
| Episode:  19 | Epsilon:  0.60 | Reward:   2.0 | Average Reward: 1.947 | Steps:  1102 | Total Reward:  37.0|
| Episode:  20 | Epsilon:  0.59 | Reward:   4.0 | Average Reward: 2.050 | Steps:  1194 | Total Reward:  41.0|
| Episode:  21 | Epsilon:  0.58 | Reward:   1.0 | Average Reward: 2.000 | Steps:  1235 | Total Reward:  42.0|
