+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Layer Type:                  | hopfield  |
+------------------------------+-----------+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.000     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.500     |
+------------------------------+-----------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:   0.0 | Average Reward: 0.000 | Steps:    32 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.90 | Reward:   1.0 | Average Reward: 0.500 | Steps:    78 | Total Reward:   1.0|
| Episode:   3 | Epsilon:  0.89 | Reward:   4.0 | Average Reward: 1.667 | Steps:   161 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.500 | Steps:   208 | Total Reward:   6.0|
| Episode:   5 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 1.200 | Steps:   241 | Total Reward:   6.0|
| Episode:   6 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.167 | Steps:   282 | Total Reward:   7.0|
| Episode:   7 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 1.000 | Steps:   311 | Total Reward:   7.0|
| Episode:   8 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 1.125 | Steps:   366 | Total Reward:   9.0|
| Episode:   9 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 1.111 | Steps:   413 | Total Reward:  10.0|
| Episode:  10 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 1.100 | Steps:   454 | Total Reward:  11.0|
| Episode:  11 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 1.182 | Steps:   515 | Total Reward:  13.0|
| Episode:  12 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 1.083 | Steps:   543 | Total Reward:  13.0|
| Episode:  13 | Epsilon:  0.87 | Reward:   3.0 | Average Reward: 1.231 | Steps:   624 | Total Reward:  16.0|
| Episode:  14 | Epsilon:  0.87 | Reward:   4.0 | Average Reward: 1.429 | Steps:   709 | Total Reward:  20.0|
| Episode:  15 | Epsilon:  0.87 | Reward:   1.0 | Average Reward: 1.400 | Steps:   759 | Total Reward:  21.0|
