+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Layer Type:                  | hopfield  |
+------------------------------+-----------+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 5000      |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.100     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | hard      |
+------------------------------+-----------+
| Polyak Factor                | None      |
+------------------------------+-----------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:   1.0 | Average Reward: 1.000 | Steps:    42 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.90 | Reward:   1.0 | Average Reward: 1.000 | Steps:    89 | Total Reward:   2.0|
| Episode:   3 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.000 | Steps:   131 | Total Reward:   3.0|
| Episode:   4 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 1.250 | Steps:   184 | Total Reward:   5.0|
| Episode:   5 | Epsilon:  0.89 | Reward:   3.0 | Average Reward: 1.600 | Steps:   252 | Total Reward:   8.0|
| Episode:   6 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 1.333 | Steps:   286 | Total Reward:   8.0|
| Episode:   7 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 1.429 | Steps:   339 | Total Reward:  10.0|
| Episode:   8 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 1.375 | Steps:   384 | Total Reward:  11.0|
| Episode:   9 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 1.222 | Steps:   417 | Total Reward:  11.0|
| Episode:  10 | Epsilon:  0.88 | Reward:   4.0 | Average Reward: 1.500 | Steps:   506 | Total Reward:  15.0|
| Episode:  11 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 1.364 | Steps:   535 | Total Reward:  15.0|
| Episode:  12 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 1.417 | Steps:   599 | Total Reward:  17.0|
| Episode:  13 | Epsilon:  0.87 | Reward:   1.0 | Average Reward: 1.385 | Steps:   641 | Total Reward:  18.0|
| Episode:  14 | Epsilon:  0.87 | Reward:   0.0 | Average Reward: 1.286 | Steps:   671 | Total Reward:  18.0|
| Episode:  15 | Epsilon:  0.87 | Reward:   0.0 | Average Reward: 1.200 | Steps:   704 | Total Reward:  18.0|
| Episode:  16 | Epsilon:  0.87 | Reward:   3.0 | Average Reward: 1.312 | Steps:   780 | Total Reward:  21.0|
