+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------+
|          Parameter           |      Value       |
+==============================+==================+
| Layer Type:                  | hopfield_pooling |
+------------------------------+------------------+
| Loss Metric:                 | huber            |
+------------------------------+------------------+
| Sequence Length:             | 20               |
+------------------------------+------------------+
| Learning Rate:               | 0.001            |
+------------------------------+------------------+
| Update Target Steps:         | 100              |
+------------------------------+------------------+
| Optimizer:                   | rmsprop          |
+------------------------------+------------------+
| Hopfield Inverse Temperature | 0.100            |
+------------------------------+------------------+
| Big or Small Loss            | yes              |
+------------------------------+------------------+
| Soft or Hard Update          | hard             |
+------------------------------+------------------+
| Polyak Factor                | None             |
+------------------------------+------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:  37.0 | Average Reward: 37.000 | Steps:    37 | Total Reward:  37.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  11.0 | Average Reward: 24.000 | Steps:    48 | Total Reward:  48.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  17.0 | Average Reward: 21.667 | Steps:    65 | Total Reward:  65.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  14.0 | Average Reward: 19.750 | Steps:    79 | Total Reward:  79.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  12.0 | Average Reward: 18.200 | Steps:    91 | Total Reward:  91.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  13.0 | Average Reward: 17.333 | Steps:   104 | Total Reward: 104.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  16.0 | Average Reward: 17.143 | Steps:   120 | Total Reward: 120.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  21.0 | Average Reward: 17.625 | Steps:   141 | Total Reward: 141.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  13.0 | Average Reward: 17.111 | Steps:   154 | Total Reward: 154.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  17.0 | Average Reward: 17.100 | Steps:   171 | Total Reward: 171.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  13.0 | Average Reward: 16.727 | Steps:   184 | Total Reward: 184.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  19.0 | Average Reward: 16.917 | Steps:   203 | Total Reward: 203.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  10.0 | Average Reward: 16.385 | Steps:   213 | Total Reward: 213.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  31.0 | Average Reward: 17.429 | Steps:   244 | Total Reward: 244.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  13.0 | Average Reward: 17.133 | Steps:   257 | Total Reward: 257.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  23.0 | Average Reward: 17.500 | Steps:   280 | Total Reward: 280.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  15.0 | Average Reward: 17.353 | Steps:   295 | Total Reward: 295.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  16.0 | Average Reward: 17.278 | Steps:   311 | Total Reward: 311.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  12.0 | Average Reward: 17.000 | Steps:   323 | Total Reward: 323.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  11.0 | Average Reward: 16.700 | Steps:   334 | Total Reward: 334.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  11.0 | Average Reward: 16.429 | Steps:   345 | Total Reward: 345.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 16.136 | Steps:   355 | Total Reward: 355.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  15.0 | Average Reward: 16.087 | Steps:   370 | Total Reward: 370.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  13.0 | Average Reward: 15.958 | Steps:   383 | Total Reward: 383.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  18.0 | Average Reward: 16.040 | Steps:   401 | Total Reward: 401.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 15.769 | Steps:   410 | Total Reward: 410.0|
| Episode:  27 | Epsilon:  0.32 | Reward:   9.0 | Average Reward: 15.519 | Steps:   419 | Total Reward: 419.0|
| Episode:  28 | Epsilon:  0.31 | Reward:   9.0 | Average Reward: 15.286 | Steps:   428 | Total Reward: 428.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  11.0 | Average Reward: 15.138 | Steps:   439 | Total Reward: 439.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  10.0 | Average Reward: 14.967 | Steps:   449 | Total Reward: 449.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  13.0 | Average Reward: 14.903 | Steps:   462 | Total Reward: 462.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  11.0 | Average Reward: 14.781 | Steps:   473 | Total Reward: 473.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 14.636 | Steps:   483 | Total Reward: 483.0|
| Episode:  34 | Epsilon:  0.25 | Reward:  16.0 | Average Reward: 14.676 | Steps:   499 | Total Reward: 499.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  10.0 | Average Reward: 14.543 | Steps:   509 | Total Reward: 509.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  12.0 | Average Reward: 14.472 | Steps:   521 | Total Reward: 521.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 14.378 | Steps:   532 | Total Reward: 532.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 14.289 | Steps:   543 | Total Reward: 543.0|
| Episode:  39 | Epsilon:  0.22 | Reward:   9.0 | Average Reward: 14.154 | Steps:   552 | Total Reward: 552.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 14.075 | Steps:   563 | Total Reward: 563.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 14.000 | Steps:   574 | Total Reward: 574.0|
