+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+---------------------------------------------+
|          Parameter           |                    Value                    |
+==============================+=============================================+
| Layer Type:                  | gru                                         |
+------------------------------+---------------------------------------------+
| Loss Metric:                 | huber                                       |
+------------------------------+---------------------------------------------+
| Sequence Length:             | 20                                          |
+------------------------------+---------------------------------------------+
| Learning Rate:               | 0.010                                       |
+------------------------------+---------------------------------------------+
| Target Update Steps:         | 100                                         |
+------------------------------+---------------------------------------------+
| Optimizer:                   | rmsprop                                     |
+------------------------------+---------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                       |
+------------------------------+---------------------------------------------+
| Scale Q-values with lr       | True                                        |
+------------------------------+---------------------------------------------+
| Hard or Soft Update          | True                                        |
+------------------------------+---------------------------------------------+
| Polyak Factor                | None                                        |
+------------------------------+---------------------------------------------+
| Make POMDP                   | Train: True, Hidden dims: [1], mask         |
|                              | Evaluation: True, Hidden dims: [1, 2], mask |
+------------------------------+---------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:  28.0 | Average Reward: 28.000 | Steps:    28 | Total Reward:  28.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  18.0 | Average Reward: 23.000 | Steps:    46 | Total Reward:  46.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  11.0 | Average Reward: 19.000 | Steps:    57 | Total Reward:  57.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  23.0 | Average Reward: 20.000 | Steps:    80 | Total Reward:  80.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  12.0 | Average Reward: 18.400 | Steps:    92 | Total Reward:  92.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  10.0 | Average Reward: 17.000 | Steps:   102 | Total Reward: 102.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  17.0 | Average Reward: 17.000 | Steps:   119 | Total Reward: 119.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  50.0 | Average Reward: 21.125 | Steps:   169 | Total Reward: 169.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  13.0 | Average Reward: 20.222 | Steps:   182 | Total Reward: 182.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  30.0 | Average Reward: 21.200 | Steps:   212 | Total Reward: 212.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  11.0 | Average Reward: 20.273 | Steps:   223 | Total Reward: 223.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  10.0 | Average Reward: 19.417 | Steps:   233 | Total Reward: 233.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  10.0 | Average Reward: 18.692 | Steps:   243 | Total Reward: 243.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  12.0 | Average Reward: 18.214 | Steps:   255 | Total Reward: 255.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  23.0 | Average Reward: 18.533 | Steps:   278 | Total Reward: 278.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  11.0 | Average Reward: 18.062 | Steps:   289 | Total Reward: 289.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  15.0 | Average Reward: 17.882 | Steps:   304 | Total Reward: 304.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  10.0 | Average Reward: 17.444 | Steps:   314 | Total Reward: 314.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  13.0 | Average Reward: 17.211 | Steps:   327 | Total Reward: 327.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  11.0 | Average Reward: 16.900 | Steps:   338 | Total Reward: 338.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  13.0 | Average Reward: 16.714 | Steps:   351 | Total Reward: 351.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 16.409 | Steps:   361 | Total Reward: 361.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  10.0 | Average Reward: 16.130 | Steps:   371 | Total Reward: 371.0|
| Episode:  24 | Epsilon:  0.35 | Reward:   9.0 | Average Reward: 15.833 | Steps:   380 | Total Reward: 380.0|
| Episode:  25 | Epsilon:  0.34 | Reward:   9.0 | Average Reward: 15.560 | Steps:   389 | Total Reward: 389.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 15.308 | Steps:   398 | Total Reward: 398.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  10.0 | Average Reward: 15.111 | Steps:   408 | Total Reward: 408.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  11.0 | Average Reward: 14.964 | Steps:   419 | Total Reward: 419.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  15.0 | Average Reward: 14.966 | Steps:   434 | Total Reward: 434.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  14.0 | Average Reward: 14.933 | Steps:   448 | Total Reward: 448.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  10.0 | Average Reward: 14.774 | Steps:   458 | Total Reward: 458.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  10.0 | Average Reward: 14.625 | Steps:   468 | Total Reward: 468.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 14.485 | Steps:   478 | Total Reward: 478.0|
| Episode:  34 | Epsilon:  0.25 | Reward:  11.0 | Average Reward: 14.382 | Steps:   489 | Total Reward: 489.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  13.0 | Average Reward: 14.343 | Steps:   502 | Total Reward: 502.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  10.0 | Average Reward: 14.222 | Steps:   512 | Total Reward: 512.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  10.0 | Average Reward: 14.108 | Steps:   522 | Total Reward: 522.0|
