+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+---------------------------------------------+
|          Parameter           |                    Value                    |
+==============================+=============================================+
| Layer Type:                  | lstm                                        |
+------------------------------+---------------------------------------------+
| Loss Metric:                 | mse                                         |
+------------------------------+---------------------------------------------+
| Sequence Length:             | 20                                          |
+------------------------------+---------------------------------------------+
| Learning Rate:               | 0.001                                       |
+------------------------------+---------------------------------------------+
| Target Update Steps:         | 100                                         |
+------------------------------+---------------------------------------------+
| Optimizer:                   | rmsprop                                     |
+------------------------------+---------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                       |
+------------------------------+---------------------------------------------+
| Scale Q-values with lr       | False                                       |
+------------------------------+---------------------------------------------+
| Hard or Soft Update          | True                                        |
+------------------------------+---------------------------------------------+
| Polyak Factor                | None                                        |
+------------------------------+---------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask        |
|                              | Evaluation: True, Hidden dims: [1, 2], mask |
+------------------------------+---------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:  11.0 | Average Reward: 11.000 | Steps:    11 | Total Reward:  11.0|
| Episode:   2 | Epsilon:  0.86 | Reward:   9.0 | Average Reward: 10.000 | Steps:    20 | Total Reward:  20.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  15.0 | Average Reward: 11.667 | Steps:    35 | Total Reward:  35.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  36.0 | Average Reward: 17.750 | Steps:    71 | Total Reward:  71.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  15.0 | Average Reward: 17.200 | Steps:    86 | Total Reward:  86.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  19.0 | Average Reward: 17.500 | Steps:   105 | Total Reward: 105.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  30.0 | Average Reward: 19.286 | Steps:   135 | Total Reward: 135.0|
| Episode:   8 | Epsilon:  0.66 | Reward:   9.0 | Average Reward: 18.000 | Steps:   144 | Total Reward: 144.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  11.0 | Average Reward: 17.222 | Steps:   155 | Total Reward: 155.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  16.0 | Average Reward: 17.100 | Steps:   171 | Total Reward: 171.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  18.0 | Average Reward: 17.182 | Steps:   189 | Total Reward: 189.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  19.0 | Average Reward: 17.333 | Steps:   208 | Total Reward: 208.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  12.0 | Average Reward: 16.923 | Steps:   220 | Total Reward: 220.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  11.0 | Average Reward: 16.500 | Steps:   231 | Total Reward: 231.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  15.0 | Average Reward: 16.400 | Steps:   246 | Total Reward: 246.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  11.0 | Average Reward: 16.062 | Steps:   257 | Total Reward: 257.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  16.0 | Average Reward: 16.059 | Steps:   273 | Total Reward: 273.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  14.0 | Average Reward: 15.944 | Steps:   287 | Total Reward: 287.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  14.0 | Average Reward: 15.842 | Steps:   301 | Total Reward: 301.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  11.0 | Average Reward: 15.600 | Steps:   312 | Total Reward: 312.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  11.0 | Average Reward: 15.381 | Steps:   323 | Total Reward: 323.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  11.0 | Average Reward: 15.182 | Steps:   334 | Total Reward: 334.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  19.0 | Average Reward: 15.348 | Steps:   353 | Total Reward: 353.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  12.0 | Average Reward: 15.208 | Steps:   365 | Total Reward: 365.0|
| Episode:  25 | Epsilon:  0.34 | Reward:   8.0 | Average Reward: 14.920 | Steps:   373 | Total Reward: 373.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  13.0 | Average Reward: 14.846 | Steps:   386 | Total Reward: 386.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  12.0 | Average Reward: 14.741 | Steps:   398 | Total Reward: 398.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  16.0 | Average Reward: 14.786 | Steps:   414 | Total Reward: 414.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  11.0 | Average Reward: 14.655 | Steps:   425 | Total Reward: 425.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  11.0 | Average Reward: 14.533 | Steps:   436 | Total Reward: 436.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  10.0 | Average Reward: 14.387 | Steps:   446 | Total Reward: 446.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  11.0 | Average Reward: 14.281 | Steps:   457 | Total Reward: 457.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  11.0 | Average Reward: 14.182 | Steps:   468 | Total Reward: 468.0|
| Episode:  34 | Epsilon:  0.25 | Reward:  10.0 | Average Reward: 14.059 | Steps:   478 | Total Reward: 478.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  18.0 | Average Reward: 14.171 | Steps:   496 | Total Reward: 496.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  13.0 | Average Reward: 14.139 | Steps:   509 | Total Reward: 509.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 14.054 | Steps:   520 | Total Reward: 520.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  10.0 | Average Reward: 13.947 | Steps:   530 | Total Reward: 530.0|
| Episode:  39 | Epsilon:  0.22 | Reward:   9.0 | Average Reward: 13.821 | Steps:   539 | Total Reward: 539.0|
