+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | huber                                     |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 1000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.75 | Reward:   3.0 | Average Reward: 3.000 | Steps:    80 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.61 | Reward:   3.0 | Average Reward: 3.000 | Steps:   154 | Total Reward:   6.0|
| Episode:   3 | Epsilon:  0.50 | Reward:   2.0 | Average Reward: 2.667 | Steps:   212 | Total Reward:   8.0|
| Episode:   4 | Epsilon:  0.41 | Reward:   2.0 | Average Reward: 2.500 | Steps:   269 | Total Reward:  10.0|
| Episode:   5 | Epsilon:  0.34 | Reward:   1.0 | Average Reward: 2.200 | Steps:   316 | Total Reward:  11.0|
| Episode:   6 | Epsilon:  0.29 | Reward:   0.0 | Average Reward: 1.833 | Steps:   348 | Total Reward:  11.0|
| Episode:   7 | Epsilon:  0.25 | Reward:   0.0 | Average Reward: 1.571 | Steps:   382 | Total Reward:  11.0|
| Episode:   8 | Epsilon:  0.21 | Reward:   3.0 | Average Reward: 1.750 | Steps:   467 | Total Reward:  14.0|
| Episode:   9 | Epsilon:  0.19 | Reward:   2.0 | Average Reward: 1.778 | Steps:   526 | Total Reward:  16.0|
| Episode:  10 | Epsilon:  0.17 | Reward:   2.0 | Average Reward: 1.800 | Steps:   582 | Total Reward:  18.0|
| Episode:  11 | Epsilon:  0.15 | Reward:   2.0 | Average Reward: 1.818 | Steps:   640 | Total Reward:  20.0|
| Episode:  12 | Epsilon:  0.14 | Reward:   2.0 | Average Reward: 1.833 | Steps:   696 | Total Reward:  22.0|
| Episode:  13 | Epsilon:  0.13 | Reward:   4.0 | Average Reward: 2.000 | Steps:   786 | Total Reward:  26.0|
| Episode:  14 | Epsilon:  0.13 | Reward:   2.0 | Average Reward: 2.000 | Steps:   843 | Total Reward:  28.0|
| Episode:  15 | Epsilon:  0.12 | Reward:   3.0 | Average Reward: 2.067 | Steps:   917 | Total Reward:  31.0|
| Episode:  16 | Epsilon:  0.12 | Reward:   4.0 | Average Reward: 2.188 | Steps:  1005 | Total Reward:  35.0|
| Episode:  17 | Epsilon:  0.11 | Reward:   3.0 | Average Reward: 2.235 | Steps:  1081 | Total Reward:  38.0|
| Episode:  18 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.222 | Steps:  1137 | Total Reward:  40.0|
| Episode:  19 | Epsilon:  0.11 | Reward:   5.0 | Average Reward: 2.368 | Steps:  1243 | Total Reward:  45.0|
| Episode:  20 | Epsilon:  0.11 | Reward:   2.0 | Average Reward: 2.350 | Steps:  1300 | Total Reward:  47.0|
| Episode:  21 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.381 | Steps:  1372 | Total Reward:  50.0|
| Episode:  22 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.273 | Steps:  1405 | Total Reward:  50.0|
| Episode:  23 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.261 | Steps:  1462 | Total Reward:  52.0|
| Episode:  24 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.292 | Steps:  1540 | Total Reward:  55.0|
| Episode:  25 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.200 | Steps:  1574 | Total Reward:  55.0|
| Episode:  26 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.115 | Steps:  1606 | Total Reward:  55.0|
| Episode:  27 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.037 | Steps:  1636 | Total Reward:  55.0|
| Episode:  28 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.071 | Steps:  1711 | Total Reward:  58.0|
| Episode:  29 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.069 | Steps:  1769 | Total Reward:  60.0|
| Episode:  30 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.100 | Steps:  1842 | Total Reward:  63.0|
| Episode:  31 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.129 | Steps:  1914 | Total Reward:  66.0|
| Episode:  32 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.125 | Steps:  1973 | Total Reward:  68.0|
| Episode:  33 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.121 | Steps:  2029 | Total Reward:  70.0|
| Episode:  34 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.176 | Steps:  2118 | Total Reward:  74.0|
| Episode:  35 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.200 | Steps:  2199 | Total Reward:  77.0|
| Episode:  36 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.250 | Steps:  2299 | Total Reward:  81.0|
| Episode:  37 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.189 | Steps:  2332 | Total Reward:  81.0|
| Episode:  38 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.132 | Steps:  2365 | Total Reward:  81.0|
| Episode:  39 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.154 | Steps:  2439 | Total Reward:  84.0|
| Episode:  40 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.150 | Steps:  2496 | Total Reward:  86.0|
| Episode:  41 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.171 | Steps:  2569 | Total Reward:  89.0|
| Episode:  42 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.190 | Steps:  2640 | Total Reward:  92.0|
| Episode:  43 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.186 | Steps:  2697 | Total Reward:  94.0|
| Episode:  44 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.136 | Steps:  2730 | Total Reward:  94.0|
| Episode:  45 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.089 | Steps:  2763 | Total Reward:  94.0|
| Episode:  46 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.087 | Steps:  2822 | Total Reward:  96.0|
| Episode:  47 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.106 | Steps:  2895 | Total Reward:  99.0|
| Episode:  48 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.062 | Steps:  2928 | Total Reward:  99.0|
| Episode:  49 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.082 | Steps:  3003 | Total Reward: 102.0|
| Episode:  50 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.100 | Steps:  3076 | Total Reward: 105.0|
| Episode:  51 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.098 | Steps:  3135 | Total Reward: 107.0|
| Episode:  52 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.058 | Steps:  3168 | Total Reward: 107.0|
| Episode:  53 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.019 | Steps:  3202 | Total Reward: 107.0|
| Episode:  54 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.019 | Steps:  3262 | Total Reward: 109.0|
| Episode:  55 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.055 | Steps:  3352 | Total Reward: 113.0|
| Episode:  56 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.018 | Steps:  3382 | Total Reward: 113.0|
| Episode:  57 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.018 | Steps:  3437 | Total Reward: 115.0|
| Episode:  58 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.983 | Steps:  3469 | Total Reward: 115.0|
| Episode:  59 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.983 | Steps:  3527 | Total Reward: 117.0|
| Episode:  60 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.950 | Steps:  3561 | Total Reward: 117.0|
| Episode:  61 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.967 | Steps:  3632 | Total Reward: 120.0|
| Episode:  62 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.984 | Steps:  3706 | Total Reward: 123.0|
| Episode:  63 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.952 | Steps:  3737 | Total Reward: 123.0|
| Episode:  64 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.984 | Steps:  3829 | Total Reward: 127.0|
| Episode:  65 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.985 | Steps:  3887 | Total Reward: 129.0|
| Episode:  66 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.985 | Steps:  3944 | Total Reward: 131.0|
| Episode:  67 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.985 | Steps:  4003 | Total Reward: 133.0|
| Episode:  68 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.000 | Steps:  4071 | Total Reward: 136.0|
| Episode:  69 | Epsilon:  0.10 | Reward:   5.0 | Average Reward: 2.043 | Steps:  4178 | Total Reward: 141.0|
| Episode:  70 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.071 | Steps:  4270 | Total Reward: 145.0|
| Episode:  71 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.070 | Steps:  4328 | Total Reward: 147.0|
| Episode:  72 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.042 | Steps:  4361 | Total Reward: 147.0|
| Episode:  73 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.055 | Steps:  4436 | Total Reward: 150.0|
| Episode:  74 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.054 | Steps:  4496 | Total Reward: 152.0|
| Episode:  75 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.027 | Steps:  4529 | Total Reward: 152.0|
| Episode:  76 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.039 | Steps:  4603 | Total Reward: 155.0|
| Episode:  77 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.013 | Steps:  4634 | Total Reward: 155.0|
| Episode:  78 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.013 | Steps:  4693 | Total Reward: 157.0|
| Episode:  79 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.025 | Steps:  4769 | Total Reward: 160.0|
| Episode:  80 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.000 | Steps:  4801 | Total Reward: 160.0|
| Episode:  81 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.000 | Steps:  4861 | Total Reward: 162.0|
| Episode:  82 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.000 | Steps:  4922 | Total Reward: 164.0|
| Episode:  83 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.000 | Steps:  4981 | Total Reward: 166.0|
| Episode:  84 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.024 | Steps:  5069 | Total Reward: 170.0|
| Episode:  85 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.035 | Steps:  5142 | Total Reward: 173.0|
| Episode:  86 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.012 | Steps:  5175 | Total Reward: 173.0|
| Episode:  87 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.023 | Steps:  5251 | Total Reward: 176.0|
| Episode:  88 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.023 | Steps:  5309 | Total Reward: 178.0|
| Episode:  89 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.022 | Steps:  5369 | Total Reward: 180.0|
| Episode:  90 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.022 | Steps:  5425 | Total Reward: 182.0|
| Episode:  91 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.022 | Steps:  5482 | Total Reward: 184.0|
| Episode:  92 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.000 | Steps:  5515 | Total Reward: 184.0|
| Episode:  93 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.011 | Steps:  5590 | Total Reward: 187.0|
| Episode:  94 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.989 | Steps:  5621 | Total Reward: 187.0|
| Episode:  95 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.989 | Steps:  5679 | Total Reward: 189.0|
| Episode:  96 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.010 | Steps:  5768 | Total Reward: 193.0|
| Episode:  97 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.031 | Steps:  5859 | Total Reward: 197.0|
| Episode:  98 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.041 | Steps:  5933 | Total Reward: 200.0|
| Episode:  99 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.040 | Steps:  5989 | Total Reward: 202.0|
| Episode: 100 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.020 | Steps:  6022 | Total Reward: 202.0|
| Episode: 101 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.990 | Steps:  6056 | Total Reward: 202.0|
| Episode: 102 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.960 | Steps:  6089 | Total Reward: 202.0|
| Episode: 103 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.940 | Steps:  6121 | Total Reward: 202.0|
| Episode: 104 | Epsilon:  0.10 | Reward:   5.0 | Average Reward: 1.970 | Steps:  6227 | Total Reward: 207.0|
| Episode: 105 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.990 | Steps:  6301 | Total Reward: 210.0|
| Episode: 106 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.010 | Steps:  6361 | Total Reward: 212.0|
| Episode: 107 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.030 | Steps:  6420 | Total Reward: 214.0|
| Episode: 108 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.030 | Steps:  6494 | Total Reward: 217.0|
| Episode: 109 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.030 | Steps:  6552 | Total Reward: 219.0|
| Episode: 110 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 2.040 | Steps:  6626 | Total Reward: 222.0|
| Episode: 111 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 2.060 | Steps:  6715 | Total Reward: 226.0|
| Episode: 112 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 2.060 | Steps:  6773 | Total Reward: 228.0|
| Episode: 113 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.020 | Steps:  6804 | Total Reward: 228.0|
| Episode: 114 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 2.000 | Steps:  6839 | Total Reward: 228.0|
| Episode: 115 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.990 | Steps:  6895 | Total Reward: 230.0|
| Episode: 116 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.970 | Steps:  6952 | Total Reward: 232.0|
| Episode: 117 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.940 | Steps:  6987 | Total Reward: 232.0|
| Episode: 118 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.940 | Steps:  7044 | Total Reward: 234.0|
| Episode: 119 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.890 | Steps:  7074 | Total Reward: 234.0|
| Episode: 120 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.890 | Steps:  7132 | Total Reward: 236.0|
| Episode: 121 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.880 | Steps:  7190 | Total Reward: 238.0|
| Episode: 122 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.900 | Steps:  7247 | Total Reward: 240.0|
| Episode: 123 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.910 | Steps:  7321 | Total Reward: 243.0|
| Episode: 124 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.900 | Steps:  7378 | Total Reward: 245.0|
| Episode: 125 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.920 | Steps:  7435 | Total Reward: 247.0|
| Episode: 126 | Epsilon:  0.10 | Reward:   5.0 | Average Reward: 1.970 | Steps:  7544 | Total Reward: 252.0|
| Episode: 127 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.990 | Steps:  7603 | Total Reward: 254.0|
| Episode: 128 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.980 | Steps:  7661 | Total Reward: 256.0|
| Episode: 129 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.960 | Steps:  7693 | Total Reward: 256.0|
| Episode: 130 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.950 | Steps:  7750 | Total Reward: 258.0|
| Episode: 131 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.950 | Steps:  7822 | Total Reward: 261.0|
| Episode: 132 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.930 | Steps:  7856 | Total Reward: 261.0|
| Episode: 133 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.940 | Steps:  7929 | Total Reward: 264.0|
| Episode: 134 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.920 | Steps:  7987 | Total Reward: 266.0|
| Episode: 135 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.910 | Steps:  8047 | Total Reward: 268.0|
| Episode: 136 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.900 | Steps:  8121 | Total Reward: 271.0|
| Episode: 137 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.920 | Steps:  8180 | Total Reward: 273.0|
| Episode: 138 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.940 | Steps:  8237 | Total Reward: 275.0|
| Episode: 139 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.910 | Steps:  8269 | Total Reward: 275.0|
| Episode: 140 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.920 | Steps:  8344 | Total Reward: 278.0|
| Episode: 141 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.890 | Steps:  8377 | Total Reward: 278.0|
| Episode: 142 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.860 | Steps:  8410 | Total Reward: 278.0|
| Episode: 143 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.840 | Steps:  8444 | Total Reward: 278.0|
| Episode: 144 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.870 | Steps:  8519 | Total Reward: 281.0|
| Episode: 145 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.910 | Steps:  8609 | Total Reward: 285.0|
| Episode: 146 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.910 | Steps:  8667 | Total Reward: 287.0|
| Episode: 147 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.880 | Steps:  8700 | Total Reward: 287.0|
| Episode: 148 | Epsilon:  0.10 | Reward:   4.0 | Average Reward: 1.920 | Steps:  8791 | Total Reward: 291.0|
| Episode: 149 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.910 | Steps:  8849 | Total Reward: 293.0|
| Episode: 150 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.900 | Steps:  8907 | Total Reward: 295.0|
| Episode: 151 | Epsilon:  0.10 | Reward:   0.0 | Average Reward: 1.880 | Steps:  8941 | Total Reward: 295.0|
| Episode: 152 | Epsilon:  0.10 | Reward:   3.0 | Average Reward: 1.910 | Steps:  9014 | Total Reward: 298.0|
| Episode: 153 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.930 | Steps:  9074 | Total Reward: 300.0|
| Episode: 154 | Epsilon:  0.10 | Reward:   6.0 | Average Reward: 1.970 | Steps:  9193 | Total Reward: 306.0|
| Episode: 155 | Epsilon:  0.10 | Reward:   2.0 | Average Reward: 1.950 | Steps:  9252 | Total Reward: 308.0|
