+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | huber                                     |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 100                                       |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.88 | Reward:   3.0 | Average Reward: 3.000 | Steps:    75 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.86 | Reward:   1.0 | Average Reward: 2.000 | Steps:   119 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.85 | Reward:   1.0 | Average Reward: 1.667 | Steps:   169 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.83 | Reward:   1.0 | Average Reward: 1.500 | Steps:   211 | Total Reward:   6.0|
| Episode:   5 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.600 | Steps:   265 | Total Reward:   8.0|
| Episode:   6 | Epsilon:  0.79 | Reward:   2.0 | Average Reward: 1.667 | Steps:   327 | Total Reward:  10.0|
| Episode:   7 | Epsilon:  0.77 | Reward:   0.0 | Average Reward: 1.429 | Steps:   357 | Total Reward:  10.0|
| Episode:   8 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.250 | Steps:   391 | Total Reward:  10.0|
| Episode:   9 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.333 | Steps:   453 | Total Reward:  12.0|
| Episode:  10 | Epsilon:  0.73 | Reward:   3.0 | Average Reward: 1.500 | Steps:   524 | Total Reward:  15.0|
| Episode:  11 | Epsilon:  0.71 | Reward:   0.0 | Average Reward: 1.364 | Steps:   557 | Total Reward:  15.0|
| Episode:  12 | Epsilon:  0.70 | Reward:   1.0 | Average Reward: 1.333 | Steps:   596 | Total Reward:  16.0|
| Episode:  13 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 1.308 | Steps:   635 | Total Reward:  17.0|
| Episode:  14 | Epsilon:  0.67 | Reward:   2.0 | Average Reward: 1.357 | Steps:   691 | Total Reward:  19.0|
| Episode:  15 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.333 | Steps:   738 | Total Reward:  20.0|
| Episode:  16 | Epsilon:  0.64 | Reward:   1.0 | Average Reward: 1.312 | Steps:   786 | Total Reward:  21.0|
| Episode:  17 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.353 | Steps:   841 | Total Reward:  23.0|
| Episode:  18 | Epsilon:  0.61 | Reward:   2.0 | Average Reward: 1.389 | Steps:   898 | Total Reward:  25.0|
| Episode:  19 | Epsilon:  0.60 | Reward:   0.0 | Average Reward: 1.316 | Steps:   928 | Total Reward:  25.0|
| Episode:  20 | Epsilon:  0.59 | Reward:   0.0 | Average Reward: 1.250 | Steps:   962 | Total Reward:  25.0|
| Episode:  21 | Epsilon:  0.58 | Reward:   0.0 | Average Reward: 1.190 | Steps:   993 | Total Reward:  25.0|
| Episode:  22 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 1.136 | Steps:  1025 | Total Reward:  25.0|
| Episode:  23 | Epsilon:  0.55 | Reward:   2.0 | Average Reward: 1.174 | Steps:  1083 | Total Reward:  27.0|
| Episode:  24 | Epsilon:  0.54 | Reward:   5.0 | Average Reward: 1.333 | Steps:  1175 | Total Reward:  32.0|
| Episode:  25 | Epsilon:  0.53 | Reward:   0.0 | Average Reward: 1.280 | Steps:  1207 | Total Reward:  32.0|
| Episode:  26 | Epsilon:  0.52 | Reward:   2.0 | Average Reward: 1.308 | Steps:  1264 | Total Reward:  34.0|
| Episode:  27 | Epsilon:  0.51 | Reward:   3.0 | Average Reward: 1.370 | Steps:  1338 | Total Reward:  37.0|
| Episode:  28 | Epsilon:  0.50 | Reward:   2.0 | Average Reward: 1.393 | Steps:  1399 | Total Reward:  39.0|
| Episode:  29 | Epsilon:  0.49 | Reward:   2.0 | Average Reward: 1.414 | Steps:  1455 | Total Reward:  41.0|
| Episode:  30 | Epsilon:  0.48 | Reward:   3.0 | Average Reward: 1.467 | Steps:  1527 | Total Reward:  44.0|
| Episode:  31 | Epsilon:  0.47 | Reward:   3.0 | Average Reward: 1.516 | Steps:  1600 | Total Reward:  47.0|
