+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | gru                                       |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | mse                                       |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 5000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 2.000 | Steps:    55 | Total Reward:   2.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   3.0 | Average Reward: 2.500 | Steps:   123 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 1.667 | Steps:   156 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 1.750 | Steps:   216 | Total Reward:   7.0|
| Episode:   5 | Epsilon:  0.84 | Reward:   2.0 | Average Reward: 1.800 | Steps:   272 | Total Reward:   9.0|
| Episode:   6 | Epsilon:  0.83 | Reward:   1.0 | Average Reward: 1.667 | Steps:   313 | Total Reward:  10.0|
| Episode:   7 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.714 | Steps:   376 | Total Reward:  12.0|
| Episode:   8 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 1.625 | Steps:   418 | Total Reward:  13.0|
| Episode:   9 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 1.444 | Steps:   451 | Total Reward:  13.0|
| Episode:  10 | Epsilon:  0.78 | Reward:   3.0 | Average Reward: 1.600 | Steps:   525 | Total Reward:  16.0|
| Episode:  11 | Epsilon:  0.77 | Reward:   3.0 | Average Reward: 1.727 | Steps:   600 | Total Reward:  19.0|
| Episode:  12 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.583 | Steps:   631 | Total Reward:  19.0|
| Episode:  13 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 1.615 | Steps:   685 | Total Reward:  21.0|
| Episode:  14 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.643 | Steps:   740 | Total Reward:  23.0|
| Episode:  15 | Epsilon:  0.73 | Reward:   2.0 | Average Reward: 1.667 | Steps:   795 | Total Reward:  25.0|
| Episode:  16 | Epsilon:  0.71 | Reward:   4.0 | Average Reward: 1.812 | Steps:   879 | Total Reward:  29.0|
| Episode:  17 | Epsilon:  0.70 | Reward:   2.0 | Average Reward: 1.824 | Steps:   935 | Total Reward:  31.0|
| Episode:  18 | Epsilon:  0.69 | Reward:   0.0 | Average Reward: 1.722 | Steps:   965 | Total Reward:  31.0|
| Episode:  19 | Epsilon:  0.68 | Reward:   3.0 | Average Reward: 1.789 | Steps:  1038 | Total Reward:  34.0|
| Episode:  20 | Epsilon:  0.68 | Reward:   2.0 | Average Reward: 1.800 | Steps:  1093 | Total Reward:  36.0|
| Episode:  21 | Epsilon:  0.67 | Reward:   2.0 | Average Reward: 1.810 | Steps:  1161 | Total Reward:  38.0|
| Episode:  22 | Epsilon:  0.66 | Reward:   2.0 | Average Reward: 1.818 | Steps:  1214 | Total Reward:  40.0|
| Episode:  23 | Epsilon:  0.65 | Reward:   3.0 | Average Reward: 1.870 | Steps:  1288 | Total Reward:  43.0|
| Episode:  24 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.792 | Steps:  1323 | Total Reward:  43.0|
| Episode:  25 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.800 | Steps:  1375 | Total Reward:  45.0|
| Episode:  26 | Epsilon:  0.62 | Reward:   4.0 | Average Reward: 1.885 | Steps:  1465 | Total Reward:  49.0|
| Episode:  27 | Epsilon:  0.61 | Reward:   3.0 | Average Reward: 1.926 | Steps:  1538 | Total Reward:  52.0|
| Episode:  28 | Epsilon:  0.60 | Reward:   3.0 | Average Reward: 1.964 | Steps:  1613 | Total Reward:  55.0|
| Episode:  29 | Epsilon:  0.60 | Reward:   6.0 | Average Reward: 2.103 | Steps:  1732 | Total Reward:  61.0|
| Episode:  30 | Epsilon:  0.59 | Reward:   3.0 | Average Reward: 2.133 | Steps:  1805 | Total Reward:  64.0|
| Episode:  31 | Epsilon:  0.58 | Reward:   2.0 | Average Reward: 2.129 | Steps:  1860 | Total Reward:  66.0|
| Episode:  32 | Epsilon:  0.57 | Reward:   2.0 | Average Reward: 2.125 | Steps:  1917 | Total Reward:  68.0|
| Episode:  33 | Epsilon:  0.56 | Reward:   2.0 | Average Reward: 2.121 | Steps:  1974 | Total Reward:  70.0|
| Episode:  34 | Epsilon:  0.56 | Reward:   2.0 | Average Reward: 2.118 | Steps:  2030 | Total Reward:  72.0|
| Episode:  35 | Epsilon:  0.55 | Reward:   3.0 | Average Reward: 2.143 | Steps:  2103 | Total Reward:  75.0|
| Episode:  36 | Epsilon:  0.54 | Reward:   2.0 | Average Reward: 2.139 | Steps:  2160 | Total Reward:  77.0|
| Episode:  37 | Epsilon:  0.53 | Reward:   3.0 | Average Reward: 2.162 | Steps:  2234 | Total Reward:  80.0|
| Episode:  38 | Epsilon:  0.53 | Reward:   3.0 | Average Reward: 2.184 | Steps:  2307 | Total Reward:  83.0|
| Episode:  39 | Epsilon:  0.52 | Reward:   2.0 | Average Reward: 2.179 | Steps:  2367 | Total Reward:  85.0|
| Episode:  40 | Epsilon:  0.51 | Reward:   5.0 | Average Reward: 2.250 | Steps:  2471 | Total Reward:  90.0|
