+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | mse                                       |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 5000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | rmsprop                                   |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | yes                                       |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.000 | Steps:   161 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   5.0 | Average Reward: 3.000 | Steps:   499 | Total Reward:   6.0|
| Episode:   3 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 2.000 | Steps:   614 | Total Reward:   6.0|
| Episode:   4 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.500 | Steps:   725 | Total Reward:   6.0|
| Episode:   5 | Epsilon:  0.84 | Reward:   0.0 | Average Reward: 1.200 | Steps:   840 | Total Reward:   6.0|
| Episode:   6 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.000 | Steps:   951 | Total Reward:   6.0|
| Episode:   7 | Epsilon:  0.81 | Reward:   4.0 | Average Reward: 1.429 | Steps:  1238 | Total Reward:  10.0|
| Episode:   8 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.250 | Steps:  1351 | Total Reward:  10.0|
| Episode:   9 | Epsilon:  0.79 | Reward:   6.0 | Average Reward: 1.778 | Steps:  1762 | Total Reward:  16.0|
| Episode:  10 | Epsilon:  0.78 | Reward:   6.0 | Average Reward: 2.200 | Steps:  2152 | Total Reward:  22.0|
| Episode:  11 | Epsilon:  0.77 | Reward:   5.0 | Average Reward: 2.455 | Steps:  2488 | Total Reward:  27.0|
| Episode:  12 | Epsilon:  0.76 | Reward:   2.0 | Average Reward: 2.417 | Steps:  2676 | Total Reward:  29.0|
| Episode:  13 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 2.385 | Steps:  2862 | Total Reward:  31.0|
| Episode:  14 | Epsilon:  0.74 | Reward:   0.0 | Average Reward: 2.214 | Steps:  2975 | Total Reward:  31.0|
| Episode:  15 | Epsilon:  0.73 | Reward:   0.0 | Average Reward: 2.067 | Steps:  3090 | Total Reward:  31.0|
| Episode:  16 | Epsilon:  0.71 | Reward:   0.0 | Average Reward: 1.938 | Steps:  3205 | Total Reward:  31.0|
| Episode:  17 | Epsilon:  0.70 | Reward:   0.0 | Average Reward: 1.824 | Steps:  3316 | Total Reward:  31.0|
| Episode:  18 | Epsilon:  0.69 | Reward:   8.0 | Average Reward: 2.167 | Steps:  3761 | Total Reward:  39.0|
| Episode:  19 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 2.053 | Steps:  3876 | Total Reward:  39.0|
| Episode:  20 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 1.950 | Steps:  3991 | Total Reward:  39.0|
| Episode:  21 | Epsilon:  0.67 | Reward:   6.0 | Average Reward: 2.143 | Steps:  4381 | Total Reward:  45.0|
| Episode:  22 | Epsilon:  0.66 | Reward:   4.0 | Average Reward: 2.227 | Steps:  4668 | Total Reward:  49.0|
| Episode:  23 | Epsilon:  0.65 | Reward:   0.0 | Average Reward: 2.130 | Steps:  4783 | Total Reward:  49.0|
| Episode:  24 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 2.042 | Steps:  4898 | Total Reward:  49.0|
| Episode:  25 | Epsilon:  0.63 | Reward:   6.0 | Average Reward: 2.200 | Steps:  5288 | Total Reward:  55.0|
| Episode:  26 | Epsilon:  0.62 | Reward:   7.0 | Average Reward: 2.385 | Steps:  5708 | Total Reward:  62.0|
| Episode:  27 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 2.296 | Steps:  5823 | Total Reward:  62.0|
| Episode:  28 | Epsilon:  0.60 | Reward:   6.0 | Average Reward: 2.429 | Steps:  6213 | Total Reward:  68.0|
| Episode:  29 | Epsilon:  0.60 | Reward:   6.0 | Average Reward: 2.552 | Steps:  6603 | Total Reward:  74.0|
| Episode:  30 | Epsilon:  0.59 | Reward:   0.0 | Average Reward: 2.467 | Steps:  6716 | Total Reward:  74.0|
| Episode:  31 | Epsilon:  0.58 | Reward:   0.0 | Average Reward: 2.387 | Steps:  6827 | Total Reward:  74.0|
| Episode:  32 | Epsilon:  0.57 | Reward:   0.0 | Average Reward: 2.312 | Steps:  6942 | Total Reward:  74.0|
| Episode:  33 | Epsilon:  0.56 | Reward:   6.0 | Average Reward: 2.424 | Steps:  7332 | Total Reward:  80.0|
| Episode:  34 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 2.353 | Steps:  7447 | Total Reward:  80.0|
| Episode:  35 | Epsilon:  0.55 | Reward:   0.0 | Average Reward: 2.286 | Steps:  7560 | Total Reward:  80.0|
| Episode:  36 | Epsilon:  0.54 | Reward:   6.0 | Average Reward: 2.389 | Steps:  7950 | Total Reward:  86.0|
| Episode:  37 | Epsilon:  0.53 | Reward:   2.0 | Average Reward: 2.378 | Steps:  8138 | Total Reward:  88.0|
| Episode:  38 | Epsilon:  0.53 | Reward:   6.0 | Average Reward: 2.474 | Steps:  8528 | Total Reward:  94.0|
| Episode:  39 | Epsilon:  0.52 | Reward:   0.0 | Average Reward: 2.410 | Steps:  8643 | Total Reward:  94.0|
| Episode:  40 | Epsilon:  0.51 | Reward:   0.0 | Average Reward: 2.350 | Steps:  8758 | Total Reward:  94.0|
| Episode:  41 | Epsilon:  0.51 | Reward:   0.0 | Average Reward: 2.293 | Steps:  8871 | Total Reward:  94.0|
| Episode:  42 | Epsilon:  0.50 | Reward:   6.0 | Average Reward: 2.381 | Steps:  9261 | Total Reward: 100.0|
| Episode:  43 | Epsilon:  0.49 | Reward:   5.0 | Average Reward: 2.442 | Steps:  9599 | Total Reward: 105.0|
| Episode:  44 | Epsilon:  0.49 | Reward:   0.0 | Average Reward: 2.386 | Steps:  9712 | Total Reward: 105.0|
| Episode:  45 | Epsilon:  0.48 | Reward:   5.0 | Average Reward: 2.444 | Steps: 10048 | Total Reward: 110.0|
| Episode:  46 | Epsilon:  0.47 | Reward:   0.0 | Average Reward: 2.391 | Steps: 10161 | Total Reward: 110.0|
| Episode:  47 | Epsilon:  0.47 | Reward:   2.0 | Average Reward: 2.383 | Steps: 10345 | Total Reward: 112.0|
| Episode:  48 | Epsilon:  0.46 | Reward:   0.0 | Average Reward: 2.333 | Steps: 10460 | Total Reward: 112.0|
| Episode:  49 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 2.286 | Steps: 10575 | Total Reward: 112.0|
| Episode:  50 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 2.240 | Steps: 10688 | Total Reward: 112.0|
| Episode:  51 | Epsilon:  0.44 | Reward:   0.0 | Average Reward: 2.196 | Steps: 10799 | Total Reward: 112.0|
| Episode:  52 | Epsilon:  0.44 | Reward:   0.0 | Average Reward: 2.154 | Steps: 10914 | Total Reward: 112.0|
| Episode:  53 | Epsilon:  0.43 | Reward:   0.0 | Average Reward: 2.113 | Steps: 11027 | Total Reward: 112.0|
| Episode:  54 | Epsilon:  0.43 | Reward:   0.0 | Average Reward: 2.074 | Steps: 11142 | Total Reward: 112.0|
| Episode:  55 | Epsilon:  0.42 | Reward:   4.0 | Average Reward: 2.109 | Steps: 11425 | Total Reward: 116.0|
