+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+-------------------------------------------+
|          Parameter           |                   Value                   |
+==============================+===========================================+
| Layer Type:                  | hopfield_pooling                          |
+------------------------------+-------------------------------------------+
| Loss Metric:                 | smooth_l1                                 |
+------------------------------+-------------------------------------------+
| Sequence Length:             | 20                                        |
+------------------------------+-------------------------------------------+
| Learning Rate:               | 0.000                                     |
+------------------------------+-------------------------------------------+
| Target Update Steps:         | 5000                                      |
+------------------------------+-------------------------------------------+
| Optimizer:                   | adamW                                     |
+------------------------------+-------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                     |
+------------------------------+-------------------------------------------+
| Scale Q-values with lr       | no                                        |
+------------------------------+-------------------------------------------+
| Hard or Soft Update          | hard                                      |
+------------------------------+-------------------------------------------+
| Polyak Factor                | None                                      |
+------------------------------+-------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask      |
|                              | Evaluation: False, Hidden dims: [1], mask |
+------------------------------+-------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   115 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 0.000 | Steps:   230 | Total Reward:   0.0|
| Episode:   3 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 0.000 | Steps:   343 | Total Reward:   0.0|
| Episode:   4 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 0.000 | Steps:   456 | Total Reward:   0.0|
| Episode:   5 | Epsilon:  0.84 | Reward:   2.0 | Average Reward: 0.400 | Steps:   623 | Total Reward:   2.0|
| Episode:   6 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 0.333 | Steps:   738 | Total Reward:   2.0|
| Episode:   7 | Epsilon:  0.81 | Reward:   0.0 | Average Reward: 0.286 | Steps:   851 | Total Reward:   2.0|
| Episode:   8 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 0.250 | Steps:   966 | Total Reward:   2.0|
| Episode:   9 | Epsilon:  0.79 | Reward:   5.0 | Average Reward: 0.778 | Steps:  1283 | Total Reward:   7.0|
| Episode:  10 | Epsilon:  0.78 | Reward:   4.0 | Average Reward: 1.100 | Steps:  1588 | Total Reward:  11.0|
| Episode:  11 | Epsilon:  0.77 | Reward:   1.0 | Average Reward: 1.091 | Steps:  1745 | Total Reward:  12.0|
| Episode:  12 | Epsilon:  0.76 | Reward:   1.0 | Average Reward: 1.083 | Steps:  1904 | Total Reward:  13.0|
| Episode:  13 | Epsilon:  0.75 | Reward:   0.0 | Average Reward: 1.000 | Steps:  2017 | Total Reward:  13.0|
| Episode:  14 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.071 | Steps:  2205 | Total Reward:  15.0|
| Episode:  15 | Epsilon:  0.73 | Reward:   0.0 | Average Reward: 1.000 | Steps:  2318 | Total Reward:  15.0|
| Episode:  16 | Epsilon:  0.71 | Reward:   1.0 | Average Reward: 1.000 | Steps:  2479 | Total Reward:  16.0|
| Episode:  17 | Epsilon:  0.70 | Reward:   1.0 | Average Reward: 1.000 | Steps:  2641 | Total Reward:  17.0|
| Episode:  18 | Epsilon:  0.69 | Reward:   0.0 | Average Reward: 0.944 | Steps:  2754 | Total Reward:  17.0|
| Episode:  19 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 0.947 | Steps:  2897 | Total Reward:  18.0|
| Episode:  20 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 0.900 | Steps:  3010 | Total Reward:  18.0|
| Episode:  21 | Epsilon:  0.67 | Reward:   2.0 | Average Reward: 0.952 | Steps:  3219 | Total Reward:  20.0|
| Episode:  22 | Epsilon:  0.66 | Reward:   2.0 | Average Reward: 1.000 | Steps:  3411 | Total Reward:  22.0|
| Episode:  23 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.000 | Steps:  3575 | Total Reward:  23.0|
| Episode:  24 | Epsilon:  0.64 | Reward:   3.0 | Average Reward: 1.083 | Steps:  3777 | Total Reward:  26.0|
| Episode:  25 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.120 | Steps:  3987 | Total Reward:  28.0|
| Episode:  26 | Epsilon:  0.62 | Reward:   1.0 | Average Reward: 1.115 | Steps:  4149 | Total Reward:  29.0|
| Episode:  27 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 1.074 | Steps:  4262 | Total Reward:  29.0|
| Episode:  28 | Epsilon:  0.60 | Reward:   2.0 | Average Reward: 1.107 | Steps:  4452 | Total Reward:  31.0|
| Episode:  29 | Epsilon:  0.60 | Reward:   0.0 | Average Reward: 1.069 | Steps:  4567 | Total Reward:  31.0|
| Episode:  30 | Epsilon:  0.59 | Reward:   3.0 | Average Reward: 1.133 | Steps:  4805 | Total Reward:  34.0|
| Episode:  31 | Epsilon:  0.58 | Reward:   4.0 | Average Reward: 1.226 | Steps:  5073 | Total Reward:  38.0|
| Episode:  32 | Epsilon:  0.57 | Reward:   0.0 | Average Reward: 1.188 | Steps:  5186 | Total Reward:  38.0|
| Episode:  33 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 1.152 | Steps:  5301 | Total Reward:  38.0|
| Episode:  34 | Epsilon:  0.56 | Reward:   2.0 | Average Reward: 1.176 | Steps:  5491 | Total Reward:  40.0|
| Episode:  35 | Epsilon:  0.55 | Reward:   1.0 | Average Reward: 1.171 | Steps:  5655 | Total Reward:  41.0|
| Episode:  36 | Epsilon:  0.54 | Reward:   0.0 | Average Reward: 1.139 | Steps:  5768 | Total Reward:  41.0|
| Episode:  37 | Epsilon:  0.53 | Reward:   1.0 | Average Reward: 1.135 | Steps:  5932 | Total Reward:  42.0|
| Episode:  38 | Epsilon:  0.53 | Reward:   3.0 | Average Reward: 1.184 | Steps:  6166 | Total Reward:  45.0|
| Episode:  39 | Epsilon:  0.52 | Reward:   0.0 | Average Reward: 1.154 | Steps:  6279 | Total Reward:  45.0|
| Episode:  40 | Epsilon:  0.51 | Reward:   1.0 | Average Reward: 1.150 | Steps:  6441 | Total Reward:  46.0|
| Episode:  41 | Epsilon:  0.51 | Reward:   0.0 | Average Reward: 1.122 | Steps:  6556 | Total Reward:  46.0|
| Episode:  42 | Epsilon:  0.50 | Reward:   4.0 | Average Reward: 1.190 | Steps:  6841 | Total Reward:  50.0|
| Episode:  43 | Epsilon:  0.49 | Reward:   0.0 | Average Reward: 1.163 | Steps:  6956 | Total Reward:  50.0|
| Episode:  44 | Epsilon:  0.49 | Reward:   3.0 | Average Reward: 1.205 | Steps:  7158 | Total Reward:  53.0|
| Episode:  45 | Epsilon:  0.48 | Reward:   0.0 | Average Reward: 1.178 | Steps:  7271 | Total Reward:  53.0|
| Episode:  46 | Epsilon:  0.47 | Reward:   2.0 | Average Reward: 1.196 | Steps:  7443 | Total Reward:  55.0|
| Episode:  47 | Epsilon:  0.47 | Reward:   0.0 | Average Reward: 1.170 | Steps:  7558 | Total Reward:  55.0|
| Episode:  48 | Epsilon:  0.46 | Reward:   4.0 | Average Reward: 1.229 | Steps:  7845 | Total Reward:  59.0|
| Episode:  49 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 1.204 | Steps:  7960 | Total Reward:  59.0|
| Episode:  50 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 1.180 | Steps:  8075 | Total Reward:  59.0|
| Episode:  51 | Epsilon:  0.44 | Reward:   0.0 | Average Reward: 1.157 | Steps:  8190 | Total Reward:  59.0|
| Episode:  52 | Epsilon:  0.44 | Reward:   3.0 | Average Reward: 1.192 | Steps:  8428 | Total Reward:  62.0|
| Episode:  53 | Epsilon:  0.43 | Reward:   0.0 | Average Reward: 1.170 | Steps:  8543 | Total Reward:  62.0|
