+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | huber                                    |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.001                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   158 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   5.0 | Average Reward: 2.500 | Steps:   601 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 2.000 | Steps:   812 | Total Reward:   6.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   3.0 | Average Reward: 2.250 | Steps:  1130 | Total Reward:   9.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   2.0 | Average Reward: 2.200 | Steps:  1410 | Total Reward:  11.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 2.167 | Steps:  1664 | Total Reward:  13.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.857 | Steps:  1821 | Total Reward:  13.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   2.0 | Average Reward: 1.875 | Steps:  2074 | Total Reward:  15.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.889 | Steps:  2329 | Total Reward:  17.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   3.0 | Average Reward: 2.000 | Steps:  2653 | Total Reward:  20.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   2.0 | Average Reward: 2.000 | Steps:  2910 | Total Reward:  22.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   3.0 | Average Reward: 2.083 | Steps:  3229 | Total Reward:  25.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   3.0 | Average Reward: 2.154 | Steps:  3571 | Total Reward:  28.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   3.0 | Average Reward: 2.214 | Steps:  3885 | Total Reward:  31.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   2.0 | Average Reward: 2.200 | Steps:  4164 | Total Reward:  33.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   0.0 | Average Reward: 2.062 | Steps:  4314 | Total Reward:  33.0|
