+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 1000                                     |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | True                                     |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 2.000 | Steps:   255 | Total Reward:   2.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 2.000 | Steps:   509 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 1.667 | Steps:   710 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   2.0 | Average Reward: 1.750 | Steps:   970 | Total Reward:   7.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 1.400 | Steps:  1120 | Total Reward:   7.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.167 | Steps:  1273 | Total Reward:   7.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.000 | Steps:  1438 | Total Reward:   7.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   1.0 | Average Reward: 1.000 | Steps:  1636 | Total Reward:   8.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.111 | Steps:  1892 | Total Reward:  10.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.000 | Steps:  2040 | Total Reward:  10.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   1.0 | Average Reward: 1.000 | Steps:  2235 | Total Reward:  11.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.083 | Steps:  2490 | Total Reward:  13.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.000 | Steps:  2644 | Total Reward:  13.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 1.000 | Steps:  2836 | Total Reward:  14.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   3.0 | Average Reward: 1.133 | Steps:  3168 | Total Reward:  17.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   3.0 | Average Reward: 1.250 | Steps:  3458 | Total Reward:  20.0|
