+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.001                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 100                                      |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.000 | Steps:   214 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   4.0 | Average Reward: 2.500 | Steps:   577 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 1.667 | Steps:   731 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   3.0 | Average Reward: 2.000 | Steps:  1001 | Total Reward:   8.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 1.600 | Steps:  1153 | Total Reward:   8.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.333 | Steps:  1318 | Total Reward:   8.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.143 | Steps:  1478 | Total Reward:   8.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   5.0 | Average Reward: 1.625 | Steps:  1913 | Total Reward:  13.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   3.0 | Average Reward: 1.778 | Steps:  2235 | Total Reward:  16.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.600 | Steps:  2389 | Total Reward:  16.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   2.0 | Average Reward: 1.636 | Steps:  2645 | Total Reward:  18.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.667 | Steps:  2926 | Total Reward:  20.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.538 | Steps:  3078 | Total Reward:  20.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 1.500 | Steps:  3294 | Total Reward:  21.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   2.0 | Average Reward: 1.533 | Steps:  3550 | Total Reward:  23.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   2.0 | Average Reward: 1.562 | Steps:  3801 | Total Reward:  25.0|
| Episode:  17 | Epsilon:  0.78 | Reward:   2.0 | Average Reward: 1.588 | Steps:  4083 | Total Reward:  27.0|
| Episode:  18 | Epsilon:  0.77 | Reward:   2.0 | Average Reward: 1.611 | Steps:  4350 | Total Reward:  29.0|
| Episode:  19 | Epsilon:  0.76 | Reward:   4.0 | Average Reward: 1.737 | Steps:  4734 | Total Reward:  33.0|
| Episode:  20 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.650 | Steps:  4883 | Total Reward:  33.0|
| Episode:  21 | Epsilon:  0.75 | Reward:   0.0 | Average Reward: 1.571 | Steps:  5035 | Total Reward:  33.0|
| Episode:  22 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.591 | Steps:  5295 | Total Reward:  35.0|
| Episode:  23 | Epsilon:  0.74 | Reward:   0.0 | Average Reward: 1.522 | Steps:  5447 | Total Reward:  35.0|
| Episode:  24 | Epsilon:  0.73 | Reward:   2.0 | Average Reward: 1.542 | Steps:  5706 | Total Reward:  37.0|
| Episode:  25 | Epsilon:  0.72 | Reward:   2.0 | Average Reward: 1.560 | Steps:  5963 | Total Reward:  39.0|
| Episode:  26 | Epsilon:  0.72 | Reward:   0.0 | Average Reward: 1.500 | Steps:  6120 | Total Reward:  39.0|
| Episode:  27 | Epsilon:  0.71 | Reward:   2.0 | Average Reward: 1.519 | Steps:  6402 | Total Reward:  41.0|
| Episode:  28 | Epsilon:  0.71 | Reward:   2.0 | Average Reward: 1.536 | Steps:  6661 | Total Reward:  43.0|
| Episode:  29 | Epsilon:  0.70 | Reward:   3.0 | Average Reward: 1.586 | Steps:  6964 | Total Reward:  46.0|
| Episode:  30 | Epsilon:  0.69 | Reward:   3.0 | Average Reward: 1.633 | Steps:  7267 | Total Reward:  49.0|
| Episode:  31 | Epsilon:  0.69 | Reward:   0.0 | Average Reward: 1.581 | Steps:  7415 | Total Reward:  49.0|
| Episode:  32 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 1.562 | Steps:  7607 | Total Reward:  50.0|
| Episode:  33 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 1.515 | Steps:  7756 | Total Reward:  50.0|
| Episode:  34 | Epsilon:  0.67 | Reward:   0.0 | Average Reward: 1.471 | Steps:  7909 | Total Reward:  50.0|
| Episode:  35 | Epsilon:  0.66 | Reward:   3.0 | Average Reward: 1.514 | Steps:  8218 | Total Reward:  53.0|
| Episode:  36 | Epsilon:  0.66 | Reward:   1.0 | Average Reward: 1.500 | Steps:  8434 | Total Reward:  54.0|
| Episode:  37 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.486 | Steps:  8646 | Total Reward:  55.0|
| Episode:  38 | Epsilon:  0.65 | Reward:   4.0 | Average Reward: 1.553 | Steps:  9010 | Total Reward:  59.0|
| Episode:  39 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.513 | Steps:  9161 | Total Reward:  59.0|
| Episode:  40 | Epsilon:  0.64 | Reward:   1.0 | Average Reward: 1.500 | Steps:  9394 | Total Reward:  60.0|
| Episode:  41 | Epsilon:  0.63 | Reward:   1.0 | Average Reward: 1.488 | Steps:  9609 | Total Reward:  61.0|
| Episode:  42 | Epsilon:  0.63 | Reward:   3.0 | Average Reward: 1.524 | Steps:  9930 | Total Reward:  64.0|
| Episode:  43 | Epsilon:  0.62 | Reward:   0.0 | Average Reward: 1.488 | Steps: 10087 | Total Reward:  64.0|
| Episode:  44 | Epsilon:  0.62 | Reward:   1.0 | Average Reward: 1.477 | Steps: 10275 | Total Reward:  65.0|
| Episode:  45 | Epsilon:  0.61 | Reward:   4.0 | Average Reward: 1.533 | Steps: 10657 | Total Reward:  69.0|
| Episode:  46 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 1.500 | Steps: 10810 | Total Reward:  69.0|
| Episode:  47 | Epsilon:  0.60 | Reward:   0.0 | Average Reward: 1.468 | Steps: 10961 | Total Reward:  69.0|
| Episode:  48 | Epsilon:  0.60 | Reward:   1.0 | Average Reward: 1.458 | Steps: 11149 | Total Reward:  70.0|
| Episode:  49 | Epsilon:  0.59 | Reward:   3.0 | Average Reward: 1.490 | Steps: 11435 | Total Reward:  73.0|
| Episode:  50 | Epsilon:  0.59 | Reward:   0.0 | Average Reward: 1.460 | Steps: 11591 | Total Reward:  73.0|
| Episode:  51 | Epsilon:  0.58 | Reward:   2.0 | Average Reward: 1.471 | Steps: 11843 | Total Reward:  75.0|
| Episode:  52 | Epsilon:  0.58 | Reward:   0.0 | Average Reward: 1.442 | Steps: 11986 | Total Reward:  75.0|
| Episode:  53 | Epsilon:  0.57 | Reward:   1.0 | Average Reward: 1.434 | Steps: 12178 | Total Reward:  76.0|
| Episode:  54 | Epsilon:  0.57 | Reward:   3.0 | Average Reward: 1.463 | Steps: 12477 | Total Reward:  79.0|
| Episode:  55 | Epsilon:  0.56 | Reward:   2.0 | Average Reward: 1.473 | Steps: 12730 | Total Reward:  81.0|
| Episode:  56 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 1.446 | Steps: 12884 | Total Reward:  81.0|
| Episode:  57 | Epsilon:  0.55 | Reward:   2.0 | Average Reward: 1.456 | Steps: 13114 | Total Reward:  83.0|
| Episode:  58 | Epsilon:  0.55 | Reward:   3.0 | Average Reward: 1.483 | Steps: 13408 | Total Reward:  86.0|
| Episode:  59 | Epsilon:  0.54 | Reward:   3.0 | Average Reward: 1.508 | Steps: 13750 | Total Reward:  89.0|
| Episode:  60 | Epsilon:  0.54 | Reward:   4.0 | Average Reward: 1.550 | Steps: 14102 | Total Reward:  93.0|
| Episode:  61 | Epsilon:  0.54 | Reward:   1.0 | Average Reward: 1.541 | Steps: 14320 | Total Reward:  94.0|
