+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | gru                                      |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   153 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   306 | Total Reward:   0.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 0.667 | Steps:   558 | Total Reward:   2.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   0.0 | Average Reward: 0.500 | Steps:   714 | Total Reward:   2.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   2.0 | Average Reward: 0.800 | Steps:   943 | Total Reward:   4.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 0.667 | Steps:  1093 | Total Reward:   4.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 0.571 | Steps:  1246 | Total Reward:   4.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   1.0 | Average Reward: 0.625 | Steps:  1463 | Total Reward:   5.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   3.0 | Average Reward: 0.889 | Steps:  1810 | Total Reward:   8.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 0.800 | Steps:  1961 | Total Reward:   8.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   2.0 | Average Reward: 0.909 | Steps:  2209 | Total Reward:  10.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.000 | Steps:  2490 | Total Reward:  12.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 1.000 | Steps:  2675 | Total Reward:  13.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   3.0 | Average Reward: 1.143 | Steps:  2966 | Total Reward:  16.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   2.0 | Average Reward: 1.200 | Steps:  3189 | Total Reward:  18.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   1.0 | Average Reward: 1.188 | Steps:  3379 | Total Reward:  19.0|
| Episode:  17 | Epsilon:  0.78 | Reward:   1.0 | Average Reward: 1.176 | Steps:  3560 | Total Reward:  20.0|
| Episode:  18 | Epsilon:  0.77 | Reward:   2.0 | Average Reward: 1.222 | Steps:  3788 | Total Reward:  22.0|
| Episode:  19 | Epsilon:  0.76 | Reward:   1.0 | Average Reward: 1.211 | Steps:  4003 | Total Reward:  23.0|
| Episode:  20 | Epsilon:  0.76 | Reward:   2.0 | Average Reward: 1.250 | Steps:  4267 | Total Reward:  25.0|
| Episode:  21 | Epsilon:  0.75 | Reward:   6.0 | Average Reward: 1.476 | Steps:  4786 | Total Reward:  31.0|
| Episode:  22 | Epsilon:  0.74 | Reward:   1.0 | Average Reward: 1.455 | Steps:  4981 | Total Reward:  32.0|
| Episode:  23 | Epsilon:  0.74 | Reward:   1.0 | Average Reward: 1.435 | Steps:  5165 | Total Reward:  33.0|
| Episode:  24 | Epsilon:  0.73 | Reward:   0.0 | Average Reward: 1.375 | Steps:  5315 | Total Reward:  33.0|
| Episode:  25 | Epsilon:  0.72 | Reward:   3.0 | Average Reward: 1.440 | Steps:  5640 | Total Reward:  36.0|
| Episode:  26 | Epsilon:  0.72 | Reward:   0.0 | Average Reward: 1.385 | Steps:  5797 | Total Reward:  36.0|
| Episode:  27 | Epsilon:  0.71 | Reward:   1.0 | Average Reward: 1.370 | Steps:  5989 | Total Reward:  37.0|
| Episode:  28 | Epsilon:  0.71 | Reward:   0.0 | Average Reward: 1.321 | Steps:  6142 | Total Reward:  37.0|
| Episode:  29 | Epsilon:  0.70 | Reward:   0.0 | Average Reward: 1.276 | Steps:  6291 | Total Reward:  37.0|
| Episode:  30 | Epsilon:  0.69 | Reward:   2.0 | Average Reward: 1.300 | Steps:  6545 | Total Reward:  39.0|
| Episode:  31 | Epsilon:  0.69 | Reward:   3.0 | Average Reward: 1.355 | Steps:  6814 | Total Reward:  42.0|
| Episode:  32 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 1.344 | Steps:  7005 | Total Reward:  43.0|
| Episode:  33 | Epsilon:  0.68 | Reward:   3.0 | Average Reward: 1.394 | Steps:  7297 | Total Reward:  46.0|
| Episode:  34 | Epsilon:  0.67 | Reward:   3.0 | Average Reward: 1.441 | Steps:  7610 | Total Reward:  49.0|
| Episode:  35 | Epsilon:  0.66 | Reward:   1.0 | Average Reward: 1.429 | Steps:  7808 | Total Reward:  50.0|
| Episode:  36 | Epsilon:  0.66 | Reward:   2.0 | Average Reward: 1.444 | Steps:  8063 | Total Reward:  52.0|
| Episode:  37 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.432 | Steps:  8283 | Total Reward:  53.0|
| Episode:  38 | Epsilon:  0.65 | Reward:   3.0 | Average Reward: 1.474 | Steps:  8565 | Total Reward:  56.0|
| Episode:  39 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.436 | Steps:  8733 | Total Reward:  56.0|
| Episode:  40 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.400 | Steps:  8884 | Total Reward:  56.0|
| Episode:  41 | Epsilon:  0.63 | Reward:   1.0 | Average Reward: 1.390 | Steps:  9074 | Total Reward:  57.0|
| Episode:  42 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.405 | Steps:  9298 | Total Reward:  59.0|
| Episode:  43 | Epsilon:  0.62 | Reward:   2.0 | Average Reward: 1.419 | Steps:  9547 | Total Reward:  61.0|
| Episode:  44 | Epsilon:  0.62 | Reward:   1.0 | Average Reward: 1.409 | Steps:  9736 | Total Reward:  62.0|
| Episode:  45 | Epsilon:  0.61 | Reward:   1.0 | Average Reward: 1.400 | Steps:  9955 | Total Reward:  63.0|
| Episode:  46 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 1.370 | Steps: 10121 | Total Reward:  63.0|
| Episode:  47 | Epsilon:  0.60 | Reward:   3.0 | Average Reward: 1.404 | Steps: 10424 | Total Reward:  66.0|
| Episode:  48 | Epsilon:  0.60 | Reward:   3.0 | Average Reward: 1.438 | Steps: 10694 | Total Reward:  69.0|
| Episode:  49 | Epsilon:  0.59 | Reward:   1.0 | Average Reward: 1.429 | Steps: 10910 | Total Reward:  70.0|
| Episode:  50 | Epsilon:  0.59 | Reward:   1.0 | Average Reward: 1.420 | Steps: 11095 | Total Reward:  71.0|
| Episode:  51 | Epsilon:  0.58 | Reward:   1.0 | Average Reward: 1.412 | Steps: 11283 | Total Reward:  72.0|
| Episode:  52 | Epsilon:  0.58 | Reward:   1.0 | Average Reward: 1.404 | Steps: 11481 | Total Reward:  73.0|
| Episode:  53 | Epsilon:  0.57 | Reward:   0.0 | Average Reward: 1.377 | Steps: 11631 | Total Reward:  73.0|
| Episode:  54 | Epsilon:  0.57 | Reward:   2.0 | Average Reward: 1.389 | Steps: 11858 | Total Reward:  75.0|
| Episode:  55 | Epsilon:  0.56 | Reward:   0.0 | Average Reward: 1.364 | Steps: 12013 | Total Reward:  75.0|
| Episode:  56 | Epsilon:  0.56 | Reward:   1.0 | Average Reward: 1.357 | Steps: 12202 | Total Reward:  76.0|
| Episode:  57 | Epsilon:  0.55 | Reward:   0.0 | Average Reward: 1.333 | Steps: 12357 | Total Reward:  76.0|
| Episode:  58 | Epsilon:  0.55 | Reward:   0.0 | Average Reward: 1.310 | Steps: 12510 | Total Reward:  76.0|
| Episode:  59 | Epsilon:  0.54 | Reward:   2.0 | Average Reward: 1.322 | Steps: 12803 | Total Reward:  78.0|
| Episode:  60 | Epsilon:  0.54 | Reward:   1.0 | Average Reward: 1.317 | Steps: 13000 | Total Reward:  79.0|
| Episode:  61 | Epsilon:  0.54 | Reward:   1.0 | Average Reward: 1.311 | Steps: 13185 | Total Reward:  80.0|
| Episode:  62 | Epsilon:  0.53 | Reward:   0.0 | Average Reward: 1.290 | Steps: 13334 | Total Reward:  80.0|
| Episode:  63 | Epsilon:  0.53 | Reward:   0.0 | Average Reward: 1.270 | Steps: 13492 | Total Reward:  80.0|
