+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.001                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 10                                       |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   3.0 | Average Reward: 3.000 | Steps:   311 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 2.000 | Steps:   532 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   4.0 | Average Reward: 2.667 | Steps:   909 | Total Reward:   8.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   1.0 | Average Reward: 2.250 | Steps:  1097 | Total Reward:   9.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   2.0 | Average Reward: 2.200 | Steps:  1344 | Total Reward:  11.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.833 | Steps:  1489 | Total Reward:  11.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.571 | Steps:  1639 | Total Reward:  11.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   1.0 | Average Reward: 1.500 | Steps:  1853 | Total Reward:  12.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.333 | Steps:  1999 | Total Reward:  12.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.200 | Steps:  2151 | Total Reward:  12.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   0.0 | Average Reward: 1.091 | Steps:  2298 | Total Reward:  12.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   1.0 | Average Reward: 1.083 | Steps:  2509 | Total Reward:  13.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   4.0 | Average Reward: 1.308 | Steps:  2918 | Total Reward:  17.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   2.0 | Average Reward: 1.357 | Steps:  3195 | Total Reward:  19.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   1.0 | Average Reward: 1.333 | Steps:  3391 | Total Reward:  20.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   1.0 | Average Reward: 1.312 | Steps:  3584 | Total Reward:  21.0|
| Episode:  17 | Epsilon:  0.78 | Reward:   0.0 | Average Reward: 1.235 | Steps:  3739 | Total Reward:  21.0|
| Episode:  18 | Epsilon:  0.77 | Reward:   2.0 | Average Reward: 1.278 | Steps:  3997 | Total Reward:  23.0|
| Episode:  19 | Epsilon:  0.76 | Reward:   2.0 | Average Reward: 1.316 | Steps:  4261 | Total Reward:  25.0|
| Episode:  20 | Epsilon:  0.76 | Reward:   1.0 | Average Reward: 1.300 | Steps:  4448 | Total Reward:  26.0|
| Episode:  21 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 1.333 | Steps:  4715 | Total Reward:  28.0|
| Episode:  22 | Epsilon:  0.74 | Reward:   0.0 | Average Reward: 1.273 | Steps:  4868 | Total Reward:  28.0|
