+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | gru                                      |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 100                                      |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 2.000 | Steps:   281 | Total Reward:   2.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 2.000 | Steps:   535 | Total Reward:   4.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 2.000 | Steps:   797 | Total Reward:   6.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   2.0 | Average Reward: 2.000 | Steps:  1045 | Total Reward:   8.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 1.600 | Steps:  1202 | Total Reward:   8.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.333 | Steps:  1357 | Total Reward:   8.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   1.0 | Average Reward: 1.286 | Steps:  1571 | Total Reward:   9.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   3.0 | Average Reward: 1.500 | Steps:  1919 | Total Reward:  12.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 1.333 | Steps:  2075 | Total Reward:  12.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.400 | Steps:  2326 | Total Reward:  14.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   3.0 | Average Reward: 1.545 | Steps:  2639 | Total Reward:  17.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   0.0 | Average Reward: 1.417 | Steps:  2785 | Total Reward:  17.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.308 | Steps:  2937 | Total Reward:  17.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   3.0 | Average Reward: 1.429 | Steps:  3258 | Total Reward:  20.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   3.0 | Average Reward: 1.533 | Steps:  3582 | Total Reward:  23.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   2.0 | Average Reward: 1.562 | Steps:  3838 | Total Reward:  25.0|
| Episode:  17 | Epsilon:  0.78 | Reward:   3.0 | Average Reward: 1.647 | Steps:  4164 | Total Reward:  28.0|
| Episode:  18 | Epsilon:  0.77 | Reward:   2.0 | Average Reward: 1.667 | Steps:  4421 | Total Reward:  30.0|
| Episode:  19 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.579 | Steps:  4576 | Total Reward:  30.0|
| Episode:  20 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.500 | Steps:  4724 | Total Reward:  30.0|
| Episode:  21 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 1.524 | Steps:  4971 | Total Reward:  32.0|
| Episode:  22 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.545 | Steps:  5214 | Total Reward:  34.0|
| Episode:  23 | Epsilon:  0.74 | Reward:   3.0 | Average Reward: 1.609 | Steps:  5535 | Total Reward:  37.0|
| Episode:  24 | Epsilon:  0.73 | Reward:   5.0 | Average Reward: 1.750 | Steps:  6033 | Total Reward:  42.0|
