+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   155 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   310 | Total Reward:   0.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   9.0 | Average Reward: 3.000 | Steps:   880 | Total Reward:   9.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   0.0 | Average Reward: 2.250 | Steps:  1038 | Total Reward:   9.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   0.0 | Average Reward: 1.800 | Steps:  1192 | Total Reward:   9.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   1.0 | Average Reward: 1.667 | Steps:  1401 | Total Reward:  10.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 1.714 | Steps:  1683 | Total Reward:  12.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   3.0 | Average Reward: 1.875 | Steps:  1944 | Total Reward:  15.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   8.0 | Average Reward: 2.556 | Steps:  2547 | Total Reward:  23.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   3.0 | Average Reward: 2.600 | Steps:  2837 | Total Reward:  26.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   1.0 | Average Reward: 2.455 | Steps:  3041 | Total Reward:  27.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   1.0 | Average Reward: 2.333 | Steps:  3256 | Total Reward:  28.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   2.0 | Average Reward: 2.308 | Steps:  3483 | Total Reward:  30.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   4.0 | Average Reward: 2.429 | Steps:  3809 | Total Reward:  34.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 2.267 | Steps:  3962 | Total Reward:  34.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   0.0 | Average Reward: 2.125 | Steps:  4110 | Total Reward:  34.0|
| Episode:  17 | Epsilon:  0.78 | Reward:   1.0 | Average Reward: 2.059 | Steps:  4294 | Total Reward:  35.0|
| Episode:  18 | Epsilon:  0.77 | Reward:   0.0 | Average Reward: 1.944 | Steps:  4445 | Total Reward:  35.0|
| Episode:  19 | Epsilon:  0.76 | Reward:   4.0 | Average Reward: 2.053 | Steps:  4798 | Total Reward:  39.0|
| Episode:  20 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.950 | Steps:  4954 | Total Reward:  39.0|
| Episode:  21 | Epsilon:  0.75 | Reward:   2.0 | Average Reward: 1.952 | Steps:  5201 | Total Reward:  41.0|
| Episode:  22 | Epsilon:  0.74 | Reward:   3.0 | Average Reward: 2.000 | Steps:  5494 | Total Reward:  44.0|
| Episode:  23 | Epsilon:  0.74 | Reward:   3.0 | Average Reward: 2.043 | Steps:  5813 | Total Reward:  47.0|
| Episode:  24 | Epsilon:  0.73 | Reward:   2.0 | Average Reward: 2.042 | Steps:  6094 | Total Reward:  49.0|
| Episode:  25 | Epsilon:  0.72 | Reward:   3.0 | Average Reward: 2.080 | Steps:  6377 | Total Reward:  52.0|
| Episode:  26 | Epsilon:  0.72 | Reward:   1.0 | Average Reward: 2.038 | Steps:  6593 | Total Reward:  53.0|
| Episode:  27 | Epsilon:  0.71 | Reward:   1.0 | Average Reward: 2.000 | Steps:  6801 | Total Reward:  54.0|
| Episode:  28 | Epsilon:  0.71 | Reward:   2.0 | Average Reward: 2.000 | Steps:  7092 | Total Reward:  56.0|
| Episode:  29 | Epsilon:  0.70 | Reward:   0.0 | Average Reward: 1.931 | Steps:  7249 | Total Reward:  56.0|
| Episode:  30 | Epsilon:  0.69 | Reward:   2.0 | Average Reward: 1.933 | Steps:  7506 | Total Reward:  58.0|
| Episode:  31 | Epsilon:  0.69 | Reward:   0.0 | Average Reward: 1.871 | Steps:  7658 | Total Reward:  58.0|
| Episode:  32 | Epsilon:  0.68 | Reward:   0.0 | Average Reward: 1.812 | Steps:  7807 | Total Reward:  58.0|
| Episode:  33 | Epsilon:  0.68 | Reward:   1.0 | Average Reward: 1.788 | Steps:  8018 | Total Reward:  59.0|
| Episode:  34 | Epsilon:  0.67 | Reward:   1.0 | Average Reward: 1.765 | Steps:  8238 | Total Reward:  60.0|
| Episode:  35 | Epsilon:  0.66 | Reward:   0.0 | Average Reward: 1.714 | Steps:  8392 | Total Reward:  60.0|
| Episode:  36 | Epsilon:  0.66 | Reward:   4.0 | Average Reward: 1.778 | Steps:  8766 | Total Reward:  64.0|
| Episode:  37 | Epsilon:  0.65 | Reward:   3.0 | Average Reward: 1.811 | Steps:  9081 | Total Reward:  67.0|
| Episode:  38 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.789 | Steps:  9260 | Total Reward:  68.0|
| Episode:  39 | Epsilon:  0.64 | Reward:   1.0 | Average Reward: 1.769 | Steps:  9475 | Total Reward:  69.0|
| Episode:  40 | Epsilon:  0.64 | Reward:   0.0 | Average Reward: 1.725 | Steps:  9629 | Total Reward:  69.0|
| Episode:  41 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.732 | Steps:  9917 | Total Reward:  71.0|
| Episode:  42 | Epsilon:  0.63 | Reward:   4.0 | Average Reward: 1.786 | Steps: 10300 | Total Reward:  75.0|
| Episode:  43 | Epsilon:  0.62 | Reward:   0.0 | Average Reward: 1.744 | Steps: 10448 | Total Reward:  75.0|
| Episode:  44 | Epsilon:  0.62 | Reward:   0.0 | Average Reward: 1.705 | Steps: 10600 | Total Reward:  75.0|
| Episode:  45 | Epsilon:  0.61 | Reward:   2.0 | Average Reward: 1.711 | Steps: 10851 | Total Reward:  77.0|
| Episode:  46 | Epsilon:  0.61 | Reward:   2.0 | Average Reward: 1.717 | Steps: 11100 | Total Reward:  79.0|
| Episode:  47 | Epsilon:  0.60 | Reward:   1.0 | Average Reward: 1.702 | Steps: 11319 | Total Reward:  80.0|
| Episode:  48 | Epsilon:  0.60 | Reward:   4.0 | Average Reward: 1.750 | Steps: 11742 | Total Reward:  84.0|
| Episode:  49 | Epsilon:  0.59 | Reward:   0.0 | Average Reward: 1.714 | Steps: 11889 | Total Reward:  84.0|
| Episode:  50 | Epsilon:  0.59 | Reward:   3.0 | Average Reward: 1.740 | Steps: 12198 | Total Reward:  87.0|
| Episode:  51 | Epsilon:  0.58 | Reward:   3.0 | Average Reward: 1.765 | Steps: 12488 | Total Reward:  90.0|
| Episode:  52 | Epsilon:  0.58 | Reward:   1.0 | Average Reward: 1.750 | Steps: 12699 | Total Reward:  91.0|
| Episode:  53 | Epsilon:  0.57 | Reward:   3.0 | Average Reward: 1.774 | Steps: 13036 | Total Reward:  94.0|
| Episode:  54 | Epsilon:  0.57 | Reward:   2.0 | Average Reward: 1.778 | Steps: 13290 | Total Reward:  96.0|
| Episode:  55 | Epsilon:  0.56 | Reward:   1.0 | Average Reward: 1.764 | Steps: 13478 | Total Reward:  97.0|
| Episode:  56 | Epsilon:  0.56 | Reward:   3.0 | Average Reward: 1.786 | Steps: 13761 | Total Reward: 100.0|
| Episode:  57 | Epsilon:  0.55 | Reward:   1.0 | Average Reward: 1.772 | Steps: 13951 | Total Reward: 101.0|
| Episode:  58 | Epsilon:  0.55 | Reward:   2.0 | Average Reward: 1.776 | Steps: 14200 | Total Reward: 103.0|
| Episode:  59 | Epsilon:  0.54 | Reward:   2.0 | Average Reward: 1.780 | Steps: 14450 | Total Reward: 105.0|
| Episode:  60 | Epsilon:  0.54 | Reward:   3.0 | Average Reward: 1.800 | Steps: 14746 | Total Reward: 108.0|
| Episode:  61 | Epsilon:  0.54 | Reward:   1.0 | Average Reward: 1.787 | Steps: 14962 | Total Reward: 109.0|
| Episode:  62 | Epsilon:  0.53 | Reward:   0.0 | Average Reward: 1.758 | Steps: 15119 | Total Reward: 109.0|
| Episode:  63 | Epsilon:  0.53 | Reward:   7.0 | Average Reward: 1.841 | Steps: 15628 | Total Reward: 116.0|
| Episode:  64 | Epsilon:  0.52 | Reward:   2.0 | Average Reward: 1.844 | Steps: 15878 | Total Reward: 118.0|
| Episode:  65 | Epsilon:  0.52 | Reward:   0.0 | Average Reward: 1.815 | Steps: 16031 | Total Reward: 118.0|
| Episode:  66 | Epsilon:  0.51 | Reward:   3.0 | Average Reward: 1.833 | Steps: 16341 | Total Reward: 121.0|
| Episode:  67 | Epsilon:  0.51 | Reward:   2.0 | Average Reward: 1.836 | Steps: 16593 | Total Reward: 123.0|
| Episode:  68 | Epsilon:  0.51 | Reward:   2.0 | Average Reward: 1.838 | Steps: 16839 | Total Reward: 125.0|
| Episode:  69 | Epsilon:  0.50 | Reward:   2.0 | Average Reward: 1.841 | Steps: 17089 | Total Reward: 127.0|
| Episode:  70 | Epsilon:  0.50 | Reward:   0.0 | Average Reward: 1.814 | Steps: 17237 | Total Reward: 127.0|
| Episode:  71 | Epsilon:  0.49 | Reward:   3.0 | Average Reward: 1.831 | Steps: 17554 | Total Reward: 130.0|
| Episode:  72 | Epsilon:  0.49 | Reward:   1.0 | Average Reward: 1.819 | Steps: 17746 | Total Reward: 131.0|
| Episode:  73 | Epsilon:  0.49 | Reward:   0.0 | Average Reward: 1.795 | Steps: 17903 | Total Reward: 131.0|
| Episode:  74 | Epsilon:  0.48 | Reward:   4.0 | Average Reward: 1.824 | Steps: 18290 | Total Reward: 135.0|
| Episode:  75 | Epsilon:  0.48 | Reward:   2.0 | Average Reward: 1.827 | Steps: 18541 | Total Reward: 137.0|
| Episode:  76 | Epsilon:  0.47 | Reward:   1.0 | Average Reward: 1.816 | Steps: 18751 | Total Reward: 138.0|
| Episode:  77 | Epsilon:  0.47 | Reward:   1.0 | Average Reward: 1.805 | Steps: 18974 | Total Reward: 139.0|
| Episode:  78 | Epsilon:  0.47 | Reward:   2.0 | Average Reward: 1.808 | Steps: 19223 | Total Reward: 141.0|
| Episode:  79 | Epsilon:  0.46 | Reward:   0.0 | Average Reward: 1.785 | Steps: 19368 | Total Reward: 141.0|
| Episode:  80 | Epsilon:  0.46 | Reward:   0.0 | Average Reward: 1.762 | Steps: 19514 | Total Reward: 141.0|
| Episode:  81 | Epsilon:  0.46 | Reward:   2.0 | Average Reward: 1.765 | Steps: 19768 | Total Reward: 143.0|
| Episode:  82 | Epsilon:  0.45 | Reward:   4.0 | Average Reward: 1.793 | Steps: 20139 | Total Reward: 147.0|
