+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | gru                                      |
+------------------------------+------------------------------------------+
| Loss Metric:                 | smooth_l1                                |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.001                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.000 | Steps:   193 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   2.0 | Average Reward: 1.500 | Steps:   470 | Total Reward:   3.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 1.667 | Steps:   721 | Total Reward:   5.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   3.0 | Average Reward: 2.000 | Steps:  1041 | Total Reward:   8.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   3.0 | Average Reward: 2.200 | Steps:  1337 | Total Reward:  11.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 1.833 | Steps:  1487 | Total Reward:  11.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 1.857 | Steps:  1739 | Total Reward:  13.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   2.0 | Average Reward: 1.875 | Steps:  1974 | Total Reward:  15.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.889 | Steps:  2223 | Total Reward:  17.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.900 | Steps:  2480 | Total Reward:  19.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   0.0 | Average Reward: 1.727 | Steps:  2640 | Total Reward:  19.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 1.750 | Steps:  2926 | Total Reward:  21.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.615 | Steps:  3082 | Total Reward:  21.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.500 | Steps:  3234 | Total Reward:  21.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   1.0 | Average Reward: 1.467 | Steps:  3426 | Total Reward:  22.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   1.0 | Average Reward: 1.438 | Steps:  3616 | Total Reward:  23.0|
