+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield                                 |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   3.0 | Average Reward: 3.000 | Steps:   313 | Total Reward:   3.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   2.0 | Average Reward: 2.500 | Steps:   596 | Total Reward:   5.0|
| Episode:   3 | Epsilon:  0.87 | Reward:   2.0 | Average Reward: 2.333 | Steps:   852 | Total Reward:   7.0|
| Episode:   4 | Epsilon:  0.86 | Reward:   5.0 | Average Reward: 3.000 | Steps:  1289 | Total Reward:  12.0|
| Episode:   5 | Epsilon:  0.85 | Reward:   5.0 | Average Reward: 3.400 | Steps:  1723 | Total Reward:  17.0|
| Episode:   6 | Epsilon:  0.84 | Reward:   0.0 | Average Reward: 2.833 | Steps:  1879 | Total Reward:  17.0|
| Episode:   7 | Epsilon:  0.83 | Reward:   0.0 | Average Reward: 2.429 | Steps:  2032 | Total Reward:  17.0|
| Episode:   8 | Epsilon:  0.82 | Reward:   2.0 | Average Reward: 2.375 | Steps:  2282 | Total Reward:  19.0|
| Episode:   9 | Epsilon:  0.81 | Reward:   2.0 | Average Reward: 2.333 | Steps:  2531 | Total Reward:  21.0|
| Episode:  10 | Epsilon:  0.80 | Reward:   2.0 | Average Reward: 2.300 | Steps:  2785 | Total Reward:  23.0|
| Episode:  11 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 2.091 | Steps:  2936 | Total Reward:  23.0|
| Episode:  12 | Epsilon:  0.78 | Reward:   2.0 | Average Reward: 2.083 | Steps:  3189 | Total Reward:  25.0|
| Episode:  13 | Epsilon:  0.77 | Reward:   0.0 | Average Reward: 1.923 | Steps:  3344 | Total Reward:  25.0|
| Episode:  14 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.786 | Steps:  3498 | Total Reward:  25.0|
| Episode:  15 | Epsilon:  0.75 | Reward:   3.0 | Average Reward: 1.867 | Steps:  3806 | Total Reward:  28.0|
| Episode:  16 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.875 | Steps:  4063 | Total Reward:  30.0|
