| Episode:   1 | Epsilon:  0.90 | Reward: -335.0992705492918 | Average Reward: -335.099 | Steps:   100 | Total Reward: -335.0992705492918|
| Episode:   2 | Epsilon:  0.86 | Reward: -157.4414004237192 | Average Reward: -246.270 | Steps:   174 | Total Reward: -492.5406709730108|
| Episode:   3 | Epsilon:  0.82 | Reward: -85.25968917043294 | Average Reward: -192.600 | Steps:   284 | Total Reward: -577.8003601434428|
| Episode:   4 | Epsilon:  0.79 | Reward: -78.989674637821 | Average Reward: -164.198 | Steps:   346 | Total Reward: -656.7900347812636|
| Episode:   5 | Epsilon:  0.75 | Reward: -100.35949394206793 | Average Reward: -151.430 | Steps:   439 | Total Reward: -757.1495287233312|
| Episode:   6 | Epsilon:  0.72 | Reward: -159.11545443803658 | Average Reward: -152.711 | Steps:   533 | Total Reward: -916.2649831613677|
| Episode:   7 | Epsilon:  0.69 | Reward: -96.72055738376908 | Average Reward: -144.712 | Steps:   606 | Total Reward: -1012.9855405451365|
| Episode:   8 | Epsilon:  0.66 | Reward: -131.5187657441769 | Average Reward: -143.063 | Steps:   690 | Total Reward: -1144.5043062893137|
| Episode:   9 | Epsilon:  0.64 | Reward: -91.2497020702185 | Average Reward: -137.306 | Steps:   753 | Total Reward: -1235.754008359533|
| Episode:  10 | Epsilon:  0.61 | Reward: -112.89795027727206 | Average Reward: -134.865 | Steps:   821 | Total Reward: -1348.651958636805|
| Episode:  11 | Epsilon:  0.59 | Reward: -97.72111985816193 | Average Reward: -131.488 | Steps:   882 | Total Reward: -1446.3730784949664|
| Episode:  12 | Epsilon:  0.56 | Reward: -125.21483150556585 | Average Reward: -130.966 | Steps:   977 | Total Reward: -1571.5879100005318|
| Episode:  13 | Epsilon:  0.54 | Reward: -98.76785367232807 | Average Reward: -128.489 | Steps:  1042 | Total Reward: -1670.3557636728597|
| Episode:  14 | Epsilon:  0.52 | Reward: -167.00128453989345 | Average Reward: -131.240 | Steps:  1108 | Total Reward: -1837.357048212754|
| Episode:  15 | Epsilon:  0.50 | Reward: -79.10023656552661 | Average Reward: -127.764 | Steps:  1171 | Total Reward: -1916.4572847782802|
| Episode:  16 | Epsilon:  0.48 | Reward: -106.34773938795803 | Average Reward: -126.425 | Steps:  1266 | Total Reward: -2022.805024166238|
| Episode:  17 | Epsilon:  0.46 | Reward: -112.52039442956166 | Average Reward: -125.607 | Steps:  1347 | Total Reward: -2135.3254185957994|
| Episode:  18 | Epsilon:  0.44 | Reward: 1.6103921339577028 | Average Reward: -118.540 | Steps:  1408 | Total Reward: -2133.715026461843|
| Episode:  19 | Epsilon:  0.43 | Reward: -177.23989291560218 | Average Reward: -121.629 | Steps:  1466 | Total Reward: -2310.954919377445|
| Episode:  20 | Epsilon:  0.41 | Reward: -145.1500684540429 | Average Reward: -122.805 | Steps:  1541 | Total Reward: -2456.104987831486|
| Episode:  21 | Epsilon:  0.39 | Reward: -150.51781103030658 | Average Reward: -124.125 | Steps:  1611 | Total Reward: -2606.6227988617925|
| Episode:  22 | Epsilon:  0.38 | Reward: -147.3818629097085 | Average Reward: -125.182 | Steps:  1679 | Total Reward: -2754.0046617715007|
| Episode:  23 | Epsilon:  0.37 | Reward: -272.57609491580007 | Average Reward: -131.590 | Steps:  1753 | Total Reward: -3026.580756687302|
| Episode:  24 | Epsilon:  0.35 | Reward: -110.45343521904823 | Average Reward: -130.710 | Steps:  1807 | Total Reward: -3137.0341919063508|
| Episode:  25 | Epsilon:  0.34 | Reward: -131.71697404244313 | Average Reward: -130.750 | Steps:  1874 | Total Reward: -3268.751165948793|
| Episode:  26 | Epsilon:  0.33 | Reward: -150.0132886254424 | Average Reward: -131.491 | Steps:  1940 | Total Reward: -3418.764454574236|
| Episode:  27 | Epsilon:  0.32 | Reward: -108.6019399333205 | Average Reward: -130.643 | Steps:  2001 | Total Reward: -3527.366394507557|
| Episode:  28 | Epsilon:  0.31 | Reward: -134.1289103278349 | Average Reward: -130.768 | Steps:  2059 | Total Reward: -3661.4953048353914|
| Episode:  29 | Epsilon:  0.30 | Reward: -101.20684359366321 | Average Reward: -129.748 | Steps:  2112 | Total Reward: -3762.702148429053|
| Episode:  30 | Epsilon:  0.29 | Reward: -126.35084253133724 | Average Reward: -129.635 | Steps:  2164 | Total Reward: -3889.052990960389|
| Episode:  31 | Epsilon:  0.28 | Reward: -93.2931955912941 | Average Reward: -128.463 | Steps:  2228 | Total Reward: -3982.3461865516824|
| Episode:  32 | Epsilon:  0.27 | Reward: -158.8826944838969 | Average Reward: -129.413 | Steps:  2295 | Total Reward: -4141.2288810355785|
| Episode:  33 | Epsilon:  0.26 | Reward: -152.69234994831538 | Average Reward: -130.119 | Steps:  2357 | Total Reward: -4293.921230983892|
| Episode:  34 | Epsilon:  0.25 | Reward: -179.63068538245335 | Average Reward: -131.575 | Steps:  2416 | Total Reward: -4473.551916366344|
| Episode:  35 | Epsilon:  0.25 | Reward: 33.290135095373415 | Average Reward: -126.865 | Steps:  2496 | Total Reward: -4440.261781270972|
| Episode:  36 | Epsilon:  0.24 | Reward: -208.23329339358273 | Average Reward: -129.125 | Steps:  2590 | Total Reward: -4648.4950746645545|
| Episode:  37 | Epsilon:  0.23 | Reward: -120.53771515301169 | Average Reward: -128.893 | Steps:  2644 | Total Reward: -4769.032789817566|
| Episode:  38 | Epsilon:  0.23 | Reward: -213.06057951604862 | Average Reward: -131.108 | Steps:  2719 | Total Reward: -4982.093369333615|
| Episode:  39 | Epsilon:  0.22 | Reward: -184.05131408806983 | Average Reward: -132.465 | Steps:  2815 | Total Reward: -5166.144683421688|
| Episode:  40 | Epsilon:  0.21 | Reward: -121.44524474944534 | Average Reward: -132.190 | Steps:  2881 | Total Reward: -5287.589928171131|
| Episode:  41 | Epsilon:  0.21 | Reward: -111.92455007891404 | Average Reward: -131.695 | Steps:  2937 | Total Reward: -5399.514478250046|
| Episode:  42 | Epsilon:  0.20 | Reward: -106.31614506659602 | Average Reward: -131.091 | Steps:  3034 | Total Reward: -5505.830623316644|
| Episode:  43 | Epsilon:  0.20 | Reward: -128.028174309847 | Average Reward: -131.020 | Steps:  3119 | Total Reward: -5633.8587976264935|
| Episode:  44 | Epsilon:  0.19 | Reward: -138.84090267986886 | Average Reward: -131.198 | Steps:  3199 | Total Reward: -5772.69970030636|
| Episode:  45 | Epsilon:  0.19 | Reward: -144.99496549025525 | Average Reward: -131.504 | Steps:  3288 | Total Reward: -5917.694665796614|
| Episode:  46 | Epsilon:  0.18 | Reward: -133.21566231452914 | Average Reward: -131.542 | Steps:  3364 | Total Reward: -6050.910328111143|
| Episode:  47 | Epsilon:  0.18 | Reward: -106.607025077867 | Average Reward: -131.011 | Steps:  3458 | Total Reward: -6157.517353189009|
| Episode:  48 | Epsilon:  0.18 | Reward: -133.31973358223235 | Average Reward: -131.059 | Steps:  3515 | Total Reward: -6290.837086771245|
| Episode:  49 | Epsilon:  0.17 | Reward: -109.86624466220029 | Average Reward: -130.627 | Steps:  3567 | Total Reward: -6400.703331433444|
| Episode:  50 | Epsilon:  0.17 | Reward: -106.74667223736489 | Average Reward: -130.149 | Steps:  3626 | Total Reward: -6507.450003670807|
| Episode:  51 | Epsilon:  0.17 | Reward: -138.82433157658107 | Average Reward: -130.319 | Steps:  3697 | Total Reward: -6646.274335247392|
| Episode:  52 | Epsilon:  0.16 | Reward: -123.64250901289236 | Average Reward: -130.191 | Steps:  3789 | Total Reward: -6769.916844260288|
| Episode:  53 | Epsilon:  0.16 | Reward: -171.98643507424856 | Average Reward: -130.979 | Steps:  3854 | Total Reward: -6941.903279334537|
| Episode:  54 | Epsilon:  0.16 | Reward: -18.491579325216748 | Average Reward: -128.896 | Steps:  3951 | Total Reward: -6960.394858659757|
| Episode:  55 | Epsilon:  0.15 | Reward: -199.33286435433314 | Average Reward: -130.177 | Steps:  4027 | Total Reward: -7159.727723014089|
| Episode:  56 | Epsilon:  0.15 | Reward: -189.75460393549272 | Average Reward: -131.241 | Steps:  4128 | Total Reward: -7349.482326949577|
| Episode:  57 | Epsilon:  0.15 | Reward: -113.17579241178734 | Average Reward: -130.924 | Steps:  4178 | Total Reward: -7462.658119361364|
| Episode:  58 | Epsilon:  0.15 | Reward: -112.16359001304387 | Average Reward: -130.600 | Steps:  4242 | Total Reward: -7574.821709374407|
| Episode:  59 | Epsilon:  0.14 | Reward: -153.76607598574748 | Average Reward: -130.993 | Steps:  4302 | Total Reward: -7728.587785360151|
| Episode:  60 | Epsilon:  0.14 | Reward: -116.27803921854093 | Average Reward: -130.748 | Steps:  4369 | Total Reward: -7844.865824578693|
| Episode:  61 | Epsilon:  0.14 | Reward: -172.35388912964777 | Average Reward: -131.430 | Steps:  4444 | Total Reward: -8017.219713708339|
| Episode:  62 | Epsilon:  0.14 | Reward: -121.9572228728216 | Average Reward: -131.277 | Steps:  4526 | Total Reward: -8139.1769365811615|
| Episode:  63 | Epsilon:  0.14 | Reward: -117.19565734342305 | Average Reward: -131.054 | Steps:  4594 | Total Reward: -8256.372593924587|
| Episode:  64 | Epsilon:  0.13 | Reward: -115.11022676789672 | Average Reward: -130.804 | Steps:  4647 | Total Reward: -8371.482820692481|
| Episode:  65 | Epsilon:  0.13 | Reward: -123.82090437819129 | Average Reward: -130.697 | Steps:  4699 | Total Reward: -8495.30372507068|
| Episode:  66 | Epsilon:  0.13 | Reward: -122.70158347098025 | Average Reward: -130.576 | Steps:  4765 | Total Reward: -8618.005308541664|
| Episode:  67 | Epsilon:  0.13 | Reward: -148.88180233075659 | Average Reward: -130.849 | Steps:  4830 | Total Reward: -8766.887110872418|
| Episode:  68 | Epsilon:  0.13 | Reward: -112.25315586974583 | Average Reward: -130.576 | Steps:  4886 | Total Reward: -8879.14026674217|
| Episode:  69 | Epsilon:  0.13 | Reward: -139.3378119936845 | Average Reward: -130.703 | Steps:  4968 | Total Reward: -9018.478078735854|
| Episode:  70 | Epsilon:  0.13 | Reward: -66.71936266735342 | Average Reward: -129.789 | Steps:  5024 | Total Reward: -9085.197441403203|
| Episode:  71 | Epsilon:  0.12 | Reward: -390.06526779280085 | Average Reward: -133.454 | Steps:  5119 | Total Reward: -9475.262709195998|
| Episode:  72 | Epsilon:  0.12 | Reward: -442.55358320508407 | Average Reward: -137.747 | Steps:  5218 | Total Reward: -9917.816292401096|
