| Episode:   1 | Epsilon:  0.90 | Reward:  31.0 | Average Reward: 31.000 | Steps:    31 | Total Reward:  31.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  16.0 | Average Reward: 23.500 | Steps:    47 | Total Reward:  47.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  40.0 | Average Reward: 29.000 | Steps:    87 | Total Reward:  87.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  10.0 | Average Reward: 24.250 | Steps:    97 | Total Reward:  97.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  13.0 | Average Reward: 22.000 | Steps:   110 | Total Reward: 110.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  29.0 | Average Reward: 23.167 | Steps:   139 | Total Reward: 139.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  11.0 | Average Reward: 21.429 | Steps:   150 | Total Reward: 150.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  17.0 | Average Reward: 20.875 | Steps:   167 | Total Reward: 167.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  40.0 | Average Reward: 23.000 | Steps:   207 | Total Reward: 207.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  30.0 | Average Reward: 23.700 | Steps:   237 | Total Reward: 237.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  20.0 | Average Reward: 23.364 | Steps:   257 | Total Reward: 257.0|
| Episode:  12 | Epsilon:  0.56 | Reward:   9.0 | Average Reward: 22.167 | Steps:   266 | Total Reward: 266.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  18.0 | Average Reward: 21.846 | Steps:   284 | Total Reward: 284.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  10.0 | Average Reward: 21.000 | Steps:   294 | Total Reward: 294.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  10.0 | Average Reward: 20.267 | Steps:   304 | Total Reward: 304.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  20.0 | Average Reward: 20.250 | Steps:   324 | Total Reward: 324.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  18.0 | Average Reward: 20.118 | Steps:   342 | Total Reward: 342.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  10.0 | Average Reward: 19.556 | Steps:   352 | Total Reward: 352.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  11.0 | Average Reward: 19.105 | Steps:   363 | Total Reward: 363.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  13.0 | Average Reward: 18.800 | Steps:   376 | Total Reward: 376.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  18.0 | Average Reward: 18.762 | Steps:   394 | Total Reward: 394.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  16.0 | Average Reward: 18.636 | Steps:   410 | Total Reward: 410.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  16.0 | Average Reward: 18.522 | Steps:   426 | Total Reward: 426.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  12.0 | Average Reward: 18.250 | Steps:   438 | Total Reward: 438.0|
