| Episode:   1 | Epsilon:  0.90 | Reward:   9.0 | Average Reward: 9.000 | Steps:     9 | Total Reward:   9.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  19.0 | Average Reward: 14.000 | Steps:    28 | Total Reward:  28.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  13.0 | Average Reward: 13.667 | Steps:    41 | Total Reward:  41.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  21.0 | Average Reward: 15.500 | Steps:    62 | Total Reward:  62.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  15.0 | Average Reward: 15.400 | Steps:    77 | Total Reward:  77.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  15.0 | Average Reward: 15.333 | Steps:    92 | Total Reward:  92.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  29.0 | Average Reward: 17.286 | Steps:   121 | Total Reward: 121.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  10.0 | Average Reward: 16.375 | Steps:   131 | Total Reward: 131.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  10.0 | Average Reward: 15.667 | Steps:   141 | Total Reward: 141.0|
| Episode:  10 | Epsilon:  0.61 | Reward:   9.0 | Average Reward: 15.000 | Steps:   150 | Total Reward: 150.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  13.0 | Average Reward: 14.818 | Steps:   163 | Total Reward: 163.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  15.0 | Average Reward: 14.833 | Steps:   178 | Total Reward: 178.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  18.0 | Average Reward: 15.077 | Steps:   196 | Total Reward: 196.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  13.0 | Average Reward: 14.929 | Steps:   209 | Total Reward: 209.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  11.0 | Average Reward: 14.667 | Steps:   220 | Total Reward: 220.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  15.0 | Average Reward: 14.688 | Steps:   235 | Total Reward: 235.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  13.0 | Average Reward: 14.588 | Steps:   248 | Total Reward: 248.0|
| Episode:  18 | Epsilon:  0.44 | Reward:   9.0 | Average Reward: 14.278 | Steps:   257 | Total Reward: 257.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  10.0 | Average Reward: 14.053 | Steps:   267 | Total Reward: 267.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  11.0 | Average Reward: 13.900 | Steps:   278 | Total Reward: 278.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  12.0 | Average Reward: 13.810 | Steps:   290 | Total Reward: 290.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 13.636 | Steps:   300 | Total Reward: 300.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  14.0 | Average Reward: 13.652 | Steps:   314 | Total Reward: 314.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  17.0 | Average Reward: 13.792 | Steps:   331 | Total Reward: 331.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  11.0 | Average Reward: 13.680 | Steps:   342 | Total Reward: 342.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  10.0 | Average Reward: 13.538 | Steps:   352 | Total Reward: 352.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  10.0 | Average Reward: 13.407 | Steps:   362 | Total Reward: 362.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 13.286 | Steps:   372 | Total Reward: 372.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  13.0 | Average Reward: 13.276 | Steps:   385 | Total Reward: 385.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  16.0 | Average Reward: 13.367 | Steps:   401 | Total Reward: 401.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  12.0 | Average Reward: 13.323 | Steps:   413 | Total Reward: 413.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  10.0 | Average Reward: 13.219 | Steps:   423 | Total Reward: 423.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 13.121 | Steps:   433 | Total Reward: 433.0|
| Episode:  34 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 13.000 | Steps:   442 | Total Reward: 442.0|
| Episode:  35 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 12.886 | Steps:   451 | Total Reward: 451.0|
| Episode:  36 | Epsilon:  0.24 | Reward:   9.0 | Average Reward: 12.778 | Steps:   460 | Total Reward: 460.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  13.0 | Average Reward: 12.784 | Steps:   473 | Total Reward: 473.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  10.0 | Average Reward: 12.711 | Steps:   483 | Total Reward: 483.0|
| Episode:  39 | Epsilon:  0.22 | Reward:   8.0 | Average Reward: 12.590 | Steps:   491 | Total Reward: 491.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  15.0 | Average Reward: 12.650 | Steps:   506 | Total Reward: 506.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  10.0 | Average Reward: 12.585 | Steps:   516 | Total Reward: 516.0|
| Episode:  42 | Epsilon:  0.20 | Reward:  10.0 | Average Reward: 12.524 | Steps:   526 | Total Reward: 526.0|
| Episode:  43 | Epsilon:  0.20 | Reward:  10.0 | Average Reward: 12.465 | Steps:   536 | Total Reward: 536.0|
| Episode:  44 | Epsilon:  0.19 | Reward:  19.0 | Average Reward: 12.614 | Steps:   555 | Total Reward: 555.0|
| Episode:  45 | Epsilon:  0.19 | Reward:   9.0 | Average Reward: 12.533 | Steps:   564 | Total Reward: 564.0|
| Episode:  46 | Epsilon:  0.18 | Reward:   9.0 | Average Reward: 12.457 | Steps:   573 | Total Reward: 573.0|
