| Episode:   1 | Epsilon:  0.90 | Reward:  14.0 | Average Reward: 14.000 | Steps:    14 | Total Reward:  14.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  16.0 | Average Reward: 15.000 | Steps:    30 | Total Reward:  30.0|
| Episode:   3 | Epsilon:  0.82 | Reward:   9.0 | Average Reward: 13.000 | Steps:    39 | Total Reward:  39.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  22.0 | Average Reward: 15.250 | Steps:    61 | Total Reward:  61.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  21.0 | Average Reward: 16.400 | Steps:    82 | Total Reward:  82.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  15.0 | Average Reward: 16.167 | Steps:    97 | Total Reward:  97.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  15.0 | Average Reward: 16.000 | Steps:   112 | Total Reward: 112.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  24.0 | Average Reward: 17.000 | Steps:   136 | Total Reward: 136.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  11.0 | Average Reward: 16.333 | Steps:   147 | Total Reward: 147.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  14.0 | Average Reward: 16.100 | Steps:   161 | Total Reward: 161.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  28.0 | Average Reward: 17.182 | Steps:   189 | Total Reward: 189.0|
| Episode:  12 | Epsilon:  0.56 | Reward:   9.0 | Average Reward: 16.500 | Steps:   198 | Total Reward: 198.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  19.0 | Average Reward: 16.692 | Steps:   217 | Total Reward: 217.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  10.0 | Average Reward: 16.214 | Steps:   227 | Total Reward: 227.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  10.0 | Average Reward: 15.800 | Steps:   237 | Total Reward: 237.0|
| Episode:  16 | Epsilon:  0.48 | Reward:   8.0 | Average Reward: 15.312 | Steps:   245 | Total Reward: 245.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  13.0 | Average Reward: 15.176 | Steps:   258 | Total Reward: 258.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  16.0 | Average Reward: 15.222 | Steps:   274 | Total Reward: 274.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  15.0 | Average Reward: 15.211 | Steps:   289 | Total Reward: 289.0|
| Episode:  20 | Epsilon:  0.41 | Reward:   9.0 | Average Reward: 14.900 | Steps:   298 | Total Reward: 298.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  12.0 | Average Reward: 14.762 | Steps:   310 | Total Reward: 310.0|
