| episode:   1 | epsilon:  0.75 | reward:   0.0 | avg. reward: 0.000 | steps:   152 | total reward:   0.0|
| episode:   2 | epsilon:  0.61 | reward:   1.0 | avg. reward: 0.500 | steps:   365 | total reward:   1.0|
| episode:   3 | epsilon:  0.50 | reward:   3.0 | avg. reward: 1.333 | steps:   691 | total reward:   4.0|
| episode:   4 | epsilon:  0.41 | reward:   2.0 | avg. reward: 1.500 | steps:   943 | total reward:   6.0|
| episode:   5 | epsilon:  0.34 | reward:   0.0 | avg. reward: 1.200 | steps:  1098 | total reward:   6.0|
| episode:   6 | epsilon:  0.29 | reward:   1.0 | avg. reward: 1.167 | steps:  1313 | total reward:   7.0|
| episode:   7 | epsilon:  0.25 | reward:   1.0 | avg. reward: 1.143 | steps:  1528 | total reward:   8.0|
| episode:   8 | epsilon:  0.21 | reward:   0.0 | avg. reward: 1.000 | steps:  1677 | total reward:   8.0|
| episode:   9 | epsilon:  0.19 | reward:   0.0 | avg. reward: 0.889 | steps:  1830 | total reward:   8.0|
| episode:  10 | epsilon:  0.17 | reward:   0.0 | avg. reward: 0.800 | steps:  1983 | total reward:   8.0|
| episode:  11 | epsilon:  0.15 | reward:   2.0 | avg. reward: 0.909 | steps:  2232 | total reward:  10.0|
| episode:  12 | epsilon:  0.14 | reward:   1.0 | avg. reward: 0.917 | steps:  2415 | total reward:  11.0|
| episode:  13 | epsilon:  0.13 | reward:   1.0 | avg. reward: 0.923 | steps:  2613 | total reward:  12.0|
| episode:  14 | epsilon:  0.13 | reward:   0.0 | avg. reward: 0.857 | steps:  2766 | total reward:  12.0|
| episode:  15 | epsilon:  0.12 | reward:   2.0 | avg. reward: 0.933 | steps:  3017 | total reward:  14.0|
| episode:  16 | epsilon:  0.12 | reward:   0.0 | avg. reward: 0.875 | steps:  3167 | total reward:  14.0|
| episode:  17 | epsilon:  0.11 | reward:   2.0 | avg. reward: 0.941 | steps:  3419 | total reward:  16.0|
| episode:  18 | epsilon:  0.11 | reward:   1.0 | avg. reward: 0.944 | steps:  3634 | total reward:  17.0|
| episode:  19 | epsilon:  0.11 | reward:   1.0 | avg. reward: 0.947 | steps:  3840 | total reward:  18.0|
| episode:  20 | epsilon:  0.11 | reward:   3.0 | avg. reward: 1.050 | steps:  4191 | total reward:  21.0|
